datetime,height,port
2024-03-01 03:39:00-03:00,0.47,CALETA BRENT (Isla de los Estados)
2024-03-01 09:56:00-03:00,1.48,CALETA BRENT (Isla de los Estados)
2024-03-01 15:34:00-03:00,0.77,CALETA BRENT (Isla de los Estados)
2024-03-01 21:43:00-03:00,1.68,CALETA BRENT (Isla de los Estados)
2024-03-02 04:31:00-03:00,0.47,CALETA BRENT (Isla de los Estados)
2024-03-02 10:50:00-03:00,1.37,CALETA BRENT (Isla de los Estados)
2024-03-02 16:09:00-03:00,0.85,CALETA BRENT (Isla de los Estados)
2024-03-02 22:26:00-03:00,1.7,CALETA BRENT (Isla de los Estados)
2024-03-03 05:32:00-03:00,0.47,CALETA BRENT (Isla de los Estados)
2024-03-03 11:57:00-03:00,1.28,CALETA BRENT (Isla de los Estados)
2024-03-03 16:53:00-03:00,0.92,CALETA BRENT (Isla de los Estados)
2024-03-03 23:19:00-03:00,1.7,CALETA BRENT (Isla de los Estados)
2024-03-04 06:42:00-03:00,0.47,CALETA BRENT (Isla de los Estados)
2024-03-04 13:18:00-03:00,1.24,CALETA BRENT (Isla de los Estados)
2024-03-04 17:55:00-03:00,0.97,CALETA BRENT (Isla de los Estados)
2024-03-05 00:25:00-03:00,1.7,CALETA BRENT (Isla de los Estados)
2024-03-05 07:57:00-03:00,0.44,CALETA BRENT (Isla de los Estados)
2024-03-05 14:40:00-03:00,1.26,CALETA BRENT (Isla de los Estados)
2024-03-05 19:15:00-03:00,0.99,CALETA BRENT (Isla de los Estados)
2024-03-06 01:39:00-03:00,1.72,CALETA BRENT (Isla de los Estados)
2024-03-06 09:05:00-03:00,0.38,CALETA BRENT (Isla de los Estados)
2024-03-06 15:45:00-03:00,1.32,CALETA BRENT (Isla de los Estados)
2024-03-06 20:36:00-03:00,0.94,CALETA BRENT (Isla de los Estados)
2024-03-07 02:51:00-03:00,1.77,CALETA BRENT (Isla de los Estados)
2024-03-07 10:04:00-03:00,0.32,CALETA BRENT (Isla de los Estados)
2024-03-07 16:34:00-03:00,1.41,CALETA BRENT (Isla de los Estados)
2024-03-07 21:45:00-03:00,0.84,CALETA BRENT (Isla de los Estados)
2024-03-08 03:56:00-03:00,1.84,CALETA BRENT (Isla de los Estados)
