datetime,height,port
2024-06-01 00:44:00-03:00,1.6,CALETA BRENT (Isla de los Estados)
2024-06-01 07:15:00-03:00,0.5,CALETA BRENT (Isla de los Estados)
2024-06-01 13:41:00-03:00,1.6,CALETA BRENT (Isla de los Estados)
2024-06-01 19:52:00-03:00,0.63,CALETA BRENT (Isla de los Estados)
2024-06-02 02:00:00-03:00,1.57,CALETA BRENT (Isla de los Estados)
2024-06-02 08:12:00-03:00,0.57,CALETA BRENT (Isla de los Estados)
2024-06-02 14:31:00-03:00,1.67,CALETA BRENT (Isla de los Estados)
2024-06-02 20:57:00-03:00,0.49,CALETA BRENT (Isla de los Estados)
2024-06-03 03:12:00-03:00,1.57,CALETA BRENT (Isla de los Estados)
2024-06-03 09:07:00-03:00,0.63,CALETA BRENT (Isla de los Estados)
2024-06-03 15:19:00-03:00,1.75,CALETA BRENT (Isla de los Estados)
2024-06-03 21:56:00-03:00,0.35,CALETA BRENT (Isla de los Estados)
2024-06-04 04:17:00-03:00,1.59,CALETA BRENT (Isla de los Estados)
2024-06-04 09:58:00-03:00,0.69,CALETA BRENT (Isla de los Estados)
2024-06-04 16:04:00-03:00,1.83,CALETA BRENT (Isla de los Estados)
2024-06-04 22:49:00-03:00,0.22,CALETA BRENT (Isla de los Estados)
2024-06-05 05:16:00-03:00,1.6,CALETA BRENT (Isla de los Estados)
2024-06-05 10:45:00-03:00,0.75,CALETA BRENT (Isla de los Estados)
2024-06-05 16:47:00-03:00,1.89,CALETA BRENT (Isla de los Estados)
2024-06-05 23:39:00-03:00,0.12,CALETA BRENT (Isla de los Estados)
2024-06-06 06:11:00-03:00,1.59,CALETA BRENT (Isla de los Estados)
2024-06-06 11:30:00-03:00,0.8,CALETA BRENT (Isla de los Estados)
2024-06-06 17:29:00-03:00,1.92,CALETA BRENT (Isla de los Estados)
2024-06-07 00:27:00-03:00,0.06,CALETA BRENT (Isla de los Estados)
2024-06-07 07:03:00-03:00,1.58,CALETA BRENT (Isla de los Estados)
2024-06-07 12:14:00-03:00,0.85,CALETA BRENT (Isla de los Estados)
2024-06-07 18:10:00-03:00,1.94,CALETA BRENT (Isla de los Estados)
2024-06-08 01:13:00-03:00,0.04,CALETA BRENT (Isla de los Estados)
2024-06-08 07:53:00-03:00,1.55,CALETA BRENT (Isla de los Estados)
2024-06-08 12:56:00-03:00,0.9,CALETA BRENT (Isla de los Estados)
2024-06-08 18:52:00-03:00,1.93,CALETA BRENT (Isla de los Estados)
2024-06-09 01:59:00-03:00,0.06,CALETA BRENT (Isla de los Estados)
2024-06-09 08:41:00-03:00,1.51,CALETA BRENT (Isla de los Estados)
2024-06-09 13:38:00-03:00,0.94,CALETA BRENT (Isla de los Estados)
2024-06-09 19:34:00-03:00,1.89,CALETA BRENT (Isla de los Estados)
2024-06-10 02:44:00-03:00,0.12,CALETA BRENT (Isla de los Estados)
2024-06-10 09:29:00-03:00,1.47,CALETA BRENT (Isla de los Estados)
2024-06-10 14:22:00-03:00,0.96,CALETA BRENT (Isla de los Estados)
2024-06-10 20:18:00-03:00,1.82,CALETA BRENT (Isla de los Estados)
2024-06-11 03:30:00-03:00,0.21,CALETA BRENT (Isla de los Estados)
2024-06-11 10:15:00-03:00,1.43,CALETA BRENT (Isla de los Estados)
2024-06-11 15:09:00-03:00,0.98,CALETA BRENT (Isla de los Estados)
2024-06-11 21:04:00-03:00,1.74,CALETA BRENT (Isla de los Estados)
2024-06-12 04:15:00-03:00,0.32,CALETA BRENT (Isla de los Estados)
2024-06-12 11:01:00-03:00,1.4,CALETA BRENT (Isla de los Estados)
