datetime,height,port
2024-07-01 01:39:00-03:00,1.49,CALETA BRENT (Isla de los Estados)
2024-07-01 07:30:00-03:00,0.69,CALETA BRENT (Isla de los Estados)
2024-07-01 13:48:00-03:00,1.72,CALETA BRENT (Isla de los Estados)
2024-07-01 20:34:00-03:00,0.43,CALETA BRENT (Isla de los Estados)
2024-07-02 02:55:00-03:00,1.47,CALETA BRENT (Isla de los Estados)
2024-07-02 08:27:00-03:00,0.77,CALETA BRENT (Isla de los Estados)
2024-07-02 14:40:00-03:00,1.77,CALETA BRENT (Isla de los Estados)
2024-07-02 21:37:00-03:00,0.31,CALETA BRENT (Isla de los Estados)
2024-07-03 04:07:00-03:00,1.47,CALETA BRENT (Isla de los Estados)
2024-07-03 09:24:00-03:00,0.84,CALETA BRENT (Isla de los Estados)
2024-07-03 15:32:00-03:00,1.83,CALETA BRENT (Isla de los Estados)
2024-07-03 22:35:00-03:00,0.21,CALETA BRENT (Isla de los Estados)
2024-07-04 05:10:00-03:00,1.48,CALETA BRENT (Isla de los Estados)
2024-07-04 10:18:00-03:00,0.88,CALETA BRENT (Isla de los Estados)
2024-07-04 16:21:00-03:00,1.88,CALETA BRENT (Isla de los Estados)
2024-07-04 23:27:00-03:00,0.13,CALETA BRENT (Isla de los Estados)
2024-07-05 06:07:00-03:00,1.5,CALETA BRENT (Isla de los Estados)
2024-07-05 11:08:00-03:00,0.9,CALETA BRENT (Isla de los Estados)
2024-07-05 17:08:00-03:00,1.91,CALETA BRENT (Isla de los Estados)
2024-07-06 00:16:00-03:00,0.08,CALETA BRENT (Isla de los Estados)
2024-07-06 06:57:00-03:00,1.51,CALETA BRENT (Isla de los Estados)
2024-07-06 11:55:00-03:00,0.91,CALETA BRENT (Isla de los Estados)
2024-07-06 17:54:00-03:00,1.92,CALETA BRENT (Isla de los Estados)
2024-07-07 01:02:00-03:00,0.07,CALETA BRENT (Isla de los Estados)
2024-07-07 07:42:00-03:00,1.5,CALETA BRENT (Isla de los Estados)
2024-07-07 12:40:00-03:00,0.91,CALETA BRENT (Isla de los Estados)
2024-07-07 18:38:00-03:00,1.92,CALETA BRENT (Isla de los Estados)
2024-07-08 01:45:00-03:00,0.1,CALETA BRENT (Isla de los Estados)
2024-07-08 08:23:00-03:00,1.49,CALETA BRENT (Isla de los Estados)
2024-07-08 13:23:00-03:00,0.9,CALETA BRENT (Isla de los Estados)
2024-07-08 19:22:00-03:00,1.88,CALETA BRENT (Isla de los Estados)
2024-07-09 02:26:00-03:00,0.17,CALETA BRENT (Isla de los Estados)
2024-07-09 09:01:00-03:00,1.47,CALETA BRENT (Isla de los Estados)
2024-07-09 14:05:00-03:00,0.88,CALETA BRENT (Isla de los Estados)
2024-07-09 20:05:00-03:00,1.82,CALETA BRENT (Isla de los Estados)
2024-07-10 03:05:00-03:00,0.26,CALETA BRENT (Isla de los Estados)
2024-07-10 09:36:00-03:00,1.45,CALETA BRENT (Isla de los Estados)
2024-07-10 14:49:00-03:00,0.86,CALETA BRENT (Isla de los Estados)
2024-07-10 20:50:00-03:00,1.74,CALETA BRENT (Isla de los Estados)
2024-07-11 03:42:00-03:00,0.38,CALETA BRENT (Isla de los Estados)
2024-07-11 10:09:00-03:00,1.45,CALETA BRENT (Isla de los Estados)
2024-07-11 15:35:00-03:00,0.83,CALETA BRENT (Isla de los Estados)
2024-07-11 21:36:00-03:00,1.64,CALETA BRENT (Isla de los Estados)
2024-07-12 04:19:00-03:00,0.5,CALETA BRENT (Isla de los Estados)
2024-07-12 10:41:00-03:00,1.45,CALETA BRENT (Isla de los Estados)
2024-07-12 16:25:00-03:00,0.79,CALETA BRENT (Isla de los Estados)
2024-07-12 22:27:00-03:00,1.53,CALETA BRENT (Isla de los Estados)
2024-07-13 04:54:00-03:00,0.63,CALETA BRENT (Isla de los Estados)
2024-07-13 11:15:00-03:00,1.47,CALETA BRENT (Isla de los Estados)
2024-07-13 17:22:00-03:00,0.75,CALETA BRENT (Isla de los Estados)
2024-07-13 23:26:00-03:00,1.42,CALETA BRENT (Isla de los Estados)
2024-07-14 05:31:00-03:00,0.75,CALETA BRENT (Isla de los Estados)
2024-07-14 11:51:00-03:00,1.51,CALETA BRENT (Isla de los Estados)
2024-07-14 18:25:00-03:00,0.69,CALETA BRENT (Isla de los Estados)
2024-07-15 00:34:00-03:00,1.32,CALETA BRENT (Isla de los Estados)
2024-07-15 06:10:00-03:00,0.85,CALETA BRENT (Isla de los Estados)
2024-07-15 12:33:00-03:00,1.56,CALETA BRENT (Isla de los Estados)
2024-07-15 19:33:00-03:00,0.62,CALETA BRENT (Isla de los Estados)
2024-07-16 01:52:00-03:00,1.26,CALETA BRENT (Isla de los Estados)
2024-07-16 06:56:00-03:00,0.92,CALETA BRENT (Isla de los Estados)
2024-07-16 13:21:00-03:00,1.62,CALETA BRENT (Isla de los Estados)
2024-07-16 20:38:00-03:00,0.52,CALETA BRENT (Isla de los Estados)
2024-07-17 03:09:00-03:00,1.25,CALETA BRENT (Isla de los Estados)
2024-07-17 07:48:00-03:00,0.97,CALETA BRENT (Isla de los Estados)
2024-07-17 14:13:00-03:00,1.69,CALETA BRENT (Isla de los Estados)
2024-07-17 21:38:00-03:00,0.42,CALETA BRENT (Isla de los Estados)
2024-07-18 04:16:00-03:00,1.27,CALETA BRENT (Isla de los Estados)
2024-07-18 08:46:00-03:00,0.99,CALETA BRENT (Isla de los Estados)
2024-07-18 15:06:00-03:00,1.77,CALETA BRENT (Isla de los Estados)
2024-07-18 22:31:00-03:00,0.31,CALETA BRENT (Isla de los Estados)
2024-07-19 05:09:00-03:00,1.31,CALETA BRENT (Isla de los Estados)
2024-07-19 09:43:00-03:00,0.97,CALETA BRENT (Isla de los Estados)
2024-07-19 15:59:00-03:00,1.85,CALETA BRENT (Isla de los Estados)
2024-07-19 23:19:00-03:00,0.23,CALETA BRENT (Isla de los Estados)
2024-07-20 05:54:00-03:00,1.36,CALETA BRENT (Isla de los Estados)
2024-07-20 10:38:00-03:00,0.92,CALETA BRENT (Isla de los Estados)
2024-07-20 16:50:00-03:00,1.92,CALETA BRENT (Isla de los Estados)
2024-07-21 00:03:00-03:00,0.16,CALETA BRENT (Isla de los Estados)
2024-07-21 06:34:00-03:00,1.42,CALETA BRENT (Isla de los Estados)
2024-07-21 11:29:00-03:00,0.85,CALETA BRENT (Isla de los Estados)
2024-07-21 17:40:00-03:00,1.97,CALETA BRENT (Isla de los Estados)
2024-07-22 00:46:00-03:00,0.12,CALETA BRENT (Isla de los Estados)
2024-07-22 07:12:00-03:00,1.48,CALETA BRENT (Isla de los Estados)
2024-07-22 12:19:00-03:00,0.78,CALETA BRENT (Isla de los Estados)
2024-07-22 18:30:00-03:00,2.0,CALETA BRENT (Isla de los Estados)
2024-07-23 01:27:00-03:00,0.12,CALETA BRENT (Isla de los Estados)
2024-07-23 07:49:00-03:00,1.53,CALETA BRENT (Isla de los Estados)
2024-07-23 13:09:00-03:00,0.7,CALETA BRENT (Isla de los Estados)
2024-07-23 19:19:00-03:00,1.99,CALETA BRENT (Isla de los Estados)
2024-07-24 02:08:00-03:00,0.16,CALETA BRENT (Isla de los Estados)
2024-07-24 08:27:00-03:00,1.58,CALETA BRENT (Isla de los Estados)
2024-07-24 13:58:00-03:00,0.64,CALETA BRENT (Isla de los Estados)
2024-07-24 20:08:00-03:00,1.94,CALETA BRENT (Isla de los Estados)
2024-07-25 02:49:00-03:00,0.22,CALETA BRENT (Isla de los Estados)
2024-07-25 09:06:00-03:00,1.62,CALETA BRENT (Isla de los Estados)
2024-07-25 14:50:00-03:00,0.58,CALETA BRENT (Isla de los Estados)
2024-07-25 20:59:00-03:00,1.86,CALETA BRENT (Isla de los Estados)
2024-07-26 03:31:00-03:00,0.32,CALETA BRENT (Isla de los Estados)
2024-07-26 09:47:00-03:00,1.66,CALETA BRENT (Isla de los Estados)
2024-07-26 15:44:00-03:00,0.54,CALETA BRENT (Isla de los Estados)
2024-07-26 21:54:00-03:00,1.75,CALETA BRENT (Isla de los Estados)
2024-07-27 04:15:00-03:00,0.44,CALETA BRENT (Isla de los Estados)
2024-07-27 10:31:00-03:00,1.68,CALETA BRENT (Isla de los Estados)
2024-07-27 16:43:00-03:00,0.52,CALETA BRENT (Isla de los Estados)
2024-07-27 22:54:00-03:00,1.63,CALETA BRENT (Isla de los Estados)
2024-07-28 05:01:00-03:00,0.57,CALETA BRENT (Isla de los Estados)
2024-07-28 11:18:00-03:00,1.69,CALETA BRENT (Isla de los Estados)
2024-07-28 17:47:00-03:00,0.49,CALETA BRENT (Isla de los Estados)
2024-07-29 00:02:00-03:00,1.51,CALETA BRENT (Isla de los Estados)
2024-07-29 05:52:00-03:00,0.7,CALETA BRENT (Isla de los Estados)
2024-07-29 12:09:00-03:00,1.71,CALETA BRENT (Isla de los Estados)
2024-07-29 18:57:00-03:00,0.45,CALETA BRENT (Isla de los Estados)
2024-07-30 01:20:00-03:00,1.42,CALETA BRENT (Isla de los Estados)
2024-07-30 06:49:00-03:00,0.81,CALETA BRENT (Isla de los Estados)
2024-07-30 13:06:00-03:00,1.72,CALETA BRENT (Isla de los Estados)
2024-07-30 20:10:00-03:00,0.4,CALETA BRENT (Isla de los Estados)
2024-07-31 02:43:00-03:00,1.38,CALETA BRENT (Isla de los Estados)
2024-07-31 07:52:00-03:00,0.9,CALETA BRENT (Isla de los Estados)
2024-07-31 14:05:00-03:00,1.75,CALETA BRENT (Isla de los Estados)
2024-07-31 21:19:00-03:00,0.32,CALETA BRENT (Isla de los Estados)
