datetime,height,port
2024-09-01 05:33:00-03:00,1.46,CALETA BRENT (Isla de los Estados)
2024-09-01 10:43:00-03:00,0.89,CALETA BRENT (Isla de los Estados)
2024-09-01 16:43:00-03:00,1.79,CALETA BRENT (Isla de los Estados)
2024-09-01 23:41:00-03:00,0.27,CALETA BRENT (Isla de los Estados)
2024-09-02 06:09:00-03:00,1.49,CALETA BRENT (Isla de los Estados)
2024-09-02 11:29:00-03:00,0.8,CALETA BRENT (Isla de los Estados)
2024-09-02 17:32:00-03:00,1.81,CALETA BRENT (Isla de los Estados)
2024-09-03 00:20:00-03:00,0.3,CALETA BRENT (Isla de los Estados)
2024-09-03 06:39:00-03:00,1.51,CALETA BRENT (Isla de los Estados)
2024-09-03 12:09:00-03:00,0.7,CALETA BRENT (Isla de los Estados)
2024-09-03 18:17:00-03:00,1.82,CALETA BRENT (Isla de los Estados)
2024-09-04 00:55:00-03:00,0.36,CALETA BRENT (Isla de los Estados)
2024-09-04 07:05:00-03:00,1.53,CALETA BRENT (Isla de los Estados)
2024-09-04 12:46:00-03:00,0.62,CALETA BRENT (Isla de los Estados)
2024-09-04 18:58:00-03:00,1.8,CALETA BRENT (Isla de los Estados)
2024-09-05 01:26:00-03:00,0.44,CALETA BRENT (Isla de los Estados)
2024-09-05 07:30:00-03:00,1.56,CALETA BRENT (Isla de los Estados)
2024-09-05 13:23:00-03:00,0.54,CALETA BRENT (Isla de los Estados)
2024-09-05 19:38:00-03:00,1.75,CALETA BRENT (Isla de los Estados)
2024-09-06 01:54:00-03:00,0.53,CALETA BRENT (Isla de los Estados)
2024-09-06 07:53:00-03:00,1.59,CALETA BRENT (Isla de los Estados)
2024-09-06 14:00:00-03:00,0.49,CALETA BRENT (Isla de los Estados)
2024-09-06 20:17:00-03:00,1.67,CALETA BRENT (Isla de los Estados)
2024-09-07 02:20:00-03:00,0.63,CALETA BRENT (Isla de los Estados)
2024-09-07 08:18:00-03:00,1.63,CALETA BRENT (Isla de los Estados)
2024-09-07 14:39:00-03:00,0.45,CALETA BRENT (Isla de los Estados)
2024-09-07 20:58:00-03:00,1.57,CALETA BRENT (Isla de los Estados)
2024-09-08 02:45:00-03:00,0.72,CALETA BRENT (Isla de los Estados)
2024-09-08 08:46:00-03:00,1.66,CALETA BRENT (Isla de los Estados)
2024-09-08 15:22:00-03:00,0.44,CALETA BRENT (Isla de los Estados)
2024-09-08 21:42:00-03:00,1.47,CALETA BRENT (Isla de los Estados)
2024-09-09 03:12:00-03:00,0.81,CALETA BRENT (Isla de los Estados)
2024-09-09 09:18:00-03:00,1.69,CALETA BRENT (Isla de los Estados)
2024-09-09 16:10:00-03:00,0.45,CALETA BRENT (Isla de los Estados)
2024-09-09 22:32:00-03:00,1.36,CALETA BRENT (Isla de los Estados)
2024-09-10 03:43:00-03:00,0.88,CALETA BRENT (Isla de los Estados)
2024-09-10 09:57:00-03:00,1.7,CALETA BRENT (Isla de los Estados)
2024-09-10 17:07:00-03:00,0.47,CALETA BRENT (Isla de los Estados)
2024-09-10 23:35:00-03:00,1.27,CALETA BRENT (Isla de los Estados)
2024-09-11 04:22:00-03:00,0.94,CALETA BRENT (Isla de los Estados)
2024-09-11 10:47:00-03:00,1.69,CALETA BRENT (Isla de los Estados)
2024-09-11 18:13:00-03:00,0.48,CALETA BRENT (Isla de los Estados)
2024-09-12 00:52:00-03:00,1.22,CALETA BRENT (Isla de los Estados)
2024-09-12 05:18:00-03:00,1.0,CALETA BRENT (Isla de los Estados)
2024-09-12 11:50:00-03:00,1.67,CALETA BRENT (Isla de los Estados)
2024-09-12 19:27:00-03:00,0.47,CALETA BRENT (Isla de los Estados)
2024-09-13 02:15:00-03:00,1.23,CALETA BRENT (Isla de los Estados)
2024-09-13 06:38:00-03:00,1.01,CALETA BRENT (Isla de los Estados)
2024-09-13 13:06:00-03:00,1.68,CALETA BRENT (Isla de los Estados)
2024-09-13 20:38:00-03:00,0.44,CALETA BRENT (Isla de los Estados)
2024-09-14 03:21:00-03:00,1.29,CALETA BRENT (Isla de los Estados)
2024-09-14 08:06:00-03:00,0.97,CALETA BRENT (Isla de los Estados)
2024-09-14 14:23:00-03:00,1.71,CALETA BRENT (Isla de los Estados)
2024-09-14 21:38:00-03:00,0.38,CALETA BRENT (Isla de los Estados)
2024-09-15 04:10:00-03:00,1.38,CALETA BRENT (Isla de los Estados)
2024-09-15 09:19:00-03:00,0.86,CALETA BRENT (Isla de los Estados)
2024-09-15 15:32:00-03:00,1.77,CALETA BRENT (Isla de los Estados)
2024-09-15 22:29:00-03:00,0.34,CALETA BRENT (Isla de los Estados)
2024-09-16 04:51:00-03:00,1.47,CALETA BRENT (Isla de los Estados)
2024-09-16 10:19:00-03:00,0.72,CALETA BRENT (Isla de los Estados)
2024-09-16 16:31:00-03:00,1.84,CALETA BRENT (Isla de los Estados)
2024-09-16 23:14:00-03:00,0.31,CALETA BRENT (Isla de los Estados)
