datetime,height,port
2024-10-01 02:01:00-03:00,1.83,CALETA LA MISIÓN
2024-10-01 08:30:00-03:00,7.99,CALETA LA MISIÓN
2024-10-01 14:21:00-03:00,2.26,CALETA LA MISIÓN
2024-10-01 20:36:00-03:00,8.03,CALETA LA MISIÓN
2024-10-02 02:37:00-03:00,1.7,CALETA LA MISIÓN
2024-10-02 09:01:00-03:00,8.07,CALETA LA MISIÓN
2024-10-02 14:53:00-03:00,2.01,CALETA LA MISIÓN
2024-10-02 21:08:00-03:00,8.14,CALETA LA MISIÓN
2024-10-03 03:10:00-03:00,1.67,CALETA LA MISIÓN
2024-10-03 09:26:00-03:00,8.07,CALETA LA MISIÓN
2024-10-03 15:24:00-03:00,1.83,CALETA LA MISIÓN
2024-10-03 21:35:00-03:00,8.17,CALETA LA MISIÓN
2024-10-04 03:40:00-03:00,1.74,CALETA LA MISIÓN
2024-10-04 09:47:00-03:00,8.05,CALETA LA MISIÓN
2024-10-04 15:53:00-03:00,1.72,CALETA LA MISIÓN
2024-10-04 22:00:00-03:00,8.13,CALETA LA MISIÓN
2024-10-05 04:09:00-03:00,1.87,CALETA LA MISIÓN
2024-10-05 10:07:00-03:00,8.02,CALETA LA MISIÓN
2024-10-05 16:23:00-03:00,1.68,CALETA LA MISIÓN
2024-10-05 22:25:00-03:00,8.05,CALETA LA MISIÓN
2024-10-06 04:38:00-03:00,2.06,CALETA LA MISIÓN
2024-10-06 10:29:00-03:00,7.98,CALETA LA MISIÓN
2024-10-06 16:54:00-03:00,1.71,CALETA LA MISIÓN
2024-10-06 22:54:00-03:00,7.91,CALETA LA MISIÓN
2024-10-07 05:10:00-03:00,2.31,CALETA LA MISIÓN
2024-10-07 10:56:00-03:00,7.91,CALETA LA MISIÓN
2024-10-07 17:28:00-03:00,1.84,CALETA LA MISIÓN
2024-10-07 23:27:00-03:00,7.7,CALETA LA MISIÓN
2024-10-08 05:44:00-03:00,2.61,CALETA LA MISIÓN
2024-10-08 11:29:00-03:00,7.76,CALETA LA MISIÓN
2024-10-08 18:07:00-03:00,2.05,CALETA LA MISIÓN
2024-10-09 00:08:00-03:00,7.41,CALETA LA MISIÓN
2024-10-09 06:25:00-03:00,2.95,CALETA LA MISIÓN
2024-10-09 12:11:00-03:00,7.52,CALETA LA MISIÓN
2024-10-09 18:54:00-03:00,2.33,CALETA LA MISIÓN
2024-10-10 01:01:00-03:00,7.09,CALETA LA MISIÓN
2024-10-10 07:15:00-03:00,3.31,CALETA LA MISIÓN
2024-10-10 13:06:00-03:00,7.22,CALETA LA MISIÓN
2024-10-10 19:52:00-03:00,2.63,CALETA LA MISIÓN
2024-10-11 02:12:00-03:00,6.84,CALETA LA MISIÓN
2024-10-11 08:22:00-03:00,3.58,CALETA LA MISIÓN
2024-10-11 14:22:00-03:00,6.99,CALETA LA MISIÓN
2024-10-11 21:07:00-03:00,2.79,CALETA LA MISIÓN
2024-10-12 03:39:00-03:00,6.83,CALETA LA MISIÓN
2024-10-12 09:46:00-03:00,3.58,CALETA LA MISIÓN
2024-10-12 15:52:00-03:00,7.02,CALETA LA MISIÓN
2024-10-12 22:29:00-03:00,2.65,CALETA LA MISIÓN
2024-10-13 04:59:00-03:00,7.14,CALETA LA MISIÓN
