datetime,height,port
2024-06-01 03:44:00-03:00,7.77,CALETA LA MISIÓN
2024-06-01 10:03:00-03:00,1.99,CALETA LA MISIÓN
2024-06-01 16:29:00-03:00,7.96,CALETA LA MISIÓN
2024-06-01 22:40:00-03:00,2.33,CALETA LA MISIÓN
2024-06-02 04:53:00-03:00,7.93,CALETA LA MISIÓN
2024-06-02 11:10:00-03:00,1.9,CALETA LA MISIÓN
2024-06-02 17:30:00-03:00,8.19,CALETA LA MISIÓN
2024-06-02 23:44:00-03:00,1.94,CALETA LA MISIÓN
2024-06-03 05:57:00-03:00,8.18,CALETA LA MISIÓN
2024-06-03 12:10:00-03:00,1.74,CALETA LA MISIÓN
2024-06-03 18:25:00-03:00,8.44,CALETA LA MISIÓN
2024-06-04 00:41:00-03:00,1.51,CALETA LA MISIÓN
2024-06-04 06:56:00-03:00,8.43,CALETA LA MISIÓN
2024-06-04 13:05:00-03:00,1.58,CALETA LA MISIÓN
2024-06-04 19:17:00-03:00,8.65,CALETA LA MISIÓN
2024-06-05 01:33:00-03:00,1.13,CALETA LA MISIÓN
2024-06-05 07:50:00-03:00,8.63,CALETA LA MISIÓN
2024-06-05 13:56:00-03:00,1.49,CALETA LA MISIÓN
2024-06-05 20:06:00-03:00,8.77,CALETA LA MISIÓN
2024-06-06 02:22:00-03:00,0.87,CALETA LA MISIÓN
2024-06-06 08:41:00-03:00,8.72,CALETA LA MISIÓN
2024-06-06 14:44:00-03:00,1.51,CALETA LA MISIÓN
2024-06-06 20:52:00-03:00,8.78,CALETA LA MISIÓN
2024-06-07 03:08:00-03:00,0.75,CALETA LA MISIÓN
2024-06-07 09:31:00-03:00,8.69,CALETA LA MISIÓN
2024-06-07 15:29:00-03:00,1.65,CALETA LA MISIÓN
2024-06-07 21:37:00-03:00,8.67,CALETA LA MISIÓN
2024-06-08 03:53:00-03:00,0.79,CALETA LA MISIÓN
2024-06-08 10:19:00-03:00,8.54,CALETA LA MISIÓN
2024-06-08 16:14:00-03:00,1.89,CALETA LA MISIÓN
2024-06-08 22:21:00-03:00,8.45,CALETA LA MISIÓN
2024-06-09 04:37:00-03:00,0.98,CALETA LA MISIÓN
2024-06-09 11:07:00-03:00,8.29,CALETA LA MISIÓN
2024-06-09 16:58:00-03:00,2.21,CALETA LA MISIÓN
2024-06-09 23:05:00-03:00,8.14,CALETA LA MISIÓN
2024-06-10 05:20:00-03:00,1.28,CALETA LA MISIÓN
2024-06-10 11:55:00-03:00,7.97,CALETA LA MISIÓN
2024-06-10 17:42:00-03:00,2.58,CALETA LA MISIÓN
2024-06-10 23:50:00-03:00,7.78,CALETA LA MISIÓN
2024-06-11 06:05:00-03:00,1.68,CALETA LA MISIÓN
2024-06-11 12:44:00-03:00,7.61,CALETA LA MISIÓN
2024-06-11 18:27:00-03:00,2.96,CALETA LA MISIÓN
2024-06-12 00:36:00-03:00,7.41,CALETA LA MISIÓN
2024-06-12 06:51:00-03:00,2.12,CALETA LA MISIÓN
2024-06-12 13:34:00-03:00,7.27,CALETA LA MISIÓN
2024-06-12 19:15:00-03:00,3.3,CALETA LA MISIÓN
2024-06-13 01:26:00-03:00,7.06,CALETA LA MISIÓN
2024-06-13 07:39:00-03:00,2.55,CALETA LA MISIÓN
2024-06-13 14:25:00-03:00,6.98,CALETA LA MISIÓN
2024-06-13 20:06:00-03:00,3.56,CALETA LA MISIÓN
2024-06-14 02:21:00-03:00,6.77,CALETA LA MISIÓN
2024-06-14 08:31:00-03:00,2.93,CALETA LA MISIÓN
2024-06-14 15:17:00-03:00,6.79,CALETA LA MISIÓN
2024-06-14 21:03:00-03:00,3.69,CALETA LA MISIÓN
2024-06-15 03:19:00-03:00,6.6,CALETA LA MISIÓN
2024-06-15 09:28:00-03:00,3.2,CALETA LA MISIÓN
2024-06-15 16:07:00-03:00,6.7,CALETA LA MISIÓN
2024-06-15 22:03:00-03:00,3.66,CALETA LA MISIÓN
2024-06-16 04:18:00-03:00,6.54,CALETA LA MISIÓN
2024-06-16 10:26:00-03:00,3.35,CALETA LA MISIÓN
2024-06-16 16:53:00-03:00,6.72,CALETA LA MISIÓN
2024-06-16 23:01:00-03:00,3.48,CALETA LA MISIÓN
2024-06-17 05:13:00-03:00,6.61,CALETA LA MISIÓN
2024-06-17 11:22:00-03:00,3.35,CALETA LA MISIÓN
2024-06-17 17:36:00-03:00,6.85,CALETA LA MISIÓN
2024-06-17 23:54:00-03:00,3.16,CALETA LA MISIÓN
2024-06-18 06:04:00-03:00,6.79,CALETA LA MISIÓN
2024-06-18 12:13:00-03:00,3.25,CALETA LA MISIÓN
2024-06-18 18:16:00-03:00,7.07,CALETA LA MISIÓN
2024-06-19 00:41:00-03:00,2.76,CALETA LA MISIÓN
2024-06-19 06:51:00-03:00,7.03,CALETA LA MISIÓN
2024-06-19 12:59:00-03:00,3.06,CALETA LA MISIÓN
2024-06-19 18:55:00-03:00,7.36,CALETA LA MISIÓN
2024-06-20 01:25:00-03:00,2.32,CALETA LA MISIÓN
2024-06-20 07:34:00-03:00,7.32,CALETA LA MISIÓN
2024-06-20 13:42:00-03:00,2.82,CALETA LA MISIÓN
2024-06-20 19:34:00-03:00,7.69,CALETA LA MISIÓN
2024-06-21 02:07:00-03:00,1.88,CALETA LA MISIÓN
2024-06-21 08:16:00-03:00,7.61,CALETA LA MISIÓN
2024-06-21 14:24:00-03:00,2.57,CALETA LA MISIÓN
2024-06-21 20:15:00-03:00,8.01,CALETA LA MISIÓN
2024-06-22 02:49:00-03:00,1.48,CALETA LA MISIÓN
2024-06-22 08:59:00-03:00,7.89,CALETA LA MISIÓN
2024-06-22 15:06:00-03:00,2.32,CALETA LA MISIÓN
2024-06-22 20:57:00-03:00,8.3,CALETA LA MISIÓN
2024-06-23 03:31:00-03:00,1.16,CALETA LA MISIÓN
2024-06-23 09:42:00-03:00,8.13,CALETA LA MISIÓN
2024-06-23 15:49:00-03:00,2.11,CALETA LA MISIÓN
2024-06-23 21:41:00-03:00,8.51,CALETA LA MISIÓN
2024-06-24 04:14:00-03:00,0.94,CALETA LA MISIÓN
2024-06-24 10:26:00-03:00,8.29,CALETA LA MISIÓN
2024-06-24 16:33:00-03:00,1.97,CALETA LA MISIÓN
2024-06-24 22:27:00-03:00,8.62,CALETA LA MISIÓN
2024-06-25 04:59:00-03:00,0.86,CALETA LA MISIÓN
2024-06-25 11:13:00-03:00,8.37,CALETA LA MISIÓN
2024-06-25 17:19:00-03:00,1.91,CALETA LA MISIÓN
2024-06-25 23:16:00-03:00,8.62,CALETA LA MISIÓN
2024-06-26 05:45:00-03:00,0.91,CALETA LA MISIÓN
2024-06-26 12:02:00-03:00,8.37,CALETA LA MISIÓN
2024-06-26 18:07:00-03:00,1.93,CALETA LA MISIÓN
2024-06-27 00:09:00-03:00,8.51,CALETA LA MISIÓN
2024-06-27 06:34:00-03:00,1.09,CALETA LA MISIÓN
2024-06-27 12:54:00-03:00,8.31,CALETA LA MISIÓN
2024-06-27 18:59:00-03:00,2.01,CALETA LA MISIÓN
2024-06-28 01:06:00-03:00,8.33,CALETA LA MISIÓN
2024-06-28 07:27:00-03:00,1.36,CALETA LA MISIÓN
