datetime,height,port
2024-01-01 02:26:00-03:00,0.59,CALETA PAULA
2024-01-01 08:30:00-03:00,5.13,CALETA PAULA
2024-01-01 14:32:00-03:00,1.54,CALETA PAULA
2024-01-01 20:26:00-03:00,4.93,CALETA PAULA
2024-01-02 03:00:00-03:00,0.73,CALETA PAULA
2024-01-02 09:08:00-03:00,5.04,CALETA PAULA
2024-01-02 15:11:00-03:00,1.57,CALETA PAULA
2024-01-02 21:05:00-03:00,4.77,CALETA PAULA
2024-01-03 03:33:00-03:00,0.9,CALETA PAULA
2024-01-03 09:46:00-03:00,4.95,CALETA PAULA
2024-01-03 15:52:00-03:00,1.58,CALETA PAULA
2024-01-03 21:48:00-03:00,4.6,CALETA PAULA
2024-01-04 04:10:00-03:00,1.09,CALETA PAULA
2024-01-04 10:26:00-03:00,4.85,CALETA PAULA
2024-01-04 16:37:00-03:00,1.57,CALETA PAULA
2024-01-04 22:37:00-03:00,4.44,CALETA PAULA
2024-01-05 04:51:00-03:00,1.28,CALETA PAULA
2024-01-05 11:11:00-03:00,4.76,CALETA PAULA
2024-01-05 17:27:00-03:00,1.54,CALETA PAULA
2024-01-05 23:35:00-03:00,4.35,CALETA PAULA
2024-01-06 05:38:00-03:00,1.44,CALETA PAULA
2024-01-06 12:01:00-03:00,4.69,CALETA PAULA
2024-01-06 18:21:00-03:00,1.48,CALETA PAULA
2024-01-07 00:37:00-03:00,4.36,CALETA PAULA
2024-01-07 06:30:00-03:00,1.55,CALETA PAULA
2024-01-07 12:56:00-03:00,4.67,CALETA PAULA
2024-01-07 19:17:00-03:00,1.39,CALETA PAULA
2024-01-08 01:37:00-03:00,4.46,CALETA PAULA
2024-01-08 07:24:00-03:00,1.59,CALETA PAULA
2024-01-08 13:52:00-03:00,4.71,CALETA PAULA
2024-01-08 20:14:00-03:00,1.27,CALETA PAULA
2024-01-09 02:33:00-03:00,4.64,CALETA PAULA
2024-01-09 08:19:00-03:00,1.59,CALETA PAULA
2024-01-09 14:46:00-03:00,4.8,CALETA PAULA
2024-01-09 21:12:00-03:00,1.12,CALETA PAULA
2024-01-10 03:26:00-03:00,4.84,CALETA PAULA
2024-01-10 09:15:00-03:00,1.55,CALETA PAULA
2024-01-10 15:37:00-03:00,4.93,CALETA PAULA
2024-01-10 22:11:00-03:00,0.95,CALETA PAULA
2024-01-11 04:18:00-03:00,5.04,CALETA PAULA
2024-01-11 10:12:00-03:00,1.5,CALETA PAULA
2024-01-11 16:28:00-03:00,5.08,CALETA PAULA
2024-01-11 23:10:00-03:00,0.75,CALETA PAULA
2024-01-12 05:10:00-03:00,5.23,CALETA PAULA
2024-01-12 11:11:00-03:00,1.43,CALETA PAULA
2024-01-12 17:18:00-03:00,5.24,CALETA PAULA
2024-01-13 00:06:00-03:00,0.54,CALETA PAULA
2024-01-13 06:01:00-03:00,5.41,CALETA PAULA
2024-01-13 12:09:00-03:00,1.35,CALETA PAULA
2024-01-13 18:07:00-03:00,5.38,CALETA PAULA
2024-01-14 00:57:00-03:00,0.35,CALETA PAULA
2024-01-14 06:51:00-03:00,5.56,CALETA PAULA
2024-01-14 13:04:00-03:00,1.26,CALETA PAULA
2024-01-14 18:55:00-03:00,5.48,CALETA PAULA
2024-01-15 01:44:00-03:00,0.24,CALETA PAULA
2024-01-15 07:40:00-03:00,5.67,CALETA PAULA
2024-01-15 13:54:00-03:00,1.16,CALETA PAULA
2024-01-15 19:43:00-03:00,5.51,CALETA PAULA
2024-01-16 02:28:00-03:00,0.23,CALETA PAULA
2024-01-16 08:27:00-03:00,5.7,CALETA PAULA
2024-01-16 14:43:00-03:00,1.08,CALETA PAULA
2024-01-16 20:33:00-03:00,5.47,CALETA PAULA
