datetime,height,port
2024-10-01 03:48:00-03:00,4.92,CALETA PAULA
2024-10-01 10:15:00-03:00,0.79,CALETA PAULA
2024-10-01 16:17:00-03:00,5.19,CALETA PAULA
2024-10-01 22:40:00-03:00,1.29,CALETA PAULA
2024-10-02 04:32:00-03:00,5.06,CALETA PAULA
2024-10-02 10:57:00-03:00,0.77,CALETA PAULA
2024-10-02 16:57:00-03:00,5.28,CALETA PAULA
2024-10-02 23:20:00-03:00,1.13,CALETA PAULA
2024-10-03 05:13:00-03:00,5.13,CALETA PAULA
2024-10-03 11:34:00-03:00,0.82,CALETA PAULA
2024-10-03 17:32:00-03:00,5.29,CALETA PAULA
2024-10-03 23:56:00-03:00,1.02,CALETA PAULA
2024-10-04 05:50:00-03:00,5.16,CALETA PAULA
2024-10-04 12:06:00-03:00,0.93,CALETA PAULA
2024-10-04 18:04:00-03:00,5.26,CALETA PAULA
2024-10-05 00:27:00-03:00,0.94,CALETA PAULA
2024-10-05 06:25:00-03:00,5.15,CALETA PAULA
2024-10-05 12:35:00-03:00,1.06,CALETA PAULA
2024-10-05 18:34:00-03:00,5.2,CALETA PAULA
2024-10-06 00:57:00-03:00,0.9,CALETA PAULA
2024-10-06 06:57:00-03:00,5.13,CALETA PAULA
2024-10-06 13:02:00-03:00,1.16,CALETA PAULA
2024-10-06 19:02:00-03:00,5.14,CALETA PAULA
2024-10-07 01:25:00-03:00,0.89,CALETA PAULA
2024-10-07 07:29:00-03:00,5.09,CALETA PAULA
2024-10-07 13:29:00-03:00,1.24,CALETA PAULA
2024-10-07 19:30:00-03:00,5.08,CALETA PAULA
2024-10-08 01:55:00-03:00,0.91,CALETA PAULA
2024-10-08 08:01:00-03:00,5.04,CALETA PAULA
2024-10-08 13:58:00-03:00,1.31,CALETA PAULA
2024-10-08 20:00:00-03:00,4.99,CALETA PAULA
2024-10-09 02:28:00-03:00,0.98,CALETA PAULA
2024-10-09 08:37:00-03:00,4.95,CALETA PAULA
2024-10-09 14:32:00-03:00,1.42,CALETA PAULA
2024-10-09 20:34:00-03:00,4.86,CALETA PAULA
2024-10-10 03:08:00-03:00,1.09,CALETA PAULA
2024-10-10 09:21:00-03:00,4.8,CALETA PAULA
2024-10-10 15:14:00-03:00,1.57,CALETA PAULA
2024-10-10 21:16:00-03:00,4.68,CALETA PAULA
2024-10-11 03:58:00-03:00,1.23,CALETA PAULA
2024-10-11 10:15:00-03:00,4.63,CALETA PAULA
2024-10-11 16:06:00-03:00,1.76,CALETA PAULA
2024-10-11 22:11:00-03:00,4.49,CALETA PAULA
2024-10-12 05:02:00-03:00,1.34,CALETA PAULA
2024-10-12 11:23:00-03:00,4.52,CALETA PAULA
2024-10-12 17:13:00-03:00,1.89,CALETA PAULA
2024-10-12 23:24:00-03:00,4.36,CALETA PAULA
2024-10-13 06:14:00-03:00,1.32,CALETA PAULA
2024-10-13 12:39:00-03:00,4.59,CALETA PAULA
2024-10-13 18:29:00-03:00,1.89,CALETA PAULA
2024-10-14 00:48:00-03:00,4.43,CALETA PAULA
2024-10-14 07:25:00-03:00,1.18,CALETA PAULA
2024-10-14 13:47:00-03:00,4.84,CALETA PAULA
2024-10-14 19:44:00-03:00,1.69,CALETA PAULA
2024-10-15 02:02:00-03:00,4.7,CALETA PAULA
2024-10-15 08:28:00-03:00,0.96,CALETA PAULA
2024-10-15 14:46:00-03:00,5.18,CALETA PAULA
2024-10-15 20:51:00-03:00,1.38,CALETA PAULA
2024-10-16 03:03:00-03:00,5.06,CALETA PAULA
2024-10-16 09:24:00-03:00,0.75,CALETA PAULA
2024-10-16 15:38:00-03:00,5.49,CALETA PAULA
2024-10-16 21:50:00-03:00,1.02,CALETA PAULA
2024-10-17 03:57:00-03:00,5.41,CALETA PAULA
2024-10-17 10:16:00-03:00,0.61,CALETA PAULA
2024-10-17 16:26:00-03:00,5.73,CALETA PAULA
2024-10-17 22:42:00-03:00,0.69,CALETA PAULA
2024-10-18 04:48:00-03:00,5.7,CALETA PAULA
2024-10-18 11:04:00-03:00,0.55,CALETA PAULA
2024-10-18 17:12:00-03:00,5.87,CALETA PAULA
2024-10-18 23:32:00-03:00,0.44,CALETA PAULA
2024-10-19 05:37:00-03:00,5.9,CALETA PAULA
2024-10-19 11:50:00-03:00,0.55,CALETA PAULA
2024-10-19 17:56:00-03:00,5.9,CALETA PAULA
2024-10-20 00:19:00-03:00,0.27,CALETA PAULA
2024-10-20 06:25:00-03:00,5.99,CALETA PAULA
2024-10-20 12:34:00-03:00,0.62,CALETA PAULA
2024-10-20 18:41:00-03:00,5.84,CALETA PAULA
2024-10-21 01:06:00-03:00,0.21,CALETA PAULA
2024-10-21 07:13:00-03:00,5.97,CALETA PAULA
2024-10-21 13:19:00-03:00,0.73,CALETA PAULA
2024-10-21 19:25:00-03:00,5.7,CALETA PAULA
2024-10-22 01:53:00-03:00,0.25,CALETA PAULA
2024-10-22 08:01:00-03:00,5.83,CALETA PAULA
2024-10-22 14:05:00-03:00,0.9,CALETA PAULA
2024-10-22 20:11:00-03:00,5.48,CALETA PAULA
2024-10-23 02:43:00-03:00,0.39,CALETA PAULA
2024-10-23 08:52:00-03:00,5.59,CALETA PAULA
2024-10-23 14:53:00-03:00,1.13,CALETA PAULA
2024-10-23 20:59:00-03:00,5.2,CALETA PAULA
2024-10-24 03:36:00-03:00,0.59,CALETA PAULA
2024-10-24 09:47:00-03:00,5.28,CALETA PAULA
2024-10-24 15:47:00-03:00,1.4,CALETA PAULA
2024-10-24 21:54:00-03:00,4.89,CALETA PAULA
2024-10-25 04:35:00-03:00,0.82,CALETA PAULA
2024-10-25 10:49:00-03:00,4.99,CALETA PAULA
2024-10-25 16:50:00-03:00,1.65,CALETA PAULA
2024-10-25 23:00:00-03:00,4.61,CALETA PAULA
2024-10-26 05:39:00-03:00,0.99,CALETA PAULA
2024-10-26 11:58:00-03:00,4.8,CALETA PAULA
2024-10-26 18:01:00-03:00,1.8,CALETA PAULA
2024-10-27 00:14:00-03:00,4.47,CALETA PAULA
2024-10-27 06:46:00-03:00,1.08,CALETA PAULA
2024-10-27 13:06:00-03:00,4.79,CALETA PAULA
2024-10-27 19:15:00-03:00,1.78,CALETA PAULA
2024-10-28 01:25:00-03:00,4.5,CALETA PAULA
2024-10-28 07:49:00-03:00,1.07,CALETA PAULA
2024-10-28 14:06:00-03:00,4.89,CALETA PAULA
2024-10-28 20:23:00-03:00,1.62,CALETA PAULA
