datetime,height,port
2024-11-01 04:42:00-03:00,5.03,CALETA PAULA
2024-11-01 10:51:00-03:00,1.14,CALETA PAULA
2024-11-01 16:53:00-03:00,5.18,CALETA PAULA
2024-11-01 23:19:00-03:00,0.93,CALETA PAULA
2024-11-02 05:20:00-03:00,5.07,CALETA PAULA
2024-11-02 11:25:00-03:00,1.23,CALETA PAULA
2024-11-02 17:26:00-03:00,5.13,CALETA PAULA
2024-11-02 23:53:00-03:00,0.88,CALETA PAULA
2024-11-03 05:55:00-03:00,5.08,CALETA PAULA
2024-11-03 11:57:00-03:00,1.31,CALETA PAULA
2024-11-03 17:58:00-03:00,5.09,CALETA PAULA
2024-11-04 00:26:00-03:00,0.86,CALETA PAULA
2024-11-04 06:29:00-03:00,5.08,CALETA PAULA
2024-11-04 12:28:00-03:00,1.36,CALETA PAULA
2024-11-04 18:29:00-03:00,5.05,CALETA PAULA
2024-11-05 00:59:00-03:00,0.86,CALETA PAULA
2024-11-05 07:03:00-03:00,5.08,CALETA PAULA
2024-11-05 13:00:00-03:00,1.4,CALETA PAULA
2024-11-05 19:01:00-03:00,5.02,CALETA PAULA
2024-11-06 01:34:00-03:00,0.87,CALETA PAULA
2024-11-06 07:39:00-03:00,5.06,CALETA PAULA
2024-11-06 13:34:00-03:00,1.44,CALETA PAULA
2024-11-06 19:35:00-03:00,4.97,CALETA PAULA
2024-11-07 02:13:00-03:00,0.91,CALETA PAULA
2024-11-07 08:19:00-03:00,5.0,CALETA PAULA
2024-11-07 14:13:00-03:00,1.52,CALETA PAULA
2024-11-07 20:13:00-03:00,4.89,CALETA PAULA
2024-11-08 02:55:00-03:00,0.97,CALETA PAULA
2024-11-08 09:05:00-03:00,4.91,CALETA PAULA
2024-11-08 14:58:00-03:00,1.64,CALETA PAULA
2024-11-08 20:57:00-03:00,4.76,CALETA PAULA
2024-11-09 03:45:00-03:00,1.05,CALETA PAULA
2024-11-09 09:59:00-03:00,4.8,CALETA PAULA
