datetime,height,port
2024-02-01 02:53:00-03:00,0.93,CALETA PAULA
2024-02-01 09:01:00-03:00,5.08,CALETA PAULA
2024-02-01 15:13:00-03:00,1.3,CALETA PAULA
2024-02-01 21:12:00-03:00,4.77,CALETA PAULA
2024-02-02 03:24:00-03:00,1.09,CALETA PAULA
2024-02-02 09:34:00-03:00,4.98,CALETA PAULA
2024-02-02 15:52:00-03:00,1.3,CALETA PAULA
2024-02-02 21:53:00-03:00,4.64,CALETA PAULA
2024-02-03 04:01:00-03:00,1.27,CALETA PAULA
2024-02-03 10:12:00-03:00,4.84,CALETA PAULA
2024-02-03 16:36:00-03:00,1.35,CALETA PAULA
2024-02-03 22:44:00-03:00,4.52,CALETA PAULA
2024-02-04 04:46:00-03:00,1.46,CALETA PAULA
2024-02-04 11:00:00-03:00,4.67,CALETA PAULA
2024-02-04 17:29:00-03:00,1.41,CALETA PAULA
2024-02-04 23:44:00-03:00,4.43,CALETA PAULA
2024-02-05 05:39:00-03:00,1.62,CALETA PAULA
2024-02-05 11:59:00-03:00,4.54,CALETA PAULA
2024-02-05 18:30:00-03:00,1.43,CALETA PAULA
2024-02-06 00:52:00-03:00,4.44,CALETA PAULA
2024-02-06 06:39:00-03:00,1.71,CALETA PAULA
2024-02-06 13:07:00-03:00,4.52,CALETA PAULA
2024-02-06 19:37:00-03:00,1.36,CALETA PAULA
2024-02-07 01:59:00-03:00,4.57,CALETA PAULA
2024-02-07 07:42:00-03:00,1.72,CALETA PAULA
2024-02-07 14:14:00-03:00,4.63,CALETA PAULA
2024-02-07 20:46:00-03:00,1.2,CALETA PAULA
2024-02-08 03:01:00-03:00,4.79,CALETA PAULA
2024-02-08 08:48:00-03:00,1.66,CALETA PAULA
2024-02-08 15:14:00-03:00,4.85,CALETA PAULA
2024-02-08 21:53:00-03:00,0.94,CALETA PAULA
2024-02-09 03:59:00-03:00,5.06,CALETA PAULA
2024-02-09 09:54:00-03:00,1.54,CALETA PAULA
2024-02-09 16:10:00-03:00,5.11,CALETA PAULA
2024-02-09 22:54:00-03:00,0.65,CALETA PAULA
2024-02-10 04:53:00-03:00,5.33,CALETA PAULA
2024-02-10 10:59:00-03:00,1.38,CALETA PAULA
2024-02-10 17:02:00-03:00,5.36,CALETA PAULA
2024-02-10 23:49:00-03:00,0.38,CALETA PAULA
2024-02-11 05:44:00-03:00,5.59,CALETA PAULA
2024-02-11 11:58:00-03:00,1.18,CALETA PAULA
2024-02-11 17:53:00-03:00,5.58,CALETA PAULA
2024-02-12 00:38:00-03:00,0.19,CALETA PAULA
2024-02-12 06:33:00-03:00,5.8,CALETA PAULA
2024-02-12 12:51:00-03:00,0.97,CALETA PAULA
2024-02-12 18:41:00-03:00,5.73,CALETA PAULA
2024-02-13 01:22:00-03:00,0.1,CALETA PAULA
2024-02-13 07:19:00-03:00,5.92,CALETA PAULA
