datetime,height,port
2024-05-01 03:19:00-03:00,1.68,CALETA PAULA
2024-05-01 09:22:00-03:00,4.69,CALETA PAULA
2024-05-01 16:10:00-03:00,1.13,CALETA PAULA
2024-05-01 22:28:00-03:00,4.74,CALETA PAULA
2024-05-02 04:20:00-03:00,1.83,CALETA PAULA
2024-05-02 10:25:00-03:00,4.51,CALETA PAULA
2024-05-02 17:17:00-03:00,1.2,CALETA PAULA
2024-05-02 23:39:00-03:00,4.7,CALETA PAULA
2024-05-03 05:34:00-03:00,1.88,CALETA PAULA
2024-05-03 11:45:00-03:00,4.44,CALETA PAULA
2024-05-03 18:27:00-03:00,1.16,CALETA PAULA
2024-05-04 00:52:00-03:00,4.83,CALETA PAULA
2024-05-04 06:52:00-03:00,1.75,CALETA PAULA
2024-05-04 13:07:00-03:00,4.59,CALETA PAULA
2024-05-04 19:33:00-03:00,1.05,CALETA PAULA
2024-05-05 01:56:00-03:00,5.09,CALETA PAULA
2024-05-05 08:03:00-03:00,1.45,CALETA PAULA
2024-05-05 14:15:00-03:00,4.9,CALETA PAULA
2024-05-05 20:33:00-03:00,0.9,CALETA PAULA
2024-05-06 02:52:00-03:00,5.37,CALETA PAULA
2024-05-06 09:05:00-03:00,1.09,CALETA PAULA
2024-05-06 15:14:00-03:00,5.24,CALETA PAULA
2024-05-06 21:27:00-03:00,0.79,CALETA PAULA
2024-05-07 03:42:00-03:00,5.6,CALETA PAULA
2024-05-07 09:59:00-03:00,0.75,CALETA PAULA
2024-05-07 16:07:00-03:00,5.54,CALETA PAULA
2024-05-07 22:17:00-03:00,0.73,CALETA PAULA
2024-05-08 04:29:00-03:00,5.73,CALETA PAULA
2024-05-08 10:49:00-03:00,0.49,CALETA PAULA
2024-05-08 16:57:00-03:00,5.75,CALETA PAULA
2024-05-08 23:04:00-03:00,0.73,CALETA PAULA
2024-05-09 05:15:00-03:00,5.77,CALETA PAULA
2024-05-09 11:38:00-03:00,0.32,CALETA PAULA
2024-05-09 17:45:00-03:00,5.86,CALETA PAULA
2024-05-09 23:51:00-03:00,0.77,CALETA PAULA
2024-05-10 05:59:00-03:00,5.74,CALETA PAULA
2024-05-10 12:25:00-03:00,0.24,CALETA PAULA
2024-05-10 18:33:00-03:00,5.88,CALETA PAULA
2024-05-11 00:37:00-03:00,0.84,CALETA PAULA
2024-05-11 06:44:00-03:00,5.65,CALETA PAULA
2024-05-11 13:13:00-03:00,0.24,CALETA PAULA
2024-05-11 19:20:00-03:00,5.8,CALETA PAULA
2024-05-12 01:23:00-03:00,0.95,CALETA PAULA
2024-05-12 07:28:00-03:00,5.5,CALETA PAULA
2024-05-12 14:01:00-03:00,0.32,CALETA PAULA
2024-05-12 20:08:00-03:00,5.63,CALETA PAULA
2024-05-13 02:09:00-03:00,1.12,CALETA PAULA
2024-05-13 08:13:00-03:00,5.3,CALETA PAULA
2024-05-13 14:49:00-03:00,0.46,CALETA PAULA
2024-05-13 20:57:00-03:00,5.39,CALETA PAULA
2024-05-14 02:58:00-03:00,1.33,CALETA PAULA
2024-05-14 09:00:00-03:00,5.05,CALETA PAULA
2024-05-14 15:39:00-03:00,0.65,CALETA PAULA
2024-05-14 21:50:00-03:00,5.12,CALETA PAULA
2024-05-15 03:50:00-03:00,1.56,CALETA PAULA
2024-05-15 09:51:00-03:00,4.77,CALETA PAULA
2024-05-15 16:32:00-03:00,0.86,CALETA PAULA
2024-05-15 22:46:00-03:00,4.88,CALETA PAULA
2024-05-16 04:48:00-03:00,1.75,CALETA PAULA
2024-05-16 10:51:00-03:00,4.53,CALETA PAULA
2024-05-16 17:27:00-03:00,1.04,CALETA PAULA
2024-05-16 23:47:00-03:00,4.74,CALETA PAULA
2024-05-17 05:51:00-03:00,1.84,CALETA PAULA
2024-05-17 11:58:00-03:00,4.38,CALETA PAULA
2024-05-17 18:24:00-03:00,1.18,CALETA PAULA
2024-05-18 00:47:00-03:00,4.72,CALETA PAULA
2024-05-18 06:55:00-03:00,1.79,CALETA PAULA
2024-05-18 13:05:00-03:00,4.38,CALETA PAULA
2024-05-18 19:19:00-03:00,1.25,CALETA PAULA
2024-05-19 01:41:00-03:00,4.79,CALETA PAULA
2024-05-19 07:55:00-03:00,1.62,CALETA PAULA
2024-05-19 14:04:00-03:00,4.48,CALETA PAULA
2024-05-19 20:10:00-03:00,1.29,CALETA PAULA
2024-05-20 02:29:00-03:00,4.9,CALETA PAULA
2024-05-20 08:47:00-03:00,1.41,CALETA PAULA
2024-05-20 14:55:00-03:00,4.63,CALETA PAULA
2024-05-20 20:56:00-03:00,1.31,CALETA PAULA
2024-05-21 03:12:00-03:00,4.99,CALETA PAULA
2024-05-21 09:32:00-03:00,1.21,CALETA PAULA
2024-05-21 15:39:00-03:00,4.77,CALETA PAULA
2024-05-21 21:39:00-03:00,1.34,CALETA PAULA
2024-05-22 03:51:00-03:00,5.04,CALETA PAULA
2024-05-22 10:13:00-03:00,1.06,CALETA PAULA
2024-05-22 16:20:00-03:00,4.89,CALETA PAULA
2024-05-22 22:18:00-03:00,1.36,CALETA PAULA
2024-05-23 04:28:00-03:00,5.06,CALETA PAULA
2024-05-23 10:53:00-03:00,0.95,CALETA PAULA
2024-05-23 16:59:00-03:00,4.98,CALETA PAULA
2024-05-23 22:57:00-03:00,1.38,CALETA PAULA
2024-05-24 05:04:00-03:00,5.07,CALETA PAULA
2024-05-24 11:33:00-03:00,0.88,CALETA PAULA
