datetime,height,port
2024-06-01 05:24:00-03:00,1.66,CALETA PAULA
2024-06-01 11:28:00-03:00,4.62,CALETA PAULA
2024-06-01 17:58:00-03:00,1.04,CALETA PAULA
2024-06-02 00:23:00-03:00,5.02,CALETA PAULA
2024-06-02 06:33:00-03:00,1.5,CALETA PAULA
2024-06-02 12:44:00-03:00,4.71,CALETA PAULA
2024-06-02 18:58:00-03:00,1.07,CALETA PAULA
2024-06-03 01:25:00-03:00,5.14,CALETA PAULA
2024-06-03 07:38:00-03:00,1.24,CALETA PAULA
2024-06-03 13:52:00-03:00,4.93,CALETA PAULA
2024-06-03 19:57:00-03:00,1.07,CALETA PAULA
2024-06-04 02:22:00-03:00,5.29,CALETA PAULA
2024-06-04 08:39:00-03:00,0.96,CALETA PAULA
2024-06-04 14:52:00-03:00,5.19,CALETA PAULA
2024-06-04 20:53:00-03:00,1.06,CALETA PAULA
2024-06-05 03:15:00-03:00,5.41,CALETA PAULA
2024-06-05 09:34:00-03:00,0.72,CALETA PAULA
2024-06-05 15:47:00-03:00,5.42,CALETA PAULA
2024-06-05 21:46:00-03:00,1.06,CALETA PAULA
2024-06-06 04:04:00-03:00,5.47,CALETA PAULA
2024-06-06 10:28:00-03:00,0.54,CALETA PAULA
2024-06-06 16:38:00-03:00,5.56,CALETA PAULA
2024-06-06 22:37:00-03:00,1.07,CALETA PAULA
2024-06-07 04:52:00-03:00,5.49,CALETA PAULA
2024-06-07 11:20:00-03:00,0.44,CALETA PAULA
2024-06-07 17:28:00-03:00,5.63,CALETA PAULA
2024-06-07 23:28:00-03:00,1.11,CALETA PAULA
2024-06-08 05:39:00-03:00,5.47,CALETA PAULA
2024-06-08 12:12:00-03:00,0.38,CALETA PAULA
2024-06-08 18:17:00-03:00,5.62,CALETA PAULA
2024-06-09 00:18:00-03:00,1.15,CALETA PAULA
2024-06-09 06:25:00-03:00,5.42,CALETA PAULA
2024-06-09 13:02:00-03:00,0.35,CALETA PAULA
2024-06-09 19:05:00-03:00,5.56,CALETA PAULA
2024-06-10 01:08:00-03:00,1.22,CALETA PAULA
2024-06-10 07:10:00-03:00,5.35,CALETA PAULA
2024-06-10 13:49:00-03:00,0.37,CALETA PAULA
2024-06-10 19:52:00-03:00,5.45,CALETA PAULA
2024-06-11 01:55:00-03:00,1.31,CALETA PAULA
2024-06-11 07:55:00-03:00,5.22,CALETA PAULA
2024-06-11 14:34:00-03:00,0.44,CALETA PAULA
2024-06-11 20:39:00-03:00,5.31,CALETA PAULA
2024-06-12 02:42:00-03:00,1.43,CALETA PAULA
2024-06-12 08:39:00-03:00,5.05,CALETA PAULA
2024-06-12 15:17:00-03:00,0.58,CALETA PAULA
2024-06-12 21:26:00-03:00,5.14,CALETA PAULA
2024-06-13 03:29:00-03:00,1.55,CALETA PAULA
2024-06-13 09:25:00-03:00,4.84,CALETA PAULA
2024-06-13 16:00:00-03:00,0.77,CALETA PAULA
2024-06-13 22:13:00-03:00,4.98,CALETA PAULA
2024-06-14 04:18:00-03:00,1.64,CALETA PAULA
2024-06-14 10:15:00-03:00,4.61,CALETA PAULA
2024-06-14 16:44:00-03:00,0.99,CALETA PAULA
2024-06-14 23:02:00-03:00,4.84,CALETA PAULA
2024-06-15 05:10:00-03:00,1.68,CALETA PAULA
