datetime,height,port
2024-07-01 06:07:00-03:00,1.22,CALETA PAULA
2024-07-01 12:19:00-03:00,4.84,CALETA PAULA
2024-07-01 18:23:00-03:00,1.17,CALETA PAULA
2024-07-02 00:52:00-03:00,5.07,CALETA PAULA
2024-07-02 07:10:00-03:00,1.1,CALETA PAULA
2024-07-02 13:28:00-03:00,4.93,CALETA PAULA
2024-07-02 19:24:00-03:00,1.29,CALETA PAULA
2024-07-03 01:53:00-03:00,5.07,CALETA PAULA
2024-07-03 08:13:00-03:00,0.96,CALETA PAULA
2024-07-03 14:31:00-03:00,5.07,CALETA PAULA
2024-07-03 20:24:00-03:00,1.34,CALETA PAULA
2024-07-04 02:51:00-03:00,5.11,CALETA PAULA
2024-07-04 09:15:00-03:00,0.82,CALETA PAULA
2024-07-04 15:29:00-03:00,5.21,CALETA PAULA
2024-07-04 21:23:00-03:00,1.37,CALETA PAULA
2024-07-05 03:45:00-03:00,5.17,CALETA PAULA
2024-07-05 10:15:00-03:00,0.7,CALETA PAULA
2024-07-05 16:23:00-03:00,5.31,CALETA PAULA
2024-07-05 22:21:00-03:00,1.37,CALETA PAULA
2024-07-06 04:36:00-03:00,5.22,CALETA PAULA
2024-07-06 11:12:00-03:00,0.59,CALETA PAULA
2024-07-06 17:14:00-03:00,5.37,CALETA PAULA
2024-07-06 23:17:00-03:00,1.37,CALETA PAULA
2024-07-07 05:25:00-03:00,5.26,CALETA PAULA
2024-07-07 12:05:00-03:00,0.49,CALETA PAULA
2024-07-07 18:04:00-03:00,5.39,CALETA PAULA
2024-07-08 00:10:00-03:00,1.37,CALETA PAULA
2024-07-08 06:11:00-03:00,5.28,CALETA PAULA
2024-07-08 12:52:00-03:00,0.41,CALETA PAULA
2024-07-08 18:51:00-03:00,5.39,CALETA PAULA
2024-07-09 00:59:00-03:00,1.37,CALETA PAULA
2024-07-09 06:55:00-03:00,5.27,CALETA PAULA
2024-07-09 13:35:00-03:00,0.39,CALETA PAULA
2024-07-09 19:36:00-03:00,5.36,CALETA PAULA
2024-07-10 01:44:00-03:00,1.38,CALETA PAULA
2024-07-10 07:37:00-03:00,5.2,CALETA PAULA
2024-07-10 14:14:00-03:00,0.44,CALETA PAULA
2024-07-10 20:17:00-03:00,5.3,CALETA PAULA
2024-07-11 02:25:00-03:00,1.39,CALETA PAULA
2024-07-11 08:17:00-03:00,5.08,CALETA PAULA
2024-07-11 14:49:00-03:00,0.58,CALETA PAULA
2024-07-11 20:56:00-03:00,5.21,CALETA PAULA
2024-07-12 03:04:00-03:00,1.41,CALETA PAULA
2024-07-12 08:57:00-03:00,4.92,CALETA PAULA
2024-07-12 15:23:00-03:00,0.77,CALETA PAULA
2024-07-12 21:33:00-03:00,5.09,CALETA PAULA
2024-07-13 03:43:00-03:00,1.43,CALETA PAULA
2024-07-13 09:39:00-03:00,4.74,CALETA PAULA
2024-07-13 15:58:00-03:00,1.01,CALETA PAULA
2024-07-13 22:11:00-03:00,4.95,CALETA PAULA
2024-07-14 04:24:00-03:00,1.45,CALETA PAULA
2024-07-14 10:25:00-03:00,4.56,CALETA PAULA
2024-07-14 16:36:00-03:00,1.24,CALETA PAULA
2024-07-14 22:52:00-03:00,4.81,CALETA PAULA
2024-07-15 05:11:00-03:00,1.46,CALETA PAULA
2024-07-15 11:19:00-03:00,4.42,CALETA PAULA
2024-07-15 17:21:00-03:00,1.45,CALETA PAULA
2024-07-15 23:40:00-03:00,4.68,CALETA PAULA
2024-07-16 06:02:00-03:00,1.45,CALETA PAULA
2024-07-16 12:18:00-03:00,4.36,CALETA PAULA
2024-07-16 18:10:00-03:00,1.6,CALETA PAULA
2024-07-17 00:34:00-03:00,4.6,CALETA PAULA
2024-07-17 06:57:00-03:00,1.42,CALETA PAULA
2024-07-17 13:18:00-03:00,4.4,CALETA PAULA
2024-07-17 19:04:00-03:00,1.68,CALETA PAULA
2024-07-18 01:31:00-03:00,4.59,CALETA PAULA
2024-07-18 07:55:00-03:00,1.35,CALETA PAULA
2024-07-18 14:15:00-03:00,4.52,CALETA PAULA
2024-07-18 19:59:00-03:00,1.7,CALETA PAULA
2024-07-19 02:27:00-03:00,4.65,CALETA PAULA
2024-07-19 08:53:00-03:00,1.23,CALETA PAULA
2024-07-19 15:09:00-03:00,4.68,CALETA PAULA
2024-07-19 20:55:00-03:00,1.66,CALETA PAULA
2024-07-20 03:19:00-03:00,4.78,CALETA PAULA
2024-07-20 09:52:00-03:00,1.07,CALETA PAULA
2024-07-20 16:00:00-03:00,4.87,CALETA PAULA
2024-07-20 21:51:00-03:00,1.6,CALETA PAULA
2024-07-21 04:09:00-03:00,4.94,CALETA PAULA
2024-07-21 10:49:00-03:00,0.86,CALETA PAULA
2024-07-21 16:50:00-03:00,5.08,CALETA PAULA
2024-07-21 22:49:00-03:00,1.52,CALETA PAULA
2024-07-22 04:57:00-03:00,5.12,CALETA PAULA
2024-07-22 11:43:00-03:00,0.63,CALETA PAULA
2024-07-22 17:39:00-03:00,5.29,CALETA PAULA
2024-07-22 23:45:00-03:00,1.41,CALETA PAULA
2024-07-23 05:44:00-03:00,5.29,CALETA PAULA
2024-07-23 12:33:00-03:00,0.43,CALETA PAULA
2024-07-23 18:28:00-03:00,5.48,CALETA PAULA
2024-07-24 00:39:00-03:00,1.28,CALETA PAULA
2024-07-24 06:31:00-03:00,5.43,CALETA PAULA
2024-07-24 13:19:00-03:00,0.28,CALETA PAULA
2024-07-24 19:14:00-03:00,5.64,CALETA PAULA
2024-07-25 01:29:00-03:00,1.15,CALETA PAULA
2024-07-25 07:17:00-03:00,5.51,CALETA PAULA
2024-07-25 14:00:00-03:00,0.24,CALETA PAULA
2024-07-25 19:59:00-03:00,5.71,CALETA PAULA
2024-07-26 02:15:00-03:00,1.04,CALETA PAULA
2024-07-26 08:05:00-03:00,5.52,CALETA PAULA
2024-07-26 14:40:00-03:00,0.32,CALETA PAULA
2024-07-26 20:44:00-03:00,5.69,CALETA PAULA
2024-07-27 03:00:00-03:00,0.96,CALETA PAULA
2024-07-27 08:54:00-03:00,5.44,CALETA PAULA
2024-07-27 15:21:00-03:00,0.5,CALETA PAULA
2024-07-27 21:30:00-03:00,5.56,CALETA PAULA
2024-07-28 03:48:00-03:00,0.94,CALETA PAULA
2024-07-28 09:47:00-03:00,5.29,CALETA PAULA
2024-07-28 16:04:00-03:00,0.75,CALETA PAULA
2024-07-28 22:19:00-03:00,5.35,CALETA PAULA
2024-07-29 04:39:00-03:00,0.97,CALETA PAULA
2024-07-29 10:47:00-03:00,5.1,CALETA PAULA
2024-07-29 16:55:00-03:00,1.04,CALETA PAULA
2024-07-29 23:15:00-03:00,5.1,CALETA PAULA
2024-07-30 05:38:00-03:00,1.04,CALETA PAULA
2024-07-30 11:54:00-03:00,4.94,CALETA PAULA
2024-07-30 17:52:00-03:00,1.31,CALETA PAULA
2024-07-31 00:19:00-03:00,4.89,CALETA PAULA
2024-07-31 06:43:00-03:00,1.08,CALETA PAULA
2024-07-31 13:04:00-03:00,4.88,CALETA PAULA
2024-07-31 18:56:00-03:00,1.5,CALETA PAULA
