datetime,height,port
2024-08-01 01:28:00-03:00,4.8,CALETA PAULA
2024-08-01 07:53:00-03:00,1.07,CALETA PAULA
2024-08-01 14:12:00-03:00,4.91,CALETA PAULA
2024-08-01 20:03:00-03:00,1.59,CALETA PAULA
2024-08-02 02:33:00-03:00,4.83,CALETA PAULA
2024-08-02 09:04:00-03:00,0.97,CALETA PAULA
2024-08-02 15:14:00-03:00,5.0,CALETA PAULA
2024-08-02 21:12:00-03:00,1.6,CALETA PAULA
2024-08-03 03:32:00-03:00,4.94,CALETA PAULA
2024-08-03 10:08:00-03:00,0.82,CALETA PAULA
2024-08-03 16:10:00-03:00,5.11,CALETA PAULA
2024-08-03 22:17:00-03:00,1.55,CALETA PAULA
2024-08-04 04:25:00-03:00,5.06,CALETA PAULA
2024-08-04 11:04:00-03:00,0.66,CALETA PAULA
2024-08-04 17:02:00-03:00,5.2,CALETA PAULA
2024-08-04 23:14:00-03:00,1.49,CALETA PAULA
2024-08-05 05:12:00-03:00,5.16,CALETA PAULA
2024-08-05 11:53:00-03:00,0.52,CALETA PAULA
2024-08-05 17:49:00-03:00,5.28,CALETA PAULA
2024-08-06 00:04:00-03:00,1.41,CALETA PAULA
2024-08-06 05:57:00-03:00,5.22,CALETA PAULA
2024-08-06 12:36:00-03:00,0.45,CALETA PAULA
2024-08-06 18:33:00-03:00,5.33,CALETA PAULA
2024-08-07 00:48:00-03:00,1.34,CALETA PAULA
2024-08-07 06:38:00-03:00,5.24,CALETA PAULA
2024-08-07 13:14:00-03:00,0.46,CALETA PAULA
2024-08-07 19:12:00-03:00,5.34,CALETA PAULA
2024-08-08 01:26:00-03:00,1.28,CALETA PAULA
2024-08-08 07:16:00-03:00,5.2,CALETA PAULA
2024-08-08 13:46:00-03:00,0.55,CALETA PAULA
2024-08-08 19:48:00-03:00,5.32,CALETA PAULA
2024-08-09 02:00:00-03:00,1.23,CALETA PAULA
2024-08-09 07:53:00-03:00,5.12,CALETA PAULA
2024-08-09 14:15:00-03:00,0.7,CALETA PAULA
2024-08-09 20:19:00-03:00,5.25,CALETA PAULA
2024-08-10 02:32:00-03:00,1.2,CALETA PAULA
2024-08-10 08:28:00-03:00,5.01,CALETA PAULA
2024-08-10 14:43:00-03:00,0.88,CALETA PAULA
2024-08-10 20:49:00-03:00,5.15,CALETA PAULA
2024-08-11 03:04:00-03:00,1.18,CALETA PAULA
2024-08-11 09:03:00-03:00,4.87,CALETA PAULA
2024-08-11 15:13:00-03:00,1.08,CALETA PAULA
2024-08-11 21:20:00-03:00,5.01,CALETA PAULA
2024-08-12 03:39:00-03:00,1.21,CALETA PAULA
2024-08-12 09:42:00-03:00,4.72,CALETA PAULA
2024-08-12 15:47:00-03:00,1.28,CALETA PAULA
2024-08-12 21:55:00-03:00,4.85,CALETA PAULA
2024-08-13 04:19:00-03:00,1.28,CALETA PAULA
2024-08-13 10:28:00-03:00,4.56,CALETA PAULA
2024-08-13 16:28:00-03:00,1.48,CALETA PAULA
2024-08-13 22:38:00-03:00,4.66,CALETA PAULA
2024-08-14 05:08:00-03:00,1.38,CALETA PAULA
2024-08-14 11:23:00-03:00,4.43,CALETA PAULA
2024-08-14 17:17:00-03:00,1.65,CALETA PAULA
2024-08-14 23:33:00-03:00,4.49,CALETA PAULA
2024-08-15 06:07:00-03:00,1.46,CALETA PAULA
2024-08-15 12:29:00-03:00,4.37,CALETA PAULA
2024-08-15 18:15:00-03:00,1.77,CALETA PAULA
2024-08-16 00:40:00-03:00,4.42,CALETA PAULA
2024-08-16 07:14:00-03:00,1.44,CALETA PAULA
2024-08-16 13:36:00-03:00,4.45,CALETA PAULA
2024-08-16 19:19:00-03:00,1.8,CALETA PAULA
2024-08-17 01:50:00-03:00,4.5,CALETA PAULA
2024-08-17 08:22:00-03:00,1.3,CALETA PAULA
2024-08-17 14:39:00-03:00,4.64,CALETA PAULA
2024-08-17 20:24:00-03:00,1.75,CALETA PAULA
2024-08-18 02:52:00-03:00,4.7,CALETA PAULA
2024-08-18 09:28:00-03:00,1.06,CALETA PAULA
2024-08-18 15:36:00-03:00,4.91,CALETA PAULA
2024-08-18 21:30:00-03:00,1.62,CALETA PAULA
2024-08-19 03:47:00-03:00,4.96,CALETA PAULA
2024-08-19 10:28:00-03:00,0.77,CALETA PAULA
2024-08-19 16:29:00-03:00,5.2,CALETA PAULA
2024-08-19 22:33:00-03:00,1.44,CALETA PAULA
2024-08-20 04:38:00-03:00,5.23,CALETA PAULA
2024-08-20 11:21:00-03:00,0.5,CALETA PAULA
2024-08-20 17:19:00-03:00,5.49,CALETA PAULA
2024-08-20 23:31:00-03:00,1.22,CALETA PAULA
2024-08-21 05:27:00-03:00,5.48,CALETA PAULA
2024-08-21 12:10:00-03:00,0.29,CALETA PAULA
2024-08-21 18:06:00-03:00,5.73,CALETA PAULA
2024-08-22 00:23:00-03:00,0.99,CALETA PAULA
2024-08-22 06:15:00-03:00,5.67,CALETA PAULA
2024-08-22 12:54:00-03:00,0.19,CALETA PAULA
