datetime,height,port
2024-09-01 03:19:00-03:00,4.81,CALETA PAULA
2024-09-01 09:55:00-03:00,0.85,CALETA PAULA
2024-09-01 15:56:00-03:00,5.04,CALETA PAULA
2024-09-01 22:12:00-03:00,1.58,CALETA PAULA
2024-09-02 04:10:00-03:00,4.98,CALETA PAULA
2024-09-02 10:47:00-03:00,0.68,CALETA PAULA
2024-09-02 16:44:00-03:00,5.18,CALETA PAULA
2024-09-02 23:04:00-03:00,1.43,CALETA PAULA
2024-09-03 04:56:00-03:00,5.12,CALETA PAULA
2024-09-03 11:31:00-03:00,0.58,CALETA PAULA
2024-09-03 17:28:00-03:00,5.28,CALETA PAULA
2024-09-03 23:48:00-03:00,1.3,CALETA PAULA
2024-09-04 05:38:00-03:00,5.19,CALETA PAULA
2024-09-04 12:09:00-03:00,0.57,CALETA PAULA
2024-09-04 18:07:00-03:00,5.33,CALETA PAULA
2024-09-05 00:27:00-03:00,1.19,CALETA PAULA
2024-09-05 06:16:00-03:00,5.21,CALETA PAULA
2024-09-05 12:43:00-03:00,0.65,CALETA PAULA
2024-09-05 18:41:00-03:00,5.33,CALETA PAULA
2024-09-06 01:00:00-03:00,1.1,CALETA PAULA
2024-09-06 06:52:00-03:00,5.19,CALETA PAULA
2024-09-06 13:12:00-03:00,0.77,CALETA PAULA
2024-09-06 19:12:00-03:00,5.29,CALETA PAULA
2024-09-07 01:30:00-03:00,1.04,CALETA PAULA
2024-09-07 07:26:00-03:00,5.14,CALETA PAULA
2024-09-07 13:39:00-03:00,0.91,CALETA PAULA
2024-09-07 19:40:00-03:00,5.22,CALETA PAULA
2024-09-08 01:57:00-03:00,1.0,CALETA PAULA
2024-09-08 07:58:00-03:00,5.07,CALETA PAULA
2024-09-08 14:04:00-03:00,1.05,CALETA PAULA
2024-09-08 20:07:00-03:00,5.14,CALETA PAULA
2024-09-09 02:26:00-03:00,1.0,CALETA PAULA
2024-09-09 08:30:00-03:00,4.99,CALETA PAULA
2024-09-09 14:32:00-03:00,1.19,CALETA PAULA
2024-09-09 20:35:00-03:00,5.02,CALETA PAULA
2024-09-10 02:58:00-03:00,1.05,CALETA PAULA
2024-09-10 09:05:00-03:00,4.87,CALETA PAULA
2024-09-10 15:05:00-03:00,1.33,CALETA PAULA
2024-09-10 21:08:00-03:00,4.86,CALETA PAULA
2024-09-11 03:37:00-03:00,1.17,CALETA PAULA
2024-09-11 09:47:00-03:00,4.7,CALETA PAULA
2024-09-11 15:44:00-03:00,1.51,CALETA PAULA
2024-09-11 21:49:00-03:00,4.66,CALETA PAULA
2024-09-12 04:26:00-03:00,1.33,CALETA PAULA
2024-09-12 10:41:00-03:00,4.53,CALETA PAULA
2024-09-12 16:34:00-03:00,1.69,CALETA PAULA
2024-09-12 22:43:00-03:00,4.46,CALETA PAULA
2024-09-13 05:28:00-03:00,1.45,CALETA PAULA
2024-09-13 11:49:00-03:00,4.41,CALETA PAULA
2024-09-13 17:37:00-03:00,1.84,CALETA PAULA
2024-09-13 23:56:00-03:00,4.34,CALETA PAULA
2024-09-14 06:41:00-03:00,1.44,CALETA PAULA
2024-09-14 13:05:00-03:00,4.46,CALETA PAULA
2024-09-14 18:49:00-03:00,1.88,CALETA PAULA
2024-09-15 01:17:00-03:00,4.42,CALETA PAULA
2024-09-15 07:55:00-03:00,1.27,CALETA PAULA
2024-09-15 14:14:00-03:00,4.7,CALETA PAULA
2024-09-15 20:02:00-03:00,1.78,CALETA PAULA
