datetime,height,port
2024-10-01 01:21:00-03:00,1.33,CALETA SAN PABLO
2024-10-01 07:36:00-03:00,5.97,CALETA SAN PABLO
2024-10-01 13:41:00-03:00,1.55,CALETA SAN PABLO
2024-10-01 19:48:00-03:00,6.1,CALETA SAN PABLO
2024-10-02 02:00:00-03:00,1.25,CALETA SAN PABLO
2024-10-02 08:10:00-03:00,6.09,CALETA SAN PABLO
2024-10-02 14:16:00-03:00,1.32,CALETA SAN PABLO
2024-10-02 20:25:00-03:00,6.24,CALETA SAN PABLO
2024-10-03 02:35:00-03:00,1.24,CALETA SAN PABLO
2024-10-03 08:41:00-03:00,6.16,CALETA SAN PABLO
2024-10-03 14:48:00-03:00,1.15,CALETA SAN PABLO
2024-10-03 20:59:00-03:00,6.32,CALETA SAN PABLO
2024-10-04 03:06:00-03:00,1.29,CALETA SAN PABLO
2024-10-04 09:09:00-03:00,6.19,CALETA SAN PABLO
2024-10-04 15:19:00-03:00,1.03,CALETA SAN PABLO
2024-10-04 21:32:00-03:00,6.32,CALETA SAN PABLO
2024-10-05 03:36:00-03:00,1.39,CALETA SAN PABLO
2024-10-05 09:38:00-03:00,6.19,CALETA SAN PABLO
2024-10-05 15:50:00-03:00,0.97,CALETA SAN PABLO
2024-10-05 22:04:00-03:00,6.26,CALETA SAN PABLO
2024-10-06 04:07:00-03:00,1.52,CALETA SAN PABLO
2024-10-06 10:07:00-03:00,6.15,CALETA SAN PABLO
2024-10-06 16:22:00-03:00,0.98,CALETA SAN PABLO
2024-10-06 22:38:00-03:00,6.13,CALETA SAN PABLO
2024-10-07 04:39:00-03:00,1.69,CALETA SAN PABLO
2024-10-07 10:39:00-03:00,6.07,CALETA SAN PABLO
2024-10-07 16:58:00-03:00,1.06,CALETA SAN PABLO
2024-10-07 23:16:00-03:00,5.95,CALETA SAN PABLO
2024-10-08 05:15:00-03:00,1.89,CALETA SAN PABLO
2024-10-08 11:16:00-03:00,5.94,CALETA SAN PABLO
2024-10-08 17:38:00-03:00,1.22,CALETA SAN PABLO
2024-10-08 23:59:00-03:00,5.73,CALETA SAN PABLO
2024-10-09 05:57:00-03:00,2.11,CALETA SAN PABLO
2024-10-09 12:00:00-03:00,5.75,CALETA SAN PABLO
2024-10-09 18:26:00-03:00,1.43,CALETA SAN PABLO
2024-10-10 00:51:00-03:00,5.5,CALETA SAN PABLO
