datetime,height,port
2024-02-01 00:16:00-03:00,5.77,CALETA SAN PABLO
2024-02-01 06:26:00-03:00,1.71,CALETA SAN PABLO
2024-02-01 12:35:00-03:00,5.64,CALETA SAN PABLO
2024-02-01 18:43:00-03:00,1.86,CALETA SAN PABLO
2024-02-02 00:53:00-03:00,5.66,CALETA SAN PABLO
2024-02-02 07:09:00-03:00,1.77,CALETA SAN PABLO
2024-02-02 13:22:00-03:00,5.45,CALETA SAN PABLO
2024-02-02 19:27:00-03:00,2.11,CALETA SAN PABLO
2024-02-03 01:36:00-03:00,5.54,CALETA SAN PABLO
2024-02-03 07:59:00-03:00,1.82,CALETA SAN PABLO
2024-02-03 14:17:00-03:00,5.28,CALETA SAN PABLO
2024-02-03 20:19:00-03:00,2.34,CALETA SAN PABLO
2024-02-04 02:29:00-03:00,5.44,CALETA SAN PABLO
2024-02-04 08:59:00-03:00,1.84,CALETA SAN PABLO
2024-02-04 15:22:00-03:00,5.18,CALETA SAN PABLO
2024-02-04 21:22:00-03:00,2.49,CALETA SAN PABLO
2024-02-05 03:31:00-03:00,5.41,CALETA SAN PABLO
2024-02-05 10:06:00-03:00,1.77,CALETA SAN PABLO
2024-02-05 16:34:00-03:00,5.22,CALETA SAN PABLO
2024-02-05 22:32:00-03:00,2.49,CALETA SAN PABLO
2024-02-06 04:39:00-03:00,5.49,CALETA SAN PABLO
2024-02-06 11:13:00-03:00,1.58,CALETA SAN PABLO
2024-02-06 17:42:00-03:00,5.43,CALETA SAN PABLO
2024-02-06 23:40:00-03:00,2.32,CALETA SAN PABLO
2024-02-07 05:45:00-03:00,5.71,CALETA SAN PABLO
2024-02-07 12:16:00-03:00,1.28,CALETA SAN PABLO
2024-02-07 18:42:00-03:00,5.75,CALETA SAN PABLO
2024-02-08 00:41:00-03:00,2.02,CALETA SAN PABLO
2024-02-08 06:45:00-03:00,6.03,CALETA SAN PABLO
2024-02-08 13:11:00-03:00,0.93,CALETA SAN PABLO
2024-02-08 19:34:00-03:00,6.11,CALETA SAN PABLO
2024-02-09 01:35:00-03:00,1.64,CALETA SAN PABLO
2024-02-09 07:39:00-03:00,6.38,CALETA SAN PABLO
2024-02-09 14:01:00-03:00,0.61,CALETA SAN PABLO
2024-02-09 20:21:00-03:00,6.45,CALETA SAN PABLO
2024-02-10 02:23:00-03:00,1.27,CALETA SAN PABLO
2024-02-10 08:28:00-03:00,6.7,CALETA SAN PABLO
2024-02-10 14:48:00-03:00,0.36,CALETA SAN PABLO
2024-02-10 21:05:00-03:00,6.73,CALETA SAN PABLO
2024-02-11 03:09:00-03:00,0.95,CALETA SAN PABLO
2024-02-11 09:15:00-03:00,6.93,CALETA SAN PABLO
2024-02-11 15:33:00-03:00,0.23,CALETA SAN PABLO
2024-02-11 21:48:00-03:00,6.9,CALETA SAN PABLO
2024-02-12 03:53:00-03:00,0.72,CALETA SAN PABLO
2024-02-12 10:01:00-03:00,7.04,CALETA SAN PABLO
2024-02-12 16:16:00-03:00,0.23,CALETA SAN PABLO
2024-02-12 22:30:00-03:00,6.96,CALETA SAN PABLO
2024-02-13 04:37:00-03:00,0.61,CALETA SAN PABLO
2024-02-13 10:46:00-03:00,7.01,CALETA SAN PABLO
2024-02-13 17:00:00-03:00,0.38,CALETA SAN PABLO
