datetime,height,port
2024-03-01 05:47:00-03:00,1.32,CALETA SAN PABLO
2024-03-01 12:01:00-03:00,5.88,CALETA SAN PABLO
2024-03-01 18:04:00-03:00,1.79,CALETA SAN PABLO
2024-03-02 00:10:00-03:00,5.87,CALETA SAN PABLO
2024-03-02 06:29:00-03:00,1.43,CALETA SAN PABLO
2024-03-02 12:46:00-03:00,5.64,CALETA SAN PABLO
2024-03-02 18:47:00-03:00,2.06,CALETA SAN PABLO
2024-03-03 00:54:00-03:00,5.7,CALETA SAN PABLO
2024-03-03 07:19:00-03:00,1.58,CALETA SAN PABLO
2024-03-03 13:41:00-03:00,5.4,CALETA SAN PABLO
2024-03-03 19:40:00-03:00,2.32,CALETA SAN PABLO
2024-03-04 01:48:00-03:00,5.52,CALETA SAN PABLO
2024-03-04 08:21:00-03:00,1.73,CALETA SAN PABLO
2024-03-04 14:48:00-03:00,5.23,CALETA SAN PABLO
2024-03-04 20:48:00-03:00,2.5,CALETA SAN PABLO
2024-03-05 02:57:00-03:00,5.4,CALETA SAN PABLO
2024-03-05 09:34:00-03:00,1.76,CALETA SAN PABLO
2024-03-05 16:05:00-03:00,5.24,CALETA SAN PABLO
2024-03-05 22:07:00-03:00,2.5,CALETA SAN PABLO
2024-03-06 04:15:00-03:00,5.45,CALETA SAN PABLO
2024-03-06 10:50:00-03:00,1.61,CALETA SAN PABLO
2024-03-06 17:19:00-03:00,5.46,CALETA SAN PABLO
2024-03-06 23:22:00-03:00,2.25,CALETA SAN PABLO
2024-03-07 05:28:00-03:00,5.71,CALETA SAN PABLO
2024-03-07 11:57:00-03:00,1.31,CALETA SAN PABLO
2024-03-07 18:22:00-03:00,5.82,CALETA SAN PABLO
2024-03-08 00:25:00-03:00,1.85,CALETA SAN PABLO
2024-03-08 06:31:00-03:00,6.1,CALETA SAN PABLO
2024-03-08 12:54:00-03:00,0.95,CALETA SAN PABLO
2024-03-08 19:14:00-03:00,6.23,CALETA SAN PABLO
2024-03-09 01:18:00-03:00,1.38,CALETA SAN PABLO
2024-03-09 07:25:00-03:00,6.51,CALETA SAN PABLO
2024-03-09 13:44:00-03:00,0.61,CALETA SAN PABLO
