datetime,height,port
2024-04-01 00:24:00-03:00,5.81,CALETA SAN PABLO
2024-04-01 06:51:00-03:00,1.39,CALETA SAN PABLO
2024-04-01 13:16:00-03:00,5.54,CALETA SAN PABLO
2024-04-01 19:17:00-03:00,2.27,CALETA SAN PABLO
2024-04-02 01:23:00-03:00,5.59,CALETA SAN PABLO
2024-04-02 07:55:00-03:00,1.6,CALETA SAN PABLO
2024-04-02 14:24:00-03:00,5.38,CALETA SAN PABLO
2024-04-02 20:28:00-03:00,2.41,CALETA SAN PABLO
2024-04-03 02:36:00-03:00,5.45,CALETA SAN PABLO
2024-04-03 09:10:00-03:00,1.68,CALETA SAN PABLO
2024-04-03 15:41:00-03:00,5.4,CALETA SAN PABLO
2024-04-03 21:48:00-03:00,2.33,CALETA SAN PABLO
2024-04-04 03:56:00-03:00,5.52,CALETA SAN PABLO
2024-04-04 10:26:00-03:00,1.57,CALETA SAN PABLO
2024-04-04 16:54:00-03:00,5.62,CALETA SAN PABLO
2024-04-04 23:02:00-03:00,2.02,CALETA SAN PABLO
2024-04-05 05:11:00-03:00,5.8,CALETA SAN PABLO
2024-04-05 11:34:00-03:00,1.31,CALETA SAN PABLO
2024-04-05 17:55:00-03:00,5.98,CALETA SAN PABLO
2024-04-06 00:04:00-03:00,1.57,CALETA SAN PABLO
2024-04-06 06:13:00-03:00,6.2,CALETA SAN PABLO
2024-04-06 12:31:00-03:00,0.99,CALETA SAN PABLO
2024-04-06 18:47:00-03:00,6.36,CALETA SAN PABLO
2024-04-07 00:56:00-03:00,1.09,CALETA SAN PABLO
2024-04-07 07:06:00-03:00,6.6,CALETA SAN PABLO
2024-04-07 13:21:00-03:00,0.7,CALETA SAN PABLO
2024-04-07 19:33:00-03:00,6.69,CALETA SAN PABLO
2024-04-08 01:43:00-03:00,0.66,CALETA SAN PABLO
2024-04-08 07:55:00-03:00,6.93,CALETA SAN PABLO
2024-04-08 14:07:00-03:00,0.52,CALETA SAN PABLO
2024-04-08 20:16:00-03:00,6.92,CALETA SAN PABLO
2024-04-09 02:27:00-03:00,0.35,CALETA SAN PABLO
2024-04-09 08:40:00-03:00,7.12,CALETA SAN PABLO
2024-04-09 14:50:00-03:00,0.47,CALETA SAN PABLO
2024-04-09 20:57:00-03:00,7.03,CALETA SAN PABLO
2024-04-10 03:09:00-03:00,0.18,CALETA SAN PABLO
2024-04-10 09:24:00-03:00,7.16,CALETA SAN PABLO
2024-04-10 15:32:00-03:00,0.57,CALETA SAN PABLO
2024-04-10 21:38:00-03:00,6.99,CALETA SAN PABLO
2024-04-11 03:51:00-03:00,0.18,CALETA SAN PABLO
2024-04-11 10:08:00-03:00,7.04,CALETA SAN PABLO
2024-04-11 16:14:00-03:00,0.8,CALETA SAN PABLO
2024-04-11 22:19:00-03:00,6.81,CALETA SAN PABLO
2024-04-12 04:34:00-03:00,0.33,CALETA SAN PABLO
2024-04-12 10:52:00-03:00,6.78,CALETA SAN PABLO
2024-04-12 16:58:00-03:00,1.14,CALETA SAN PABLO
2024-04-12 23:00:00-03:00,6.52,CALETA SAN PABLO
2024-04-13 05:19:00-03:00,0.61,CALETA SAN PABLO
2024-04-13 11:39:00-03:00,6.41,CALETA SAN PABLO
2024-04-13 17:43:00-03:00,1.56,CALETA SAN PABLO
2024-04-13 23:45:00-03:00,6.14,CALETA SAN PABLO
2024-04-14 06:07:00-03:00,0.98,CALETA SAN PABLO
2024-04-14 12:31:00-03:00,5.99,CALETA SAN PABLO
2024-04-14 18:34:00-03:00,2.0,CALETA SAN PABLO
2024-04-15 00:35:00-03:00,5.73,CALETA SAN PABLO
2024-04-15 07:01:00-03:00,1.38,CALETA SAN PABLO
2024-04-15 13:30:00-03:00,5.59,CALETA SAN PABLO
2024-04-15 19:34:00-03:00,2.38,CALETA SAN PABLO
2024-04-16 01:34:00-03:00,5.36,CALETA SAN PABLO
2024-04-16 08:05:00-03:00,1.74,CALETA SAN PABLO
2024-04-16 14:39:00-03:00,5.3,CALETA SAN PABLO
2024-04-16 20:45:00-03:00,2.62,CALETA SAN PABLO
2024-04-17 02:46:00-03:00,5.11,CALETA SAN PABLO
2024-04-17 09:18:00-03:00,1.96,CALETA SAN PABLO
2024-04-17 15:55:00-03:00,5.2,CALETA SAN PABLO
2024-04-17 22:03:00-03:00,2.64,CALETA SAN PABLO
2024-04-18 04:04:00-03:00,5.07,CALETA SAN PABLO
2024-04-18 10:32:00-03:00,1.99,CALETA SAN PABLO
2024-04-18 17:02:00-03:00,5.27,CALETA SAN PABLO
2024-04-18 23:11:00-03:00,2.46,CALETA SAN PABLO
2024-04-19 05:14:00-03:00,5.22,CALETA SAN PABLO
2024-04-19 11:34:00-03:00,1.9,CALETA SAN PABLO
2024-04-19 17:56:00-03:00,5.43,CALETA SAN PABLO
2024-04-20 00:04:00-03:00,2.18,CALETA SAN PABLO
2024-04-20 06:09:00-03:00,5.46,CALETA SAN PABLO
2024-04-20 12:24:00-03:00,1.77,CALETA SAN PABLO
2024-04-20 18:39:00-03:00,5.61,CALETA SAN PABLO
2024-04-21 00:46:00-03:00,1.87,CALETA SAN PABLO
2024-04-21 06:54:00-03:00,5.71,CALETA SAN PABLO
2024-04-21 13:05:00-03:00,1.65,CALETA SAN PABLO
2024-04-21 19:14:00-03:00,5.78,CALETA SAN PABLO
2024-04-22 01:22:00-03:00,1.57,CALETA SAN PABLO
2024-04-22 07:33:00-03:00,5.94,CALETA SAN PABLO
2024-04-22 13:41:00-03:00,1.56,CALETA SAN PABLO
2024-04-22 19:46:00-03:00,5.94,CALETA SAN PABLO
2024-04-23 01:55:00-03:00,1.29,CALETA SAN PABLO
2024-04-23 08:08:00-03:00,6.13,CALETA SAN PABLO
2024-04-23 14:13:00-03:00,1.5,CALETA SAN PABLO
2024-04-23 20:16:00-03:00,6.09,CALETA SAN PABLO
2024-04-24 02:28:00-03:00,1.05,CALETA SAN PABLO
2024-04-24 08:42:00-03:00,6.26,CALETA SAN PABLO
2024-04-24 14:45:00-03:00,1.47,CALETA SAN PABLO
2024-04-24 20:46:00-03:00,6.21,CALETA SAN PABLO
2024-04-25 03:00:00-03:00,0.87,CALETA SAN PABLO
2024-04-25 09:16:00-03:00,6.33,CALETA SAN PABLO
2024-04-25 15:18:00-03:00,1.48,CALETA SAN PABLO
2024-04-25 21:18:00-03:00,6.29,CALETA SAN PABLO
2024-04-26 03:35:00-03:00,0.76,CALETA SAN PABLO
2024-04-26 09:52:00-03:00,6.33,CALETA SAN PABLO
2024-04-26 15:53:00-03:00,1.53,CALETA SAN PABLO
2024-04-26 21:53:00-03:00,6.31,CALETA SAN PABLO
2024-04-27 04:12:00-03:00,0.74,CALETA SAN PABLO
2024-04-27 10:31:00-03:00,6.25,CALETA SAN PABLO
2024-04-27 16:31:00-03:00,1.63,CALETA SAN PABLO
2024-04-27 22:31:00-03:00,6.25,CALETA SAN PABLO
2024-04-28 04:53:00-03:00,0.82,CALETA SAN PABLO
2024-04-28 11:14:00-03:00,6.11,CALETA SAN PABLO
2024-04-28 17:13:00-03:00,1.78,CALETA SAN PABLO
2024-04-28 23:15:00-03:00,6.11,CALETA SAN PABLO
2024-04-29 05:39:00-03:00,0.99,CALETA SAN PABLO
2024-04-29 12:03:00-03:00,5.93,CALETA SAN PABLO
2024-04-29 18:03:00-03:00,1.96,CALETA SAN PABLO
2024-04-30 00:06:00-03:00,5.91,CALETA SAN PABLO
2024-04-30 06:33:00-03:00,1.21,CALETA SAN PABLO
2024-04-30 12:59:00-03:00,5.75,CALETA SAN PABLO
2024-04-30 19:03:00-03:00,2.11,CALETA SAN PABLO
