datetime,height,port
2024-06-01 03:10:00-03:00,5.87,CALETA SAN PABLO
2024-06-01 09:27:00-03:00,1.42,CALETA SAN PABLO
2024-06-01 15:47:00-03:00,6.03,CALETA SAN PABLO
2024-06-01 22:04:00-03:00,1.45,CALETA SAN PABLO
2024-06-02 04:18:00-03:00,5.98,CALETA SAN PABLO
2024-06-02 10:32:00-03:00,1.41,CALETA SAN PABLO
2024-06-02 16:47:00-03:00,6.17,CALETA SAN PABLO
2024-06-02 23:05:00-03:00,1.17,CALETA SAN PABLO
2024-06-03 05:22:00-03:00,6.17,CALETA SAN PABLO
2024-06-03 11:32:00-03:00,1.36,CALETA SAN PABLO
2024-06-03 17:42:00-03:00,6.32,CALETA SAN PABLO
2024-06-04 00:02:00-03:00,0.88,CALETA SAN PABLO
2024-06-04 06:20:00-03:00,6.37,CALETA SAN PABLO
2024-06-04 12:27:00-03:00,1.29,CALETA SAN PABLO
2024-06-04 18:34:00-03:00,6.46,CALETA SAN PABLO
2024-06-05 00:54:00-03:00,0.62,CALETA SAN PABLO
2024-06-05 07:14:00-03:00,6.54,CALETA SAN PABLO
2024-06-05 13:19:00-03:00,1.26,CALETA SAN PABLO
2024-06-05 19:23:00-03:00,6.56,CALETA SAN PABLO
2024-06-06 01:43:00-03:00,0.44,CALETA SAN PABLO
2024-06-06 08:04:00-03:00,6.64,CALETA SAN PABLO
2024-06-06 14:08:00-03:00,1.27,CALETA SAN PABLO
2024-06-06 20:10:00-03:00,6.58,CALETA SAN PABLO
2024-06-07 02:30:00-03:00,0.36,CALETA SAN PABLO
2024-06-07 08:52:00-03:00,6.65,CALETA SAN PABLO
2024-06-07 14:55:00-03:00,1.34,CALETA SAN PABLO
2024-06-07 20:55:00-03:00,6.53,CALETA SAN PABLO
2024-06-08 03:16:00-03:00,0.39,CALETA SAN PABLO
2024-06-08 09:39:00-03:00,6.57,CALETA SAN PABLO
2024-06-08 15:40:00-03:00,1.48,CALETA SAN PABLO
2024-06-08 21:39:00-03:00,6.4,CALETA SAN PABLO
2024-06-09 04:01:00-03:00,0.53,CALETA SAN PABLO
2024-06-09 10:24:00-03:00,6.41,CALETA SAN PABLO
2024-06-09 16:25:00-03:00,1.65,CALETA SAN PABLO
2024-06-09 22:24:00-03:00,6.21,CALETA SAN PABLO
2024-06-10 04:45:00-03:00,0.75,CALETA SAN PABLO
2024-06-10 11:10:00-03:00,6.2,CALETA SAN PABLO
2024-06-10 17:11:00-03:00,1.84,CALETA SAN PABLO
2024-06-10 23:09:00-03:00,5.98,CALETA SAN PABLO
2024-06-11 05:31:00-03:00,1.03,CALETA SAN PABLO
2024-06-11 11:56:00-03:00,5.95,CALETA SAN PABLO
2024-06-11 17:57:00-03:00,2.04,CALETA SAN PABLO
2024-06-11 23:55:00-03:00,5.72,CALETA SAN PABLO
2024-06-12 06:17:00-03:00,1.35,CALETA SAN PABLO
2024-06-12 12:42:00-03:00,5.7,CALETA SAN PABLO
2024-06-12 18:46:00-03:00,2.2,CALETA SAN PABLO
2024-06-13 00:45:00-03:00,5.48,CALETA SAN PABLO
2024-06-13 07:06:00-03:00,1.67,CALETA SAN PABLO
2024-06-13 13:30:00-03:00,5.49,CALETA SAN PABLO
2024-06-13 19:37:00-03:00,2.31,CALETA SAN PABLO
2024-06-14 01:39:00-03:00,5.27,CALETA SAN PABLO
2024-06-14 07:57:00-03:00,1.96,CALETA SAN PABLO
2024-06-14 14:20:00-03:00,5.33,CALETA SAN PABLO
2024-06-14 20:31:00-03:00,2.34,CALETA SAN PABLO
2024-06-15 02:37:00-03:00,5.14,CALETA SAN PABLO
2024-06-15 08:52:00-03:00,2.19,CALETA SAN PABLO
2024-06-15 15:10:00-03:00,5.24,CALETA SAN PABLO
2024-06-15 21:27:00-03:00,2.28,CALETA SAN PABLO
2024-06-16 03:38:00-03:00,5.1,CALETA SAN PABLO
2024-06-16 09:47:00-03:00,2.33,CALETA SAN PABLO
2024-06-16 16:01:00-03:00,5.24,CALETA SAN PABLO
2024-06-16 22:21:00-03:00,2.13,CALETA SAN PABLO
2024-06-17 04:37:00-03:00,5.16,CALETA SAN PABLO
2024-06-17 10:41:00-03:00,2.38,CALETA SAN PABLO
2024-06-17 16:49:00-03:00,5.32,CALETA SAN PABLO
2024-06-17 23:12:00-03:00,1.91,CALETA SAN PABLO
2024-06-18 05:32:00-03:00,5.29,CALETA SAN PABLO
2024-06-18 11:32:00-03:00,2.35,CALETA SAN PABLO
2024-06-18 17:35:00-03:00,5.47,CALETA SAN PABLO
2024-06-19 00:00:00-03:00,1.64,CALETA SAN PABLO
2024-06-19 06:22:00-03:00,5.49,CALETA SAN PABLO
2024-06-19 12:19:00-03:00,2.25,CALETA SAN PABLO
2024-06-19 18:20:00-03:00,5.67,CALETA SAN PABLO
2024-06-20 00:45:00-03:00,1.35,CALETA SAN PABLO
2024-06-20 07:08:00-03:00,5.7,CALETA SAN PABLO
2024-06-20 13:04:00-03:00,2.11,CALETA SAN PABLO
2024-06-20 19:04:00-03:00,5.89,CALETA SAN PABLO
2024-06-21 01:29:00-03:00,1.07,CALETA SAN PABLO
2024-06-21 07:52:00-03:00,5.92,CALETA SAN PABLO
2024-06-21 13:48:00-03:00,1.94,CALETA SAN PABLO
2024-06-21 19:48:00-03:00,6.1,CALETA SAN PABLO
2024-06-22 02:12:00-03:00,0.82,CALETA SAN PABLO
2024-06-22 08:35:00-03:00,6.12,CALETA SAN PABLO
2024-06-22 14:32:00-03:00,1.76,CALETA SAN PABLO
2024-06-22 20:32:00-03:00,6.29,CALETA SAN PABLO
2024-06-23 02:56:00-03:00,0.64,CALETA SAN PABLO
2024-06-23 09:18:00-03:00,6.29,CALETA SAN PABLO
2024-06-23 15:16:00-03:00,1.6,CALETA SAN PABLO
2024-06-23 21:17:00-03:00,6.43,CALETA SAN PABLO
2024-06-24 03:40:00-03:00,0.53,CALETA SAN PABLO
2024-06-24 10:01:00-03:00,6.4,CALETA SAN PABLO
2024-06-24 16:01:00-03:00,1.47,CALETA SAN PABLO
2024-06-24 22:03:00-03:00,6.5,CALETA SAN PABLO
2024-06-25 04:26:00-03:00,0.51,CALETA SAN PABLO
2024-06-25 10:46:00-03:00,6.46,CALETA SAN PABLO
2024-06-25 16:49:00-03:00,1.39,CALETA SAN PABLO
2024-06-25 22:52:00-03:00,6.5,CALETA SAN PABLO
2024-06-26 05:13:00-03:00,0.59,CALETA SAN PABLO
2024-06-26 11:33:00-03:00,6.45,CALETA SAN PABLO
2024-06-26 17:38:00-03:00,1.34,CALETA SAN PABLO
2024-06-26 23:43:00-03:00,6.42,CALETA SAN PABLO
2024-06-27 06:03:00-03:00,0.75,CALETA SAN PABLO
2024-06-27 12:22:00-03:00,6.4,CALETA SAN PABLO
2024-06-27 18:31:00-03:00,1.34,CALETA SAN PABLO
2024-06-28 00:38:00-03:00,6.29,CALETA SAN PABLO
2024-06-28 06:56:00-03:00,0.96,CALETA SAN PABLO
2024-06-28 13:15:00-03:00,6.3,CALETA SAN PABLO
2024-06-28 19:27:00-03:00,1.34,CALETA SAN PABLO
2024-06-29 01:37:00-03:00,6.14,CALETA SAN PABLO
2024-06-29 07:52:00-03:00,1.21,CALETA SAN PABLO
