datetime,height,port
2024-07-01 03:47:00-03:00,5.95,CALETA SAN PABLO
2024-07-01 09:57:00-03:00,1.61,CALETA SAN PABLO
2024-07-01 16:10:00-03:00,6.08,CALETA SAN PABLO
2024-07-01 22:33:00-03:00,1.19,CALETA SAN PABLO
2024-07-02 04:54:00-03:00,5.97,CALETA SAN PABLO
2024-07-02 11:01:00-03:00,1.7,CALETA SAN PABLO
2024-07-02 17:10:00-03:00,6.1,CALETA SAN PABLO
2024-07-02 23:35:00-03:00,1.03,CALETA SAN PABLO
2024-07-03 05:58:00-03:00,6.07,CALETA SAN PABLO
2024-07-03 12:03:00-03:00,1.71,CALETA SAN PABLO
2024-07-03 18:08:00-03:00,6.16,CALETA SAN PABLO
2024-07-04 00:33:00-03:00,0.86,CALETA SAN PABLO
2024-07-04 06:57:00-03:00,6.2,CALETA SAN PABLO
2024-07-04 13:00:00-03:00,1.68,CALETA SAN PABLO
2024-07-04 19:03:00-03:00,6.24,CALETA SAN PABLO
2024-07-05 01:27:00-03:00,0.7,CALETA SAN PABLO
2024-07-05 07:51:00-03:00,6.32,CALETA SAN PABLO
2024-07-05 13:53:00-03:00,1.64,CALETA SAN PABLO
2024-07-05 19:54:00-03:00,6.3,CALETA SAN PABLO
2024-07-06 02:17:00-03:00,0.6,CALETA SAN PABLO
2024-07-06 08:41:00-03:00,6.39,CALETA SAN PABLO
2024-07-06 14:42:00-03:00,1.61,CALETA SAN PABLO
2024-07-06 20:41:00-03:00,6.33,CALETA SAN PABLO
2024-07-07 03:03:00-03:00,0.58,CALETA SAN PABLO
2024-07-07 09:27:00-03:00,6.4,CALETA SAN PABLO
2024-07-07 15:28:00-03:00,1.61,CALETA SAN PABLO
2024-07-07 21:26:00-03:00,6.3,CALETA SAN PABLO
2024-07-08 03:47:00-03:00,0.64,CALETA SAN PABLO
2024-07-08 10:10:00-03:00,6.33,CALETA SAN PABLO
2024-07-08 16:10:00-03:00,1.64,CALETA SAN PABLO
2024-07-08 22:09:00-03:00,6.22,CALETA SAN PABLO
2024-07-09 04:29:00-03:00,0.79,CALETA SAN PABLO
2024-07-09 10:50:00-03:00,6.21,CALETA SAN PABLO
2024-07-09 16:51:00-03:00,1.71,CALETA SAN PABLO
2024-07-09 22:51:00-03:00,6.08,CALETA SAN PABLO
2024-07-10 05:10:00-03:00,1.02,CALETA SAN PABLO
2024-07-10 11:29:00-03:00,6.04,CALETA SAN PABLO
2024-07-10 17:31:00-03:00,1.8,CALETA SAN PABLO
2024-07-10 23:32:00-03:00,5.9,CALETA SAN PABLO
2024-07-11 05:49:00-03:00,1.29,CALETA SAN PABLO
2024-07-11 12:07:00-03:00,5.85,CALETA SAN PABLO
2024-07-11 18:11:00-03:00,1.89,CALETA SAN PABLO
2024-07-12 00:14:00-03:00,5.7,CALETA SAN PABLO
2024-07-12 06:29:00-03:00,1.6,CALETA SAN PABLO
2024-07-12 12:45:00-03:00,5.65,CALETA SAN PABLO
