datetime,height,port
2024-08-01 05:40:00-03:00,5.76,CALETA SAN PABLO
2024-08-01 11:44:00-03:00,2.09,CALETA SAN PABLO
2024-08-01 17:48:00-03:00,5.82,CALETA SAN PABLO
2024-08-02 00:17:00-03:00,1.15,CALETA SAN PABLO
2024-08-02 06:45:00-03:00,5.9,CALETA SAN PABLO
2024-08-02 12:47:00-03:00,1.99,CALETA SAN PABLO
2024-08-02 18:48:00-03:00,5.95,CALETA SAN PABLO
2024-08-03 01:14:00-03:00,0.97,CALETA SAN PABLO
2024-08-03 07:40:00-03:00,6.08,CALETA SAN PABLO
2024-08-03 13:42:00-03:00,1.83,CALETA SAN PABLO
2024-08-03 19:42:00-03:00,6.1,CALETA SAN PABLO
2024-08-04 02:05:00-03:00,0.82,CALETA SAN PABLO
2024-08-04 08:28:00-03:00,6.22,CALETA SAN PABLO
2024-08-04 14:29:00-03:00,1.68,CALETA SAN PABLO
2024-08-04 20:29:00-03:00,6.23,CALETA SAN PABLO
2024-08-05 02:49:00-03:00,0.74,CALETA SAN PABLO
2024-08-05 09:10:00-03:00,6.3,CALETA SAN PABLO
2024-08-05 15:11:00-03:00,1.56,CALETA SAN PABLO
2024-08-05 21:12:00-03:00,6.3,CALETA SAN PABLO
2024-08-06 03:30:00-03:00,0.76,CALETA SAN PABLO
2024-08-06 09:48:00-03:00,6.3,CALETA SAN PABLO
2024-08-06 15:49:00-03:00,1.49,CALETA SAN PABLO
2024-08-06 21:51:00-03:00,6.3,CALETA SAN PABLO
2024-08-07 04:07:00-03:00,0.86,CALETA SAN PABLO
2024-08-07 10:23:00-03:00,6.24,CALETA SAN PABLO
2024-08-07 16:25:00-03:00,1.47,CALETA SAN PABLO
2024-08-07 22:28:00-03:00,6.24,CALETA SAN PABLO
2024-08-08 04:42:00-03:00,1.04,CALETA SAN PABLO
2024-08-08 10:55:00-03:00,6.13,CALETA SAN PABLO
2024-08-08 16:59:00-03:00,1.49,CALETA SAN PABLO
2024-08-08 23:04:00-03:00,6.1,CALETA SAN PABLO
2024-08-09 05:16:00-03:00,1.29,CALETA SAN PABLO
2024-08-09 11:27:00-03:00,5.98,CALETA SAN PABLO
2024-08-09 17:33:00-03:00,1.54,CALETA SAN PABLO
2024-08-09 23:40:00-03:00,5.92,CALETA SAN PABLO
2024-08-10 05:50:00-03:00,1.56,CALETA SAN PABLO
2024-08-10 11:58:00-03:00,5.83,CALETA SAN PABLO
2024-08-10 18:08:00-03:00,1.63,CALETA SAN PABLO
2024-08-11 00:19:00-03:00,5.7,CALETA SAN PABLO
2024-08-11 06:25:00-03:00,1.86,CALETA SAN PABLO
2024-08-11 12:32:00-03:00,5.66,CALETA SAN PABLO
2024-08-11 18:48:00-03:00,1.73,CALETA SAN PABLO
2024-08-12 01:01:00-03:00,5.46,CALETA SAN PABLO
2024-08-12 07:04:00-03:00,2.16,CALETA SAN PABLO
2024-08-12 13:11:00-03:00,5.5,CALETA SAN PABLO
2024-08-12 19:34:00-03:00,1.85,CALETA SAN PABLO
2024-08-13 01:52:00-03:00,5.23,CALETA SAN PABLO
2024-08-13 07:51:00-03:00,2.43,CALETA SAN PABLO
2024-08-13 13:59:00-03:00,5.35,CALETA SAN PABLO
2024-08-13 20:29:00-03:00,1.94,CALETA SAN PABLO
2024-08-14 02:54:00-03:00,5.06,CALETA SAN PABLO
2024-08-14 08:51:00-03:00,2.64,CALETA SAN PABLO
2024-08-14 14:59:00-03:00,5.25,CALETA SAN PABLO
2024-08-14 21:36:00-03:00,1.95,CALETA SAN PABLO
2024-08-15 04:06:00-03:00,5.03,CALETA SAN PABLO
2024-08-15 10:02:00-03:00,2.7,CALETA SAN PABLO
2024-08-15 16:09:00-03:00,5.27,CALETA SAN PABLO
2024-08-15 22:47:00-03:00,1.82,CALETA SAN PABLO
2024-08-16 05:18:00-03:00,5.19,CALETA SAN PABLO
2024-08-16 11:15:00-03:00,2.56,CALETA SAN PABLO
2024-08-16 17:19:00-03:00,5.46,CALETA SAN PABLO
2024-08-16 23:53:00-03:00,1.55,CALETA SAN PABLO
2024-08-17 06:21:00-03:00,5.49,CALETA SAN PABLO
2024-08-17 12:19:00-03:00,2.25,CALETA SAN PABLO
2024-08-17 18:22:00-03:00,5.79,CALETA SAN PABLO
2024-08-18 00:50:00-03:00,1.2,CALETA SAN PABLO
2024-08-18 07:13:00-03:00,5.87,CALETA SAN PABLO
2024-08-18 13:13:00-03:00,1.84,CALETA SAN PABLO
2024-08-18 19:17:00-03:00,6.17,CALETA SAN PABLO
2024-08-19 01:40:00-03:00,0.84,CALETA SAN PABLO
2024-08-19 08:00:00-03:00,6.26,CALETA SAN PABLO
2024-08-19 14:01:00-03:00,1.41,CALETA SAN PABLO
2024-08-19 20:06:00-03:00,6.55,CALETA SAN PABLO
2024-08-20 02:26:00-03:00,0.54,CALETA SAN PABLO
2024-08-20 08:43:00-03:00,6.59,CALETA SAN PABLO
2024-08-20 14:46:00-03:00,1.02,CALETA SAN PABLO
2024-08-20 20:53:00-03:00,6.85,CALETA SAN PABLO
2024-08-21 03:10:00-03:00,0.34,CALETA SAN PABLO
2024-08-21 09:24:00-03:00,6.84,CALETA SAN PABLO
2024-08-21 15:29:00-03:00,0.71,CALETA SAN PABLO
2024-08-21 21:37:00-03:00,7.03,CALETA SAN PABLO
2024-08-22 03:52:00-03:00,0.27,CALETA SAN PABLO
2024-08-22 10:05:00-03:00,6.97,CALETA SAN PABLO
2024-08-22 16:12:00-03:00,0.53,CALETA SAN PABLO
2024-08-22 22:22:00-03:00,7.08,CALETA SAN PABLO
2024-08-23 04:35:00-03:00,0.35,CALETA SAN PABLO
2024-08-23 10:46:00-03:00,6.96,CALETA SAN PABLO
2024-08-23 16:56:00-03:00,0.48,CALETA SAN PABLO
2024-08-23 23:07:00-03:00,6.97,CALETA SAN PABLO
2024-08-24 05:18:00-03:00,0.58,CALETA SAN PABLO
2024-08-24 11:28:00-03:00,6.83,CALETA SAN PABLO
2024-08-24 17:41:00-03:00,0.57,CALETA SAN PABLO
2024-08-24 23:54:00-03:00,6.72,CALETA SAN PABLO
2024-08-25 06:04:00-03:00,0.92,CALETA SAN PABLO
2024-08-25 12:13:00-03:00,6.58,CALETA SAN PABLO
2024-08-25 18:29:00-03:00,0.78,CALETA SAN PABLO
2024-08-26 00:45:00-03:00,6.38,CALETA SAN PABLO
2024-08-26 06:53:00-03:00,1.35,CALETA SAN PABLO
2024-08-26 13:02:00-03:00,6.25,CALETA SAN PABLO
2024-08-26 19:23:00-03:00,1.06,CALETA SAN PABLO
2024-08-27 01:43:00-03:00,5.99,CALETA SAN PABLO
2024-08-27 07:50:00-03:00,1.8,CALETA SAN PABLO
2024-08-27 13:58:00-03:00,5.9,CALETA SAN PABLO
2024-08-27 20:25:00-03:00,1.35,CALETA SAN PABLO
2024-08-28 02:51:00-03:00,5.66,CALETA SAN PABLO
2024-08-28 08:57:00-03:00,2.17,CALETA SAN PABLO
2024-08-28 15:05:00-03:00,5.61,CALETA SAN PABLO
2024-08-28 21:37:00-03:00,1.54,CALETA SAN PABLO
2024-08-29 04:08:00-03:00,5.49,CALETA SAN PABLO
2024-08-29 10:14:00-03:00,2.36,CALETA SAN PABLO
2024-08-29 16:20:00-03:00,5.48,CALETA SAN PABLO
2024-08-29 22:52:00-03:00,1.55,CALETA SAN PABLO
2024-08-30 05:25:00-03:00,5.53,CALETA SAN PABLO
2024-08-30 11:30:00-03:00,2.31,CALETA SAN PABLO
2024-08-30 17:33:00-03:00,5.55,CALETA SAN PABLO
2024-08-31 00:01:00-03:00,1.41,CALETA SAN PABLO
2024-08-31 06:30:00-03:00,5.72,CALETA SAN PABLO
2024-08-31 12:34:00-03:00,2.11,CALETA SAN PABLO
