datetime,height,port
2024-09-01 00:59:00-03:00,1.22,CALETA SAN PABLO
2024-09-01 07:23:00-03:00,5.93,CALETA SAN PABLO
2024-09-01 13:26:00-03:00,1.86,CALETA SAN PABLO
2024-09-01 19:28:00-03:00,5.99,CALETA SAN PABLO
2024-09-02 01:47:00-03:00,1.04,CALETA SAN PABLO
2024-09-02 08:07:00-03:00,6.11,CALETA SAN PABLO
2024-09-02 14:09:00-03:00,1.62,CALETA SAN PABLO
2024-09-02 20:12:00-03:00,6.19,CALETA SAN PABLO
2024-09-03 02:29:00-03:00,0.95,CALETA SAN PABLO
2024-09-03 08:44:00-03:00,6.22,CALETA SAN PABLO
2024-09-03 14:47:00-03:00,1.43,CALETA SAN PABLO
2024-09-03 20:51:00-03:00,6.31,CALETA SAN PABLO
2024-09-04 03:06:00-03:00,0.94,CALETA SAN PABLO
2024-09-04 09:18:00-03:00,6.26,CALETA SAN PABLO
2024-09-04 15:21:00-03:00,1.29,CALETA SAN PABLO
2024-09-04 21:27:00-03:00,6.36,CALETA SAN PABLO
2024-09-05 03:39:00-03:00,1.02,CALETA SAN PABLO
2024-09-05 09:48:00-03:00,6.24,CALETA SAN PABLO
2024-09-05 15:53:00-03:00,1.21,CALETA SAN PABLO
2024-09-05 22:01:00-03:00,6.34,CALETA SAN PABLO
2024-09-06 04:10:00-03:00,1.17,CALETA SAN PABLO
2024-09-06 10:17:00-03:00,6.18,CALETA SAN PABLO
2024-09-06 16:24:00-03:00,1.19,CALETA SAN PABLO
2024-09-06 22:34:00-03:00,6.24,CALETA SAN PABLO
2024-09-07 04:41:00-03:00,1.37,CALETA SAN PABLO
2024-09-07 10:45:00-03:00,6.09,CALETA SAN PABLO
2024-09-07 16:55:00-03:00,1.22,CALETA SAN PABLO
2024-09-07 23:07:00-03:00,6.07,CALETA SAN PABLO
2024-09-08 05:12:00-03:00,1.6,CALETA SAN PABLO
2024-09-08 11:15:00-03:00,5.97,CALETA SAN PABLO
2024-09-08 17:29:00-03:00,1.3,CALETA SAN PABLO
2024-09-08 23:44:00-03:00,5.86,CALETA SAN PABLO
2024-09-09 05:45:00-03:00,1.86,CALETA SAN PABLO
2024-09-09 11:49:00-03:00,5.82,CALETA SAN PABLO
2024-09-09 18:08:00-03:00,1.44,CALETA SAN PABLO
2024-09-10 00:25:00-03:00,5.61,CALETA SAN PABLO
2024-09-10 06:24:00-03:00,2.13,CALETA SAN PABLO
2024-09-10 12:29:00-03:00,5.64,CALETA SAN PABLO
2024-09-10 18:54:00-03:00,1.62,CALETA SAN PABLO
2024-09-11 01:15:00-03:00,5.35,CALETA SAN PABLO
2024-09-11 07:13:00-03:00,2.41,CALETA SAN PABLO
2024-09-11 13:19:00-03:00,5.44,CALETA SAN PABLO
2024-09-11 19:51:00-03:00,1.8,CALETA SAN PABLO
2024-09-12 02:18:00-03:00,5.14,CALETA SAN PABLO
2024-09-12 08:16:00-03:00,2.61,CALETA SAN PABLO
2024-09-12 14:23:00-03:00,5.28,CALETA SAN PABLO
2024-09-12 21:02:00-03:00,1.9,CALETA SAN PABLO
2024-09-13 03:34:00-03:00,5.09,CALETA SAN PABLO
2024-09-13 09:35:00-03:00,2.65,CALETA SAN PABLO
2024-09-13 15:42:00-03:00,5.27,CALETA SAN PABLO
2024-09-13 22:19:00-03:00,1.82,CALETA SAN PABLO
2024-09-14 04:51:00-03:00,5.26,CALETA SAN PABLO
2024-09-14 10:53:00-03:00,2.44,CALETA SAN PABLO
2024-09-14 17:00:00-03:00,5.49,CALETA SAN PABLO
2024-09-14 23:30:00-03:00,1.56,CALETA SAN PABLO
2024-09-15 05:55:00-03:00,5.6,CALETA SAN PABLO
2024-09-15 11:59:00-03:00,2.03,CALETA SAN PABLO
2024-09-15 18:06:00-03:00,5.87,CALETA SAN PABLO
2024-09-16 00:29:00-03:00,1.2,CALETA SAN PABLO
2024-09-16 06:48:00-03:00,6.02,CALETA SAN PABLO
2024-09-16 12:53:00-03:00,1.54,CALETA SAN PABLO
2024-09-16 19:01:00-03:00,6.31,CALETA SAN PABLO
2024-09-17 01:19:00-03:00,0.84,CALETA SAN PABLO
2024-09-17 07:35:00-03:00,6.42,CALETA SAN PABLO
