datetime,height,port
2024-01-01 03:15:00-03:00,1.08,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-01 08:45:00-03:00,3.3,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-01 15:47:00-03:00,0.52,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-01 21:22:00-03:00,3.51,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-02 03:50:00-03:00,1.06,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-02 09:20:00-03:00,3.31,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-02 16:21:00-03:00,0.54,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-02 21:52:00-03:00,3.52,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-03 04:27:00-03:00,1.02,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-03 09:59:00-03:00,3.34,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-03 16:56:00-03:00,0.58,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-03 22:25:00-03:00,3.53,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-04 05:08:00-03:00,0.95,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-04 10:44:00-03:00,3.37,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-04 17:33:00-03:00,0.67,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-04 23:02:00-03:00,3.53,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-05 05:56:00-03:00,0.88,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-05 11:35:00-03:00,3.38,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-05 18:15:00-03:00,0.83,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-05 23:45:00-03:00,3.51,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-06 06:49:00-03:00,0.84,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-06 12:29:00-03:00,3.34,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-06 19:02:00-03:00,1.09,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-07 00:35:00-03:00,3.44,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-07 07:47:00-03:00,0.82,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-07 13:28:00-03:00,3.25,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-07 19:56:00-03:00,1.41,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-08 01:32:00-03:00,3.35,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-08 08:50:00-03:00,0.85,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-08 14:29:00-03:00,3.13,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-08 21:00:00-03:00,1.71,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-09 02:33:00-03:00,3.27,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-09 09:53:00-03:00,0.89,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-09 15:33:00-03:00,3.02,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-09 22:15:00-03:00,1.9,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-10 03:31:00-03:00,3.21,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-10 10:55:00-03:00,0.92,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-10 16:37:00-03:00,2.96,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-10 23:24:00-03:00,1.95,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-11 04:24:00-03:00,3.2,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-11 11:53:00-03:00,0.94,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-11 17:37:00-03:00,2.97,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-12 00:20:00-03:00,1.88,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-12 05:13:00-03:00,3.21,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-12 12:45:00-03:00,0.93,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-12 18:29:00-03:00,3.03,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-13 01:04:00-03:00,1.75,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-13 06:01:00-03:00,3.25,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-13 13:31:00-03:00,0.89,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-13 19:15:00-03:00,3.11,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-14 01:46:00-03:00,1.58,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-14 06:51:00-03:00,3.29,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-14 14:15:00-03:00,0.82,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-14 20:00:00-03:00,3.21,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-15 02:27:00-03:00,1.38,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-15 07:46:00-03:00,3.32,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-15 14:59:00-03:00,0.74,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-15 20:43:00-03:00,3.3,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-16 03:11:00-03:00,1.18,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-16 08:48:00-03:00,3.36,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-16 15:41:00-03:00,0.67,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-16 21:25:00-03:00,3.38,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-17 03:58:00-03:00,0.99,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-17 09:54:00-03:00,3.41,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-17 16:24:00-03:00,0.63,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-17 22:07:00-03:00,3.45,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-18 04:47:00-03:00,0.81,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-18 10:55:00-03:00,3.47,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-18 17:08:00-03:00,0.64,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-18 22:48:00-03:00,3.51,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-19 05:39:00-03:00,0.65,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-19 11:51:00-03:00,3.51,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-19 17:53:00-03:00,0.72,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-19 23:36:00-03:00,3.56,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-20 06:34:00-03:00,0.53,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-20 12:45:00-03:00,3.51,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-20 18:42:00-03:00,0.85,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-21 00:37:00-03:00,3.59,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-21 07:31:00-03:00,0.46,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-21 13:41:00-03:00,3.48,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-21 19:35:00-03:00,1.04,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-22 01:49:00-03:00,3.6,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-22 08:31:00-03:00,0.44,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-22 14:42:00-03:00,3.42,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-22 20:37:00-03:00,1.24,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-23 03:01:00-03:00,3.61,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-23 09:35:00-03:00,0.47,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-01-23 15:48:00-03:00,3.38,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
