datetime,height,port
2024-10-01 04:31:00-03:00,3.01,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-01 11:08:00-03:00,1.08,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-01 16:46:00-03:00,3.12,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-01 23:38:00-03:00,0.75,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-02 05:19:00-03:00,3.02,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-02 12:00:00-03:00,0.96,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-02 17:29:00-03:00,3.06,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-03 00:29:00-03:00,0.73,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-03 06:01:00-03:00,3.07,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-03 12:45:00-03:00,0.86,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-03 18:13:00-03:00,3.07,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-04 01:14:00-03:00,0.69,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-04 06:40:00-03:00,3.15,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-04 13:26:00-03:00,0.77,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-04 18:58:00-03:00,3.15,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-05 01:53:00-03:00,0.66,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-05 07:17:00-03:00,3.24,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-05 14:05:00-03:00,0.7,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-05 19:42:00-03:00,3.23,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-06 02:28:00-03:00,0.68,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-06 07:52:00-03:00,3.3,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-06 14:42:00-03:00,0.66,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-06 20:22:00-03:00,3.28,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-07 02:59:00-03:00,0.76,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-07 08:22:00-03:00,3.34,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-07 15:16:00-03:00,0.65,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-07 20:56:00-03:00,3.27,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-08 03:26:00-03:00,0.88,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-10-08 08:45:00-03:00,3.35,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
