datetime,height,port
2024-12-01 00:10:00-03:00,1.22,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-01 05:28:00-03:00,3.27,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-01 12:30:00-03:00,0.54,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-01 18:24:00-03:00,3.22,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-02 00:59:00-03:00,1.24,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-02 06:11:00-03:00,3.28,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-02 13:16:00-03:00,0.55,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-02 19:12:00-03:00,3.24,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-03 01:39:00-03:00,1.29,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-03 06:46:00-03:00,3.29,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-03 13:57:00-03:00,0.6,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-03 19:46:00-03:00,3.22,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-04 02:10:00-03:00,1.34,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-04 07:15:00-03:00,3.31,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-04 14:32:00-03:00,0.65,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-04 20:12:00-03:00,3.21,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-05 02:36:00-03:00,1.33,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-05 07:43:00-03:00,3.36,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-12-05 15:03:00-03:00,0.68,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
