datetime,height,port
2024-07-01 00:20:00-03:00,3.21,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-01 06:36:00-03:00,0.53,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-01 12:43:00-03:00,3.28,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-01 19:20:00-03:00,0.8,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-02 01:17:00-03:00,3.18,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-02 07:26:00-03:00,0.68,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-02 13:41:00-03:00,3.36,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-02 20:19:00-03:00,0.67,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-03 02:14:00-03:00,3.13,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-03 08:21:00-03:00,0.87,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-03 14:40:00-03:00,3.43,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-03 21:20:00-03:00,0.56,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-04 03:15:00-03:00,3.08,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-04 09:22:00-03:00,1.04,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-04 15:39:00-03:00,3.5,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-04 22:23:00-03:00,0.48,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-07-05 04:21:00-03:00,3.03,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
