datetime,height,port
2024-08-01 02:01:00-03:00,3.21,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-01 07:59:00-03:00,0.89,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-01 14:31:00-03:00,3.58,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-01 21:03:00-03:00,0.41,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-02 03:05:00-03:00,3.16,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-02 09:05:00-03:00,1.03,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-02 15:33:00-03:00,3.64,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-02 22:09:00-03:00,0.39,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-03 04:10:00-03:00,3.12,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-03 10:18:00-03:00,1.09,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-03 16:31:00-03:00,3.64,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-03 23:15:00-03:00,0.38,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-04 05:14:00-03:00,3.11,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-04 11:28:00-03:00,1.07,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-04 17:25:00-03:00,3.57,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-05 00:17:00-03:00,0.37,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-05 06:13:00-03:00,3.1,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-05 12:29:00-03:00,1.02,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-05 18:15:00-03:00,3.46,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-06 01:14:00-03:00,0.36,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-06 07:03:00-03:00,3.11,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-06 13:21:00-03:00,1.0,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-06 19:01:00-03:00,3.33,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-07 02:03:00-03:00,0.37,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-07 07:46:00-03:00,3.11,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-07 14:06:00-03:00,1.01,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-07 19:42:00-03:00,3.23,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-08 02:44:00-03:00,0.39,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-08 08:22:00-03:00,3.11,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-08 14:46:00-03:00,1.03,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-08 20:19:00-03:00,3.16,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-09 03:20:00-03:00,0.42,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-09 08:54:00-03:00,3.12,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-09 15:21:00-03:00,1.04,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-09 20:53:00-03:00,3.15,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-10 03:51:00-03:00,0.46,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-10 09:21:00-03:00,3.14,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-10 15:56:00-03:00,1.0,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-10 21:26:00-03:00,3.17,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-11 04:20:00-03:00,0.51,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-11 09:47:00-03:00,3.19,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-08-11 16:33:00-03:00,0.93,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
