datetime,height,port
2024-09-01 04:00:00-03:00,3.13,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-01 10:16:00-03:00,1.12,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-01 16:23:00-03:00,3.53,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-01 23:06:00-03:00,0.49,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-02 05:02:00-03:00,3.09,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-02 11:26:00-03:00,1.04,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-02 17:16:00-03:00,3.4,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-03 00:06:00-03:00,0.5,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-03 05:56:00-03:00,3.07,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-03 12:23:00-03:00,0.97,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-03 18:03:00-03:00,3.26,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-04 00:59:00-03:00,0.51,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-04 06:41:00-03:00,3.06,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-04 13:10:00-03:00,0.93,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-04 18:45:00-03:00,3.16,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-05 01:44:00-03:00,0.51,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-05 07:19:00-03:00,3.08,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-05 13:51:00-03:00,0.91,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-05 19:24:00-03:00,3.13,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-06 02:22:00-03:00,0.51,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-06 07:53:00-03:00,3.12,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-06 14:28:00-03:00,0.89,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-06 20:01:00-03:00,3.16,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-07 02:55:00-03:00,0.53,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-07 08:23:00-03:00,3.17,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-07 15:01:00-03:00,0.86,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-07 20:36:00-03:00,3.21,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-08 03:24:00-03:00,0.57,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-08 08:50:00-03:00,3.23,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
2024-09-08 15:34:00-03:00,0.81,CANAL PRINCIPAL A BAHÍA BLANCA (Par 12 a 16)
