datetime,height,port
2024-01-01 01:06:00-03:00,0.65,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-01 05:05:00-03:00,0.91,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-01 11:42:00-03:00,0.41,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-01 18:00:00-03:00,1.25,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-02 01:38:00-03:00,0.66,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-02 05:36:00-03:00,0.87,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-02 12:16:00-03:00,0.36,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-02 18:50:00-03:00,1.22,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-03 02:04:00-03:00,0.68,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-03 06:03:00-03:00,0.85,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-03 12:53:00-03:00,0.34,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-03 19:43:00-03:00,1.2,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-04 02:34:00-03:00,0.71,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-04 06:28:00-03:00,0.85,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-04 13:33:00-03:00,0.35,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-04 20:35:00-03:00,1.19,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-05 03:15:00-03:00,0.74,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-05 06:59:00-03:00,0.86,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-05 14:18:00-03:00,0.4,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-05 21:25:00-03:00,1.2,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-06 04:08:00-03:00,0.77,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-06 07:45:00-03:00,0.89,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-06 15:10:00-03:00,0.46,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-06 22:09:00-03:00,1.22,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-07 05:05:00-03:00,0.78,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-01-07 08:50:00-03:00,0.94,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
