datetime,height,port
2024-03-01 00:18:00-03:00,0.66,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-01 04:40:00-03:00,1.12,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-01 12:14:00-03:00,0.34,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-01 18:19:00-03:00,1.22,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-02 00:45:00-03:00,0.69,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-02 05:10:00-03:00,1.18,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-02 12:48:00-03:00,0.4,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-02 18:47:00-03:00,1.24,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-03 01:16:00-03:00,0.73,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-03 05:48:00-03:00,1.22,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-03 13:24:00-03:00,0.46,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-03 19:18:00-03:00,1.24,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-04 01:50:00-03:00,0.76,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-04 06:35:00-03:00,1.25,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-04 14:09:00-03:00,0.53,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-04 19:57:00-03:00,1.23,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-05 02:33:00-03:00,0.78,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-05 07:34:00-03:00,1.27,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-05 15:11:00-03:00,0.57,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-05 20:45:00-03:00,1.19,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-06 03:31:00-03:00,0.76,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-06 08:45:00-03:00,1.29,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-06 16:28:00-03:00,0.59,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-06 21:40:00-03:00,1.13,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-07 04:39:00-03:00,0.69,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-07 10:05:00-03:00,1.31,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-07 17:44:00-03:00,0.58,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-07 22:40:00-03:00,1.07,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-08 05:44:00-03:00,0.58,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-08 11:23:00-03:00,1.35,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-08 19:00:00-03:00,0.55,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-08 23:41:00-03:00,1.03,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-09 06:46:00-03:00,0.44,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-09 12:35:00-03:00,1.4,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-09 20:13:00-03:00,0.51,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-10 00:38:00-03:00,1.02,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-10 07:50:00-03:00,0.29,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-10 13:41:00-03:00,1.44,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-10 21:20:00-03:00,0.48,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-11 01:30:00-03:00,1.04,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-11 08:56:00-03:00,0.16,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-03-11 14:45:00-03:00,1.45,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
