datetime,height,port
2024-05-01 00:50:00-03:00,0.63,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-01 06:15:00-03:00,1.42,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-01 14:17:00-03:00,0.51,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-01 19:00:00-03:00,1.0,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-02 01:37:00-03:00,0.58,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-02 07:24:00-03:00,1.38,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-02 15:22:00-03:00,0.5,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-02 19:59:00-03:00,0.93,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-03 02:41:00-03:00,0.53,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-03 08:40:00-03:00,1.35,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-03 16:33:00-03:00,0.5,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-03 21:00:00-03:00,0.9,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-04 03:57:00-03:00,0.44,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-04 09:56:00-03:00,1.34,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-04 17:42:00-03:00,0.49,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-04 22:02:00-03:00,0.91,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-05 05:11:00-03:00,0.35,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-05 11:09:00-03:00,1.34,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-05 18:46:00-03:00,0.49,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-05 23:04:00-03:00,0.97,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-06 06:22:00-03:00,0.26,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-06 12:19:00-03:00,1.36,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-06 19:42:00-03:00,0.49,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-07 00:01:00-03:00,1.08,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-07 07:29:00-03:00,0.2,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-07 13:22:00-03:00,1.37,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-07 20:32:00-03:00,0.5,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-08 00:55:00-03:00,1.21,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-08 08:33:00-03:00,0.17,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-08 14:21:00-03:00,1.35,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-08 21:17:00-03:00,0.52,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-09 01:46:00-03:00,1.34,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-09 09:34:00-03:00,0.19,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-09 15:19:00-03:00,1.32,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-09 22:00:00-03:00,0.54,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-10 02:37:00-03:00,1.44,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-10 10:33:00-03:00,0.24,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-10 16:23:00-03:00,1.26,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-10 22:40:00-03:00,0.56,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-11 03:28:00-03:00,1.5,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-11 11:29:00-03:00,0.31,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-11 17:29:00-03:00,1.2,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-11 23:19:00-03:00,0.58,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-12 04:22:00-03:00,1.51,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-12 12:25:00-03:00,0.38,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-12 18:26:00-03:00,1.13,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-12 23:57:00-03:00,0.6,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-13 05:18:00-03:00,1.48,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-13 13:22:00-03:00,0.44,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-13 19:15:00-03:00,1.05,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-14 00:33:00-03:00,0.62,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-14 06:19:00-03:00,1.41,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-14 14:22:00-03:00,0.5,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-14 19:57:00-03:00,0.97,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-15 01:11:00-03:00,0.63,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-15 07:21:00-03:00,1.33,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-15 15:27:00-03:00,0.54,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-15 20:38:00-03:00,0.89,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-16 01:56:00-03:00,0.62,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-16 08:25:00-03:00,1.23,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-16 16:36:00-03:00,0.57,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-16 21:22:00-03:00,0.83,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-17 02:55:00-03:00,0.61,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-17 09:33:00-03:00,1.16,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-17 17:43:00-03:00,0.59,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-17 22:13:00-03:00,0.8,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-18 04:09:00-03:00,0.57,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-18 10:48:00-03:00,1.11,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-18 18:40:00-03:00,0.61,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-18 23:09:00-03:00,0.81,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-19 05:19:00-03:00,0.53,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-19 12:03:00-03:00,1.1,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-19 19:21:00-03:00,0.63,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-19 23:59:00-03:00,0.86,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-20 06:15:00-03:00,0.5,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-20 13:01:00-03:00,1.12,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-20 19:46:00-03:00,0.66,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-21 00:38:00-03:00,0.94,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-21 07:03:00-03:00,0.49,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-21 13:41:00-03:00,1.14,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-21 20:05:00-03:00,0.68,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-22 01:09:00-03:00,1.04,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-22 07:48:00-03:00,0.5,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-22 14:12:00-03:00,1.15,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-22 20:27:00-03:00,0.69,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-23 01:34:00-03:00,1.15,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-23 08:31:00-03:00,0.53,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-23 14:37:00-03:00,1.16,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-23 20:55:00-03:00,0.69,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-24 01:56:00-03:00,1.25,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-24 09:15:00-03:00,0.56,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-24 14:54:00-03:00,1.16,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-24 21:26:00-03:00,0.68,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-25 02:21:00-03:00,1.33,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-25 10:00:00-03:00,0.57,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-25 15:05:00-03:00,1.14,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-25 22:01:00-03:00,0.66,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-26 02:54:00-03:00,1.4,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-26 10:47:00-03:00,0.56,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-26 15:31:00-03:00,1.11,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-26 22:37:00-03:00,0.63,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-27 03:33:00-03:00,1.43,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-27 11:37:00-03:00,0.53,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-27 16:10:00-03:00,1.06,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-27 23:17:00-03:00,0.59,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-05-28 04:21:00-03:00,1.44,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
