datetime,height,port
2024-08-01 06:02:00-03:00,0.36,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-01 11:41:00-03:00,1.05,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-01 18:00:00-03:00,0.58,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-01 23:37:00-03:00,1.33,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-02 07:11:00-03:00,0.43,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-02 12:47:00-03:00,0.98,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-02 18:55:00-03:00,0.59,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-03 00:37:00-03:00,1.35,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-03 08:21:00-03:00,0.46,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-03 14:11:00-03:00,0.93,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-03 19:49:00-03:00,0.59,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-04 01:31:00-03:00,1.33,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-04 09:29:00-03:00,0.46,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-04 15:21:00-03:00,0.89,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-04 20:43:00-03:00,0.57,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-05 02:18:00-03:00,1.3,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-05 10:28:00-03:00,0.43,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-05 16:07:00-03:00,0.86,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-05 21:35:00-03:00,0.54,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-06 02:59:00-03:00,1.24,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-06 11:15:00-03:00,0.41,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-06 16:22:00-03:00,0.83,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-06 22:22:00-03:00,0.49,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-07 03:39:00-03:00,1.19,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-07 11:53:00-03:00,0.4,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-07 16:26:00-03:00,0.82,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-07 23:01:00-03:00,0.44,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-08 04:20:00-03:00,1.14,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-08 12:20:00-03:00,0.42,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-08 16:49:00-03:00,0.84,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-08 23:35:00-03:00,0.4,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-09 05:04:00-03:00,1.11,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-09 12:38:00-03:00,0.45,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-09 17:17:00-03:00,0.88,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-10 00:08:00-03:00,0.37,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-10 05:49:00-03:00,1.09,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-10 12:52:00-03:00,0.48,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-10 17:47:00-03:00,0.93,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-11 00:42:00-03:00,0.37,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-11 06:35:00-03:00,1.07,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-11 13:09:00-03:00,0.52,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-11 18:17:00-03:00,0.99,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-12 01:19:00-03:00,0.4,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-12 07:19:00-03:00,1.07,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-12 13:33:00-03:00,0.57,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-12 18:48:00-03:00,1.06,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-13 02:00:00-03:00,0.46,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-13 07:56:00-03:00,1.06,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-13 14:01:00-03:00,0.62,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-13 19:25:00-03:00,1.12,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-14 02:47:00-03:00,0.52,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-14 08:29:00-03:00,1.05,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-14 14:36:00-03:00,0.66,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-14 20:12:00-03:00,1.18,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-15 03:44:00-03:00,0.57,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-15 09:03:00-03:00,1.03,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-15 15:21:00-03:00,0.69,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-15 21:08:00-03:00,1.23,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-16 04:48:00-03:00,0.59,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-16 09:45:00-03:00,1.0,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-16 16:18:00-03:00,0.68,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-16 22:09:00-03:00,1.29,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-17 05:52:00-03:00,0.56,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-17 10:37:00-03:00,0.95,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-17 17:19:00-03:00,0.63,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-17 23:12:00-03:00,1.34,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-18 06:55:00-03:00,0.52,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-18 11:36:00-03:00,0.91,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-18 18:17:00-03:00,0.55,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-19 00:13:00-03:00,1.39,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-19 08:01:00-03:00,0.46,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-19 12:36:00-03:00,0.88,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-19 19:16:00-03:00,0.46,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-20 01:12:00-03:00,1.42,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-20 09:07:00-03:00,0.39,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-20 13:30:00-03:00,0.87,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-20 20:22:00-03:00,0.36,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-21 02:09:00-03:00,1.42,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-21 10:08:00-03:00,0.34,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-21 14:19:00-03:00,0.88,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-21 21:33:00-03:00,0.25,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-22 03:07:00-03:00,1.4,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-22 11:01:00-03:00,0.3,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-22 15:08:00-03:00,0.92,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-08-22 22:40:00-03:00,0.15,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
