datetime,height,port
2024-09-01 00:45:00-03:00,1.29,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-01 08:28:00-03:00,0.47,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-01 14:29:00-03:00,0.84,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-01 19:37:00-03:00,0.56,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-02 01:47:00-03:00,1.25,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-02 09:28:00-03:00,0.44,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-02 15:16:00-03:00,0.83,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-02 20:34:00-03:00,0.51,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-03 02:29:00-03:00,1.21,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-03 10:14:00-03:00,0.42,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-03 15:35:00-03:00,0.82,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-03 21:23:00-03:00,0.46,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-04 03:00:00-03:00,1.17,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-04 10:50:00-03:00,0.42,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-04 15:25:00-03:00,0.83,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-04 22:02:00-03:00,0.42,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
2024-09-05 03:31:00-03:00,1.14,"CANAL PUNTA INDIO (Torre Oyarvide - Km 133, ex Par N°25)"
