datetime,height,port
2024-01-01 02:53:00-03:00,7.3,CARGADERO DE PUNTA COLORADA
2024-01-01 09:13:00-03:00,1.9,CARGADERO DE PUNTA COLORADA
2024-01-01 15:29:00-03:00,7.32,CARGADERO DE PUNTA COLORADA
2024-01-01 21:31:00-03:00,2.37,CARGADERO DE PUNTA COLORADA
2024-01-02 03:29:00-03:00,7.26,CARGADERO DE PUNTA COLORADA
2024-01-02 09:47:00-03:00,1.92,CARGADERO DE PUNTA COLORADA
2024-01-02 16:04:00-03:00,7.28,CARGADERO DE PUNTA COLORADA
2024-01-02 22:08:00-03:00,2.39,CARGADERO DE PUNTA COLORADA
2024-01-03 04:07:00-03:00,7.19,CARGADERO DE PUNTA COLORADA
2024-01-03 10:24:00-03:00,1.97,CARGADERO DE PUNTA COLORADA
2024-01-03 16:42:00-03:00,7.23,CARGADERO DE PUNTA COLORADA
2024-01-03 22:49:00-03:00,2.46,CARGADERO DE PUNTA COLORADA
2024-01-04 04:50:00-03:00,7.05,CARGADERO DE PUNTA COLORADA
2024-01-04 11:04:00-03:00,2.07,CARGADERO DE PUNTA COLORADA
2024-01-04 17:24:00-03:00,7.16,CARGADERO DE PUNTA COLORADA
2024-01-04 23:36:00-03:00,2.57,CARGADERO DE PUNTA COLORADA
2024-01-05 05:38:00-03:00,6.85,CARGADERO DE PUNTA COLORADA
2024-01-05 11:51:00-03:00,2.21,CARGADERO DE PUNTA COLORADA
2024-01-05 18:13:00-03:00,7.1,CARGADERO DE PUNTA COLORADA
2024-01-06 00:31:00-03:00,2.67,CARGADERO DE PUNTA COLORADA
2024-01-06 06:34:00-03:00,6.64,CARGADERO DE PUNTA COLORADA
2024-01-06 12:45:00-03:00,2.34,CARGADERO DE PUNTA COLORADA
2024-01-06 19:09:00-03:00,7.09,CARGADERO DE PUNTA COLORADA
2024-01-07 01:35:00-03:00,2.68,CARGADERO DE PUNTA COLORADA
2024-01-07 07:39:00-03:00,6.54,CARGADERO DE PUNTA COLORADA
2024-01-07 13:46:00-03:00,2.4,CARGADERO DE PUNTA COLORADA
2024-01-07 20:09:00-03:00,7.18,CARGADERO DE PUNTA COLORADA
2024-01-08 02:41:00-03:00,2.53,CARGADERO DE PUNTA COLORADA
2024-01-08 08:46:00-03:00,6.61,CARGADERO DE PUNTA COLORADA
2024-01-08 14:50:00-03:00,2.36,CARGADERO DE PUNTA COLORADA
2024-01-08 21:08:00-03:00,7.34,CARGADERO DE PUNTA COLORADA
2024-01-09 03:41:00-03:00,2.25,CARGADERO DE PUNTA COLORADA
2024-01-09 09:48:00-03:00,6.84,CARGADERO DE PUNTA COLORADA
2024-01-09 15:50:00-03:00,2.24,CARGADERO DE PUNTA COLORADA
2024-01-09 22:01:00-03:00,7.53,CARGADERO DE PUNTA COLORADA
2024-01-10 04:34:00-03:00,1.92,CARGADERO DE PUNTA COLORADA
2024-01-10 10:43:00-03:00,7.16,CARGADERO DE PUNTA COLORADA
2024-01-10 16:45:00-03:00,2.1,CARGADERO DE PUNTA COLORADA
2024-01-10 22:51:00-03:00,7.7,CARGADERO DE PUNTA COLORADA
2024-01-11 05:23:00-03:00,1.59,CARGADERO DE PUNTA COLORADA
2024-01-11 11:35:00-03:00,7.5,CARGADERO DE PUNTA COLORADA
2024-01-11 17:38:00-03:00,1.97,CARGADERO DE PUNTA COLORADA
2024-01-11 23:40:00-03:00,7.85,CARGADERO DE PUNTA COLORADA
2024-01-12 06:10:00-03:00,1.28,CARGADERO DE PUNTA COLORADA
2024-01-12 12:26:00-03:00,7.83,CARGADERO DE PUNTA COLORADA
2024-01-12 18:29:00-03:00,1.83,CARGADERO DE PUNTA COLORADA
2024-01-13 00:29:00-03:00,7.98,CARGADERO DE PUNTA COLORADA
2024-01-13 06:58:00-03:00,1.01,CARGADERO DE PUNTA COLORADA
2024-01-13 13:16:00-03:00,8.12,CARGADERO DE PUNTA COLORADA
2024-01-13 19:21:00-03:00,1.68,CARGADERO DE PUNTA COLORADA
2024-01-14 01:20:00-03:00,8.14,CARGADERO DE PUNTA COLORADA
2024-01-14 07:46:00-03:00,0.78,CARGADERO DE PUNTA COLORADA
2024-01-14 14:06:00-03:00,8.36,CARGADERO DE PUNTA COLORADA
2024-01-14 20:11:00-03:00,1.51,CARGADERO DE PUNTA COLORADA
2024-01-15 02:11:00-03:00,8.29,CARGADERO DE PUNTA COLORADA
2024-01-15 08:35:00-03:00,0.63,CARGADERO DE PUNTA COLORADA
2024-01-15 14:55:00-03:00,8.52,CARGADERO DE PUNTA COLORADA
2024-01-15 21:00:00-03:00,1.35,CARGADERO DE PUNTA COLORADA
2024-01-16 03:02:00-03:00,8.4,CARGADERO DE PUNTA COLORADA
2024-01-16 09:23:00-03:00,0.61,CARGADERO DE PUNTA COLORADA
2024-01-16 15:43:00-03:00,8.56,CARGADERO DE PUNTA COLORADA
2024-01-16 21:49:00-03:00,1.26,CARGADERO DE PUNTA COLORADA
2024-01-17 03:53:00-03:00,8.39,CARGADERO DE PUNTA COLORADA
2024-01-17 10:12:00-03:00,0.76,CARGADERO DE PUNTA COLORADA
2024-01-17 16:31:00-03:00,8.47,CARGADERO DE PUNTA COLORADA
2024-01-17 22:40:00-03:00,1.29,CARGADERO DE PUNTA COLORADA
2024-01-18 04:46:00-03:00,8.21,CARGADERO DE PUNTA COLORADA
2024-01-18 11:02:00-03:00,1.08,CARGADERO DE PUNTA COLORADA
2024-01-18 17:21:00-03:00,8.24,CARGADERO DE PUNTA COLORADA
2024-01-18 23:33:00-03:00,1.45,CARGADERO DE PUNTA COLORADA
2024-01-19 05:43:00-03:00,7.88,CARGADERO DE PUNTA COLORADA
2024-01-19 11:56:00-03:00,1.51,CARGADERO DE PUNTA COLORADA
2024-01-19 18:16:00-03:00,7.95,CARGADERO DE PUNTA COLORADA
2024-01-20 00:33:00-03:00,1.69,CARGADERO DE PUNTA COLORADA
2024-01-20 06:46:00-03:00,7.5,CARGADERO DE PUNTA COLORADA
2024-01-20 12:57:00-03:00,1.95,CARGADERO DE PUNTA COLORADA
2024-01-20 19:18:00-03:00,7.69,CARGADERO DE PUNTA COLORADA
2024-01-21 01:44:00-03:00,1.89,CARGADERO DE PUNTA COLORADA
2024-01-21 07:58:00-03:00,7.2,CARGADERO DE PUNTA COLORADA
2024-01-21 14:06:00-03:00,2.26,CARGADERO DE PUNTA COLORADA
2024-01-21 20:25:00-03:00,7.54,CARGADERO DE PUNTA COLORADA
2024-01-22 02:59:00-03:00,1.95,CARGADERO DE PUNTA COLORADA
2024-01-22 09:10:00-03:00,7.08,CARGADERO DE PUNTA COLORADA
2024-01-22 15:18:00-03:00,2.39,CARGADERO DE PUNTA COLORADA
2024-01-22 21:31:00-03:00,7.5,CARGADERO DE PUNTA COLORADA
2024-01-23 04:06:00-03:00,1.9,CARGADERO DE PUNTA COLORADA
2024-01-23 10:14:00-03:00,7.1,CARGADERO DE PUNTA COLORADA
2024-01-23 16:19:00-03:00,2.38,CARGADERO DE PUNTA COLORADA
2024-01-23 22:29:00-03:00,7.5,CARGADERO DE PUNTA COLORADA
2024-01-24 05:01:00-03:00,1.87,CARGADERO DE PUNTA COLORADA
2024-01-24 11:07:00-03:00,7.15,CARGADERO DE PUNTA COLORADA
2024-01-24 17:11:00-03:00,2.36,CARGADERO DE PUNTA COLORADA
2024-01-24 23:18:00-03:00,7.45,CARGADERO DE PUNTA COLORADA
2024-01-25 05:48:00-03:00,1.91,CARGADERO DE PUNTA COLORADA
2024-01-25 11:53:00-03:00,7.18,CARGADERO DE PUNTA COLORADA
2024-01-25 17:57:00-03:00,2.36,CARGADERO DE PUNTA COLORADA
2024-01-26 00:01:00-03:00,7.35,CARGADERO DE PUNTA COLORADA
2024-01-26 06:28:00-03:00,2.0,CARGADERO DE PUNTA COLORADA
2024-01-26 12:34:00-03:00,7.19,CARGADERO DE PUNTA COLORADA
2024-01-26 18:37:00-03:00,2.39,CARGADERO DE PUNTA COLORADA
2024-01-27 00:39:00-03:00,7.25,CARGADERO DE PUNTA COLORADA
2024-01-27 07:04:00-03:00,2.06,CARGADERO DE PUNTA COLORADA
2024-01-27 13:12:00-03:00,7.21,CARGADERO DE PUNTA COLORADA
2024-01-27 19:15:00-03:00,2.41,CARGADERO DE PUNTA COLORADA
2024-01-28 01:14:00-03:00,7.2,CARGADERO DE PUNTA COLORADA
2024-01-28 07:36:00-03:00,2.06,CARGADERO DE PUNTA COLORADA
2024-01-28 13:47:00-03:00,7.25,CARGADERO DE PUNTA COLORADA
2024-01-28 19:49:00-03:00,2.39,CARGADERO DE PUNTA COLORADA
2024-01-29 01:47:00-03:00,7.24,CARGADERO DE PUNTA COLORADA
2024-01-29 08:06:00-03:00,1.97,CARGADERO DE PUNTA COLORADA
2024-01-29 14:20:00-03:00,7.34,CARGADERO DE PUNTA COLORADA
2024-01-29 20:23:00-03:00,2.32,CARGADERO DE PUNTA COLORADA
2024-01-30 02:21:00-03:00,7.33,CARGADERO DE PUNTA COLORADA
2024-01-30 08:38:00-03:00,1.82,CARGADERO DE PUNTA COLORADA
2024-01-30 14:53:00-03:00,7.44,CARGADERO DE PUNTA COLORADA
2024-01-30 20:57:00-03:00,2.23,CARGADERO DE PUNTA COLORADA
2024-01-31 02:56:00-03:00,7.43,CARGADERO DE PUNTA COLORADA
2024-01-31 09:11:00-03:00,1.69,CARGADERO DE PUNTA COLORADA
2024-01-31 15:26:00-03:00,7.52,CARGADERO DE PUNTA COLORADA
2024-01-31 21:32:00-03:00,2.17,CARGADERO DE PUNTA COLORADA
