datetime,height,port
2024-10-01 05:06:00-03:00,2.41,CARGADERO DE PUNTA COLORADA
2024-10-01 11:11:00-03:00,6.93,CARGADERO DE PUNTA COLORADA
2024-10-01 17:26:00-03:00,2.44,CARGADERO DE PUNTA COLORADA
2024-10-01 23:30:00-03:00,7.13,CARGADERO DE PUNTA COLORADA
2024-10-02 05:41:00-03:00,2.31,CARGADERO DE PUNTA COLORADA
2024-10-02 11:43:00-03:00,6.99,CARGADERO DE PUNTA COLORADA
2024-10-02 17:53:00-03:00,2.35,CARGADERO DE PUNTA COLORADA
2024-10-03 00:00:00-03:00,7.24,CARGADERO DE PUNTA COLORADA
2024-10-03 06:10:00-03:00,2.26,CARGADERO DE PUNTA COLORADA
2024-10-03 12:10:00-03:00,7.06,CARGADERO DE PUNTA COLORADA
2024-10-03 18:18:00-03:00,2.21,CARGADERO DE PUNTA COLORADA
2024-10-04 00:28:00-03:00,7.35,CARGADERO DE PUNTA COLORADA
2024-10-04 06:38:00-03:00,2.22,CARGADERO DE PUNTA COLORADA
2024-10-04 12:38:00-03:00,7.17,CARGADERO DE PUNTA COLORADA
2024-10-04 18:45:00-03:00,2.03,CARGADERO DE PUNTA COLORADA
2024-10-05 00:56:00-03:00,7.47,CARGADERO DE PUNTA COLORADA
2024-10-05 07:08:00-03:00,2.14,CARGADERO DE PUNTA COLORADA
2024-10-05 13:09:00-03:00,7.31,CARGADERO DE PUNTA COLORADA
2024-10-05 19:16:00-03:00,1.86,CARGADERO DE PUNTA COLORADA
2024-10-06 01:26:00-03:00,7.59,CARGADERO DE PUNTA COLORADA
2024-10-06 07:40:00-03:00,2.02,CARGADERO DE PUNTA COLORADA
2024-10-06 13:44:00-03:00,7.44,CARGADERO DE PUNTA COLORADA
2024-10-06 19:50:00-03:00,1.76,CARGADERO DE PUNTA COLORADA
2024-10-07 01:59:00-03:00,7.7,CARGADERO DE PUNTA COLORADA
2024-10-07 08:14:00-03:00,1.88,CARGADERO DE PUNTA COLORADA
2024-10-07 14:22:00-03:00,7.51,CARGADERO DE PUNTA COLORADA
2024-10-07 20:27:00-03:00,1.75,CARGADERO DE PUNTA COLORADA
2024-10-08 02:33:00-03:00,7.76,CARGADERO DE PUNTA COLORADA
2024-10-08 08:50:00-03:00,1.77,CARGADERO DE PUNTA COLORADA
2024-10-08 15:02:00-03:00,7.5,CARGADERO DE PUNTA COLORADA
2024-10-08 21:05:00-03:00,1.85,CARGADERO DE PUNTA COLORADA
2024-10-09 03:10:00-03:00,7.74,CARGADERO DE PUNTA COLORADA
2024-10-09 09:29:00-03:00,1.74,CARGADERO DE PUNTA COLORADA
2024-10-09 15:45:00-03:00,7.38,CARGADERO DE PUNTA COLORADA
2024-10-09 21:47:00-03:00,2.05,CARGADERO DE PUNTA COLORADA
2024-10-10 03:50:00-03:00,7.62,CARGADERO DE PUNTA COLORADA
2024-10-10 10:11:00-03:00,1.82,CARGADERO DE PUNTA COLORADA
2024-10-10 16:32:00-03:00,7.19,CARGADERO DE PUNTA COLORADA
2024-10-10 22:33:00-03:00,2.32,CARGADERO DE PUNTA COLORADA
2024-10-11 04:35:00-03:00,7.4,CARGADERO DE PUNTA COLORADA
2024-10-11 11:00:00-03:00,1.99,CARGADERO DE PUNTA COLORADA
2024-10-11 17:27:00-03:00,6.98,CARGADERO DE PUNTA COLORADA
2024-10-11 23:29:00-03:00,2.59,CARGADERO DE PUNTA COLORADA
2024-10-12 05:31:00-03:00,7.14,CARGADERO DE PUNTA COLORADA
2024-10-12 11:59:00-03:00,2.17,CARGADERO DE PUNTA COLORADA
2024-10-12 18:33:00-03:00,6.89,CARGADERO DE PUNTA COLORADA
2024-10-13 00:37:00-03:00,2.73,CARGADERO DE PUNTA COLORADA
2024-10-13 06:39:00-03:00,6.96,CARGADERO DE PUNTA COLORADA
2024-10-13 13:13:00-03:00,2.23,CARGADERO DE PUNTA COLORADA
2024-10-13 19:47:00-03:00,7.03,CARGADERO DE PUNTA COLORADA
2024-10-14 01:57:00-03:00,2.58,CARGADERO DE PUNTA COLORADA
2024-10-14 07:58:00-03:00,7.04,CARGADERO DE PUNTA COLORADA
2024-10-14 14:32:00-03:00,2.03,CARGADERO DE PUNTA COLORADA
2024-10-14 20:57:00-03:00,7.44,CARGADERO DE PUNTA COLORADA
2024-10-15 03:12:00-03:00,2.14,CARGADERO DE PUNTA COLORADA
2024-10-15 09:12:00-03:00,7.4,CARGADERO DE PUNTA COLORADA
2024-10-15 15:39:00-03:00,1.61,CARGADERO DE PUNTA COLORADA
2024-10-15 21:57:00-03:00,7.98,CARGADERO DE PUNTA COLORADA
2024-10-16 04:12:00-03:00,1.57,CARGADERO DE PUNTA COLORADA
2024-10-16 10:14:00-03:00,7.89,CARGADERO DE PUNTA COLORADA
2024-10-16 16:35:00-03:00,1.15,CARGADERO DE PUNTA COLORADA
2024-10-16 22:49:00-03:00,8.49,CARGADERO DE PUNTA COLORADA
2024-10-17 05:05:00-03:00,1.04,CARGADERO DE PUNTA COLORADA
2024-10-17 11:09:00-03:00,8.36,CARGADERO DE PUNTA COLORADA
2024-10-17 17:26:00-03:00,0.77,CARGADERO DE PUNTA COLORADA
2024-10-17 23:38:00-03:00,8.87,CARGADERO DE PUNTA COLORADA
2024-10-18 05:55:00-03:00,0.63,CARGADERO DE PUNTA COLORADA
2024-10-18 12:01:00-03:00,8.71,CARGADERO DE PUNTA COLORADA
2024-10-18 18:16:00-03:00,0.54,CARGADERO DE PUNTA COLORADA
