datetime,height,port
2024-02-01 03:33:00-03:00,7.46,CARGADERO DE PUNTA COLORADA
2024-02-01 09:47:00-03:00,1.65,CARGADERO DE PUNTA COLORADA
2024-02-01 16:02:00-03:00,7.56,CARGADERO DE PUNTA COLORADA
2024-02-01 22:11:00-03:00,2.17,CARGADERO DE PUNTA COLORADA
2024-02-02 04:13:00-03:00,7.36,CARGADERO DE PUNTA COLORADA
2024-02-02 10:25:00-03:00,1.73,CARGADERO DE PUNTA COLORADA
2024-02-02 16:41:00-03:00,7.52,CARGADERO DE PUNTA COLORADA
2024-02-02 22:54:00-03:00,2.26,CARGADERO DE PUNTA COLORADA
2024-02-03 04:58:00-03:00,7.13,CARGADERO DE PUNTA COLORADA
2024-02-03 11:08:00-03:00,1.93,CARGADERO DE PUNTA COLORADA
2024-02-03 17:25:00-03:00,7.41,CARGADERO DE PUNTA COLORADA
2024-02-03 23:43:00-03:00,2.41,CARGADERO DE PUNTA COLORADA
2024-02-04 05:50:00-03:00,6.84,CARGADERO DE PUNTA COLORADA
2024-02-04 11:58:00-03:00,2.2,CARGADERO DE PUNTA COLORADA
2024-02-04 18:16:00-03:00,7.27,CARGADERO DE PUNTA COLORADA
2024-02-05 00:43:00-03:00,2.53,CARGADERO DE PUNTA COLORADA
2024-02-05 06:53:00-03:00,6.61,CARGADERO DE PUNTA COLORADA
2024-02-05 12:58:00-03:00,2.44,CARGADERO DE PUNTA COLORADA
2024-02-05 19:16:00-03:00,7.18,CARGADERO DE PUNTA COLORADA
2024-02-06 01:53:00-03:00,2.5,CARGADERO DE PUNTA COLORADA
2024-02-06 08:07:00-03:00,6.58,CARGADERO DE PUNTA COLORADA
2024-02-06 14:09:00-03:00,2.55,CARGADERO DE PUNTA COLORADA
2024-02-06 20:23:00-03:00,7.22,CARGADERO DE PUNTA COLORADA
2024-02-07 03:05:00-03:00,2.26,CARGADERO DE PUNTA COLORADA
2024-02-07 09:19:00-03:00,6.83,CARGADERO DE PUNTA COLORADA
2024-02-07 15:21:00-03:00,2.43,CARGADERO DE PUNTA COLORADA
2024-02-07 21:28:00-03:00,7.39,CARGADERO DE PUNTA COLORADA
2024-02-08 04:07:00-03:00,1.88,CARGADERO DE PUNTA COLORADA
2024-02-08 10:21:00-03:00,7.26,CARGADERO DE PUNTA COLORADA
2024-02-08 16:25:00-03:00,2.17,CARGADERO DE PUNTA COLORADA
2024-02-08 22:27:00-03:00,7.65,CARGADERO DE PUNTA COLORADA
2024-02-09 05:00:00-03:00,1.45,CARGADERO DE PUNTA COLORADA
2024-02-09 11:16:00-03:00,7.74,CARGADERO DE PUNTA COLORADA
2024-02-09 17:21:00-03:00,1.85,CARGADERO DE PUNTA COLORADA
2024-02-09 23:22:00-03:00,7.93,CARGADERO DE PUNTA COLORADA
2024-02-10 05:51:00-03:00,1.05,CARGADERO DE PUNTA COLORADA
2024-02-10 12:07:00-03:00,8.18,CARGADERO DE PUNTA COLORADA
2024-02-10 18:14:00-03:00,1.52,CARGADERO DE PUNTA COLORADA
2024-02-11 00:14:00-03:00,8.22,CARGADERO DE PUNTA COLORADA
2024-02-11 06:40:00-03:00,0.71,CARGADERO DE PUNTA COLORADA
2024-02-11 12:57:00-03:00,8.54,CARGADERO DE PUNTA COLORADA
2024-02-11 19:05:00-03:00,1.22,CARGADERO DE PUNTA COLORADA
2024-02-12 01:06:00-03:00,8.49,CARGADERO DE PUNTA COLORADA
2024-02-12 07:30:00-03:00,0.46,CARGADERO DE PUNTA COLORADA
2024-02-12 13:47:00-03:00,8.8,CARGADERO DE PUNTA COLORADA
2024-02-12 19:55:00-03:00,0.97,CARGADERO DE PUNTA COLORADA
2024-02-13 01:58:00-03:00,8.71,CARGADERO DE PUNTA COLORADA
2024-02-13 08:18:00-03:00,0.32,CARGADERO DE PUNTA COLORADA
2024-02-13 14:35:00-03:00,8.94,CARGADERO DE PUNTA COLORADA
2024-02-13 20:44:00-03:00,0.79,CARGADERO DE PUNTA COLORADA
2024-02-14 02:49:00-03:00,8.82,CARGADERO DE PUNTA COLORADA
