datetime,height,port
2024-03-01 03:02:00-03:00,7.59,CARGADERO DE PUNTA COLORADA
2024-03-01 09:13:00-03:00,1.51,CARGADERO DE PUNTA COLORADA
2024-03-01 15:25:00-03:00,7.77,CARGADERO DE PUNTA COLORADA
2024-03-01 21:37:00-03:00,1.95,CARGADERO DE PUNTA COLORADA
2024-03-02 03:42:00-03:00,7.5,CARGADERO DE PUNTA COLORADA
2024-03-02 09:51:00-03:00,1.62,CARGADERO DE PUNTA COLORADA
2024-03-02 16:03:00-03:00,7.74,CARGADERO DE PUNTA COLORADA
2024-03-02 22:17:00-03:00,2.0,CARGADERO DE PUNTA COLORADA
2024-03-03 04:26:00-03:00,7.28,CARGADERO DE PUNTA COLORADA
2024-03-03 10:32:00-03:00,1.88,CARGADERO DE PUNTA COLORADA
2024-03-03 16:44:00-03:00,7.6,CARGADERO DE PUNTA COLORADA
2024-03-03 23:03:00-03:00,2.13,CARGADERO DE PUNTA COLORADA
2024-03-04 05:16:00-03:00,6.98,CARGADERO DE PUNTA COLORADA
2024-03-04 11:20:00-03:00,2.22,CARGADERO DE PUNTA COLORADA
2024-03-04 17:32:00-03:00,7.39,CARGADERO DE PUNTA COLORADA
2024-03-04 23:58:00-03:00,2.3,CARGADERO DE PUNTA COLORADA
2024-03-05 06:18:00-03:00,6.71,CARGADERO DE PUNTA COLORADA
2024-03-05 12:19:00-03:00,2.55,CARGADERO DE PUNTA COLORADA
2024-03-05 18:31:00-03:00,7.18,CARGADERO DE PUNTA COLORADA
2024-03-06 01:07:00-03:00,2.38,CARGADERO DE PUNTA COLORADA
2024-03-06 07:33:00-03:00,6.66,CARGADERO DE PUNTA COLORADA
2024-03-06 13:35:00-03:00,2.7,CARGADERO DE PUNTA COLORADA
2024-03-06 19:43:00-03:00,7.11,CARGADERO DE PUNTA COLORADA
2024-03-07 02:28:00-03:00,2.22,CARGADERO DE PUNTA COLORADA
2024-03-07 08:52:00-03:00,6.93,CARGADERO DE PUNTA COLORADA
2024-03-07 14:56:00-03:00,2.52,CARGADERO DE PUNTA COLORADA
2024-03-07 20:59:00-03:00,7.28,CARGADERO DE PUNTA COLORADA
2024-03-08 03:39:00-03:00,1.83,CARGADERO DE PUNTA COLORADA
2024-03-08 09:58:00-03:00,7.45,CARGADERO DE PUNTA COLORADA
2024-03-08 16:05:00-03:00,2.09,CARGADERO DE PUNTA COLORADA
2024-03-08 22:06:00-03:00,7.65,CARGADERO DE PUNTA COLORADA
2024-03-09 04:38:00-03:00,1.34,CARGADERO DE PUNTA COLORADA
2024-03-09 10:54:00-03:00,8.02,CARGADERO DE PUNTA COLORADA
2024-03-09 17:03:00-03:00,1.59,CARGADERO DE PUNTA COLORADA
2024-03-09 23:04:00-03:00,8.09,CARGADERO DE PUNTA COLORADA
2024-03-10 05:30:00-03:00,0.88,CARGADERO DE PUNTA COLORADA
2024-03-10 11:45:00-03:00,8.52,CARGADERO DE PUNTA COLORADA
2024-03-10 17:56:00-03:00,1.12,CARGADERO DE PUNTA COLORADA
2024-03-10 23:57:00-03:00,8.49,CARGADERO DE PUNTA COLORADA
2024-03-11 06:20:00-03:00,0.51,CARGADERO DE PUNTA COLORADA
2024-03-11 12:34:00-03:00,8.9,CARGADERO DE PUNTA COLORADA
2024-03-11 18:46:00-03:00,0.76,CARGADERO DE PUNTA COLORADA
2024-03-12 00:49:00-03:00,8.81,CARGADERO DE PUNTA COLORADA
2024-03-12 07:09:00-03:00,0.28,CARGADERO DE PUNTA COLORADA
2024-03-12 13:23:00-03:00,9.12,CARGADERO DE PUNTA COLORADA
2024-03-12 19:35:00-03:00,0.52,CARGADERO DE PUNTA COLORADA
2024-03-13 01:41:00-03:00,9.01,CARGADERO DE PUNTA COLORADA
2024-03-13 07:58:00-03:00,0.21,CARGADERO DE PUNTA COLORADA
2024-03-13 14:11:00-03:00,9.18,CARGADERO DE PUNTA COLORADA
2024-03-13 20:24:00-03:00,0.41,CARGADERO DE PUNTA COLORADA
2024-03-14 02:32:00-03:00,9.04,CARGADERO DE PUNTA COLORADA
2024-03-14 08:46:00-03:00,0.32,CARGADERO DE PUNTA COLORADA
2024-03-14 14:59:00-03:00,9.08,CARGADERO DE PUNTA COLORADA
2024-03-14 21:13:00-03:00,0.47,CARGADERO DE PUNTA COLORADA
2024-03-15 03:22:00-03:00,8.86,CARGADERO DE PUNTA COLORADA
