datetime,height,port
2024-05-01 04:40:00-03:00,7.27,CARGADERO DE PUNTA COLORADA
2024-05-01 10:39:00-03:00,2.38,CARGADERO DE PUNTA COLORADA
2024-05-01 16:40:00-03:00,7.47,CARGADERO DE PUNTA COLORADA
2024-05-01 23:06:00-03:00,1.8,CARGADERO DE PUNTA COLORADA
2024-05-02 05:37:00-03:00,7.16,CARGADERO DE PUNTA COLORADA
2024-05-02 11:38:00-03:00,2.52,CARGADERO DE PUNTA COLORADA
2024-05-02 17:41:00-03:00,7.27,CARGADERO DE PUNTA COLORADA
2024-05-03 00:10:00-03:00,1.96,CARGADERO DE PUNTA COLORADA
2024-05-03 06:44:00-03:00,7.16,CARGADERO DE PUNTA COLORADA
2024-05-03 12:49:00-03:00,2.52,CARGADERO DE PUNTA COLORADA
2024-05-03 18:54:00-03:00,7.19,CARGADERO DE PUNTA COLORADA
2024-05-04 01:25:00-03:00,1.97,CARGADERO DE PUNTA COLORADA
2024-05-04 07:56:00-03:00,7.39,CARGADERO DE PUNTA COLORADA
2024-05-04 14:09:00-03:00,2.24,CARGADERO DE PUNTA COLORADA
2024-05-04 20:13:00-03:00,7.36,CARGADERO DE PUNTA COLORADA
2024-05-05 02:42:00-03:00,1.73,CARGADERO DE PUNTA COLORADA
2024-05-05 09:04:00-03:00,7.82,CARGADERO DE PUNTA COLORADA
2024-05-05 15:21:00-03:00,1.74,CARGADERO DE PUNTA COLORADA
2024-05-05 21:25:00-03:00,7.75,CARGADERO DE PUNTA COLORADA
2024-05-06 03:47:00-03:00,1.35,CARGADERO DE PUNTA COLORADA
2024-05-06 10:02:00-03:00,8.31,CARGADERO DE PUNTA COLORADA
2024-05-06 16:21:00-03:00,1.2,CARGADERO DE PUNTA COLORADA
2024-05-06 22:25:00-03:00,8.19,CARGADERO DE PUNTA COLORADA
2024-05-07 04:43:00-03:00,0.98,CARGADERO DE PUNTA COLORADA
2024-05-07 10:55:00-03:00,8.73,CARGADERO DE PUNTA COLORADA
2024-05-07 17:14:00-03:00,0.77,CARGADERO DE PUNTA COLORADA
2024-05-07 23:19:00-03:00,8.53,CARGADERO DE PUNTA COLORADA
2024-05-08 05:34:00-03:00,0.74,CARGADERO DE PUNTA COLORADA
2024-05-08 11:44:00-03:00,8.97,CARGADERO DE PUNTA COLORADA
2024-05-08 18:05:00-03:00,0.52,CARGADERO DE PUNTA COLORADA
2024-05-09 00:11:00-03:00,8.7,CARGADERO DE PUNTA COLORADA
2024-05-09 06:24:00-03:00,0.68,CARGADERO DE PUNTA COLORADA
2024-05-09 12:33:00-03:00,9.01,CARGADERO DE PUNTA COLORADA
2024-05-09 18:54:00-03:00,0.45,CARGADERO DE PUNTA COLORADA
2024-05-10 01:03:00-03:00,8.72,CARGADERO DE PUNTA COLORADA
2024-05-10 07:13:00-03:00,0.79,CARGADERO DE PUNTA COLORADA
2024-05-10 13:22:00-03:00,8.88,CARGADERO DE PUNTA COLORADA
2024-05-10 19:44:00-03:00,0.54,CARGADERO DE PUNTA COLORADA
2024-05-11 01:54:00-03:00,8.59,CARGADERO DE PUNTA COLORADA
2024-05-11 08:03:00-03:00,1.03,CARGADERO DE PUNTA COLORADA
2024-05-11 14:10:00-03:00,8.62,CARGADERO DE PUNTA COLORADA
2024-05-11 20:33:00-03:00,0.74,CARGADERO DE PUNTA COLORADA
2024-05-12 02:45:00-03:00,8.35,CARGADERO DE PUNTA COLORADA
2024-05-12 08:51:00-03:00,1.36,CARGADERO DE PUNTA COLORADA
2024-05-12 14:58:00-03:00,8.28,CARGADERO DE PUNTA COLORADA
2024-05-12 21:20:00-03:00,1.05,CARGADERO DE PUNTA COLORADA
2024-05-13 03:34:00-03:00,8.02,CARGADERO DE PUNTA COLORADA
2024-05-13 09:39:00-03:00,1.75,CARGADERO DE PUNTA COLORADA
2024-05-13 15:44:00-03:00,7.87,CARGADERO DE PUNTA COLORADA
2024-05-13 22:07:00-03:00,1.45,CARGADERO DE PUNTA COLORADA
2024-05-14 04:23:00-03:00,7.61,CARGADERO DE PUNTA COLORADA
2024-05-14 10:25:00-03:00,2.15,CARGADERO DE PUNTA COLORADA
2024-05-14 16:30:00-03:00,7.43,CARGADERO DE PUNTA COLORADA
2024-05-14 22:53:00-03:00,1.92,CARGADERO DE PUNTA COLORADA
2024-05-15 05:11:00-03:00,7.17,CARGADERO DE PUNTA COLORADA
2024-05-15 11:12:00-03:00,2.54,CARGADERO DE PUNTA COLORADA
2024-05-15 17:18:00-03:00,6.99,CARGADERO DE PUNTA COLORADA
2024-05-15 23:40:00-03:00,2.38,CARGADERO DE PUNTA COLORADA
2024-05-16 06:01:00-03:00,6.77,CARGADERO DE PUNTA COLORADA
2024-05-16 12:02:00-03:00,2.86,CARGADERO DE PUNTA COLORADA
2024-05-16 18:10:00-03:00,6.61,CARGADERO DE PUNTA COLORADA
2024-05-17 00:32:00-03:00,2.75,CARGADERO DE PUNTA COLORADA
2024-05-17 06:56:00-03:00,6.51,CARGADERO DE PUNTA COLORADA
2024-05-17 12:59:00-03:00,3.05,CARGADERO DE PUNTA COLORADA
2024-05-17 19:10:00-03:00,6.37,CARGADERO DE PUNTA COLORADA
2024-05-18 01:30:00-03:00,2.95,CARGADERO DE PUNTA COLORADA
2024-05-18 07:55:00-03:00,6.45,CARGADERO DE PUNTA COLORADA
2024-05-18 14:03:00-03:00,3.06,CARGADERO DE PUNTA COLORADA
2024-05-18 20:13:00-03:00,6.31,CARGADERO DE PUNTA COLORADA
2024-05-19 02:28:00-03:00,2.92,CARGADERO DE PUNTA COLORADA
2024-05-19 08:51:00-03:00,6.59,CARGADERO DE PUNTA COLORADA
2024-05-19 15:03:00-03:00,2.91,CARGADERO DE PUNTA COLORADA
2024-05-19 21:08:00-03:00,6.41,CARGADERO DE PUNTA COLORADA
2024-05-20 03:17:00-03:00,2.72,CARGADERO DE PUNTA COLORADA
2024-05-20 09:38:00-03:00,6.87,CARGADERO DE PUNTA COLORADA
2024-05-20 15:53:00-03:00,2.69,CARGADERO DE PUNTA COLORADA
2024-05-20 21:54:00-03:00,6.59,CARGADERO DE PUNTA COLORADA
2024-05-21 03:59:00-03:00,2.45,CARGADERO DE PUNTA COLORADA
2024-05-21 10:18:00-03:00,7.16,CARGADERO DE PUNTA COLORADA
2024-05-21 16:35:00-03:00,2.46,CARGADERO DE PUNTA COLORADA
2024-05-21 22:35:00-03:00,6.8,CARGADERO DE PUNTA COLORADA
2024-05-22 04:38:00-03:00,2.18,CARGADERO DE PUNTA COLORADA
2024-05-22 10:55:00-03:00,7.41,CARGADERO DE PUNTA COLORADA
2024-05-22 17:14:00-03:00,2.27,CARGADERO DE PUNTA COLORADA
2024-05-22 23:14:00-03:00,7.0,CARGADERO DE PUNTA COLORADA
