datetime,height,port
2024-06-01 06:22:00-03:00,7.51,CARGADERO DE PUNTA COLORADA
2024-06-01 12:30:00-03:00,2.19,CARGADERO DE PUNTA COLORADA
2024-06-01 18:37:00-03:00,7.39,CARGADERO DE PUNTA COLORADA
2024-06-02 01:00:00-03:00,1.81,CARGADERO DE PUNTA COLORADA
2024-06-02 07:28:00-03:00,7.61,CARGADERO DE PUNTA COLORADA
2024-06-02 13:43:00-03:00,2.02,CARGADERO DE PUNTA COLORADA
2024-06-02 19:51:00-03:00,7.44,CARGADERO DE PUNTA COLORADA
2024-06-03 02:13:00-03:00,1.76,CARGADERO DE PUNTA COLORADA
2024-06-03 08:35:00-03:00,7.86,CARGADERO DE PUNTA COLORADA
2024-06-03 14:56:00-03:00,1.68,CARGADERO DE PUNTA COLORADA
2024-06-03 21:03:00-03:00,7.67,CARGADERO DE PUNTA COLORADA
2024-06-04 03:21:00-03:00,1.56,CARGADERO DE PUNTA COLORADA
2024-06-04 09:36:00-03:00,8.2,CARGADERO DE PUNTA COLORADA
2024-06-04 16:00:00-03:00,1.29,CARGADERO DE PUNTA COLORADA
2024-06-04 22:06:00-03:00,7.95,CARGADERO DE PUNTA COLORADA
2024-06-05 04:20:00-03:00,1.34,CARGADERO DE PUNTA COLORADA
2024-06-05 10:31:00-03:00,8.48,CARGADERO DE PUNTA COLORADA
2024-06-05 16:56:00-03:00,0.98,CARGADERO DE PUNTA COLORADA
2024-06-05 23:02:00-03:00,8.17,CARGADERO DE PUNTA COLORADA
2024-06-06 05:13:00-03:00,1.21,CARGADERO DE PUNTA COLORADA
2024-06-06 11:23:00-03:00,8.61,CARGADERO DE PUNTA COLORADA
2024-06-06 17:48:00-03:00,0.83,CARGADERO DE PUNTA COLORADA
2024-06-06 23:55:00-03:00,8.27,CARGADERO DE PUNTA COLORADA
2024-06-07 06:04:00-03:00,1.21,CARGADERO DE PUNTA COLORADA
2024-06-07 12:12:00-03:00,8.57,CARGADERO DE PUNTA COLORADA
2024-06-07 18:37:00-03:00,0.84,CARGADERO DE PUNTA COLORADA
2024-06-08 00:46:00-03:00,8.24,CARGADERO DE PUNTA COLORADA
2024-06-08 06:54:00-03:00,1.33,CARGADERO DE PUNTA COLORADA
2024-06-08 13:01:00-03:00,8.4,CARGADERO DE PUNTA COLORADA
2024-06-08 19:26:00-03:00,0.96,CARGADERO DE PUNTA COLORADA
2024-06-09 01:37:00-03:00,8.13,CARGADERO DE PUNTA COLORADA
