datetime,height,port
2024-07-01 00:37:00-03:00,1.73,CARGADERO DE PUNTA COLORADA
2024-07-01 07:00:00-03:00,7.75,CARGADERO DE PUNTA COLORADA
2024-07-01 13:18:00-03:00,1.86,CARGADERO DE PUNTA COLORADA
2024-07-01 19:31:00-03:00,7.44,CARGADERO DE PUNTA COLORADA
2024-07-02 01:45:00-03:00,1.91,CARGADERO DE PUNTA COLORADA
2024-07-02 08:06:00-03:00,7.77,CARGADERO DE PUNTA COLORADA
2024-07-02 14:33:00-03:00,1.77,CARGADERO DE PUNTA COLORADA
2024-07-02 20:44:00-03:00,7.43,CARGADERO DE PUNTA COLORADA
2024-07-03 02:57:00-03:00,1.93,CARGADERO DE PUNTA COLORADA
2024-07-03 09:12:00-03:00,7.89,CARGADERO DE PUNTA COLORADA
2024-07-03 15:43:00-03:00,1.57,CARGADERO DE PUNTA COLORADA
2024-07-03 21:51:00-03:00,7.55,CARGADERO DE PUNTA COLORADA
2024-07-04 04:01:00-03:00,1.85,CARGADERO DE PUNTA COLORADA
2024-07-04 10:12:00-03:00,8.02,CARGADERO DE PUNTA COLORADA
2024-07-04 16:42:00-03:00,1.39,CARGADERO DE PUNTA COLORADA
2024-07-04 22:50:00-03:00,7.69,CARGADERO DE PUNTA COLORADA
2024-07-05 04:58:00-03:00,1.76,CARGADERO DE PUNTA COLORADA
2024-07-05 11:06:00-03:00,8.08,CARGADERO DE PUNTA COLORADA
2024-07-05 17:35:00-03:00,1.31,CARGADERO DE PUNTA COLORADA
2024-07-05 23:43:00-03:00,7.77,CARGADERO DE PUNTA COLORADA
2024-07-06 05:50:00-03:00,1.75,CARGADERO DE PUNTA COLORADA
2024-07-06 11:57:00-03:00,8.02,CARGADERO DE PUNTA COLORADA
2024-07-06 18:24:00-03:00,1.34,CARGADERO DE PUNTA COLORADA
2024-07-07 00:32:00-03:00,7.78,CARGADERO DE PUNTA COLORADA
2024-07-07 06:39:00-03:00,1.81,CARGADERO DE PUNTA COLORADA
2024-07-07 12:44:00-03:00,7.89,CARGADERO DE PUNTA COLORADA
2024-07-07 19:10:00-03:00,1.46,CARGADERO DE PUNTA COLORADA
2024-07-08 01:20:00-03:00,7.72,CARGADERO DE PUNTA COLORADA
2024-07-08 07:26:00-03:00,1.91,CARGADERO DE PUNTA COLORADA
2024-07-08 13:29:00-03:00,7.72,CARGADERO DE PUNTA COLORADA
2024-07-08 19:54:00-03:00,1.59,CARGADERO DE PUNTA COLORADA
2024-07-09 02:04:00-03:00,7.64,CARGADERO DE PUNTA COLORADA
2024-07-09 08:09:00-03:00,2.02,CARGADERO DE PUNTA COLORADA
2024-07-09 14:11:00-03:00,7.58,CARGADERO DE PUNTA COLORADA
2024-07-09 20:33:00-03:00,1.71,CARGADERO DE PUNTA COLORADA
2024-07-10 02:45:00-03:00,7.54,CARGADERO DE PUNTA COLORADA
2024-07-10 08:49:00-03:00,2.11,CARGADERO DE PUNTA COLORADA
2024-07-10 14:50:00-03:00,7.48,CARGADERO DE PUNTA COLORADA
2024-07-10 21:09:00-03:00,1.8,CARGADERO DE PUNTA COLORADA
2024-07-11 03:22:00-03:00,7.44,CARGADERO DE PUNTA COLORADA
2024-07-11 09:25:00-03:00,2.19,CARGADERO DE PUNTA COLORADA
2024-07-11 15:26:00-03:00,7.4,CARGADERO DE PUNTA COLORADA
2024-07-11 21:43:00-03:00,1.88,CARGADERO DE PUNTA COLORADA
2024-07-12 03:57:00-03:00,7.34,CARGADERO DE PUNTA COLORADA
2024-07-12 10:00:00-03:00,2.27,CARGADERO DE PUNTA COLORADA
2024-07-12 16:02:00-03:00,7.3,CARGADERO DE PUNTA COLORADA
2024-07-12 22:17:00-03:00,1.97,CARGADERO DE PUNTA COLORADA
2024-07-13 04:31:00-03:00,7.24,CARGADERO DE PUNTA COLORADA
2024-07-13 10:37:00-03:00,2.37,CARGADERO DE PUNTA COLORADA
2024-07-13 16:40:00-03:00,7.15,CARGADERO DE PUNTA COLORADA
2024-07-13 22:53:00-03:00,2.08,CARGADERO DE PUNTA COLORADA
2024-07-14 05:09:00-03:00,7.14,CARGADERO DE PUNTA COLORADA
2024-07-14 11:19:00-03:00,2.51,CARGADERO DE PUNTA COLORADA
2024-07-14 17:23:00-03:00,6.93,CARGADERO DE PUNTA COLORADA
2024-07-14 23:35:00-03:00,2.23,CARGADERO DE PUNTA COLORADA
2024-07-15 05:53:00-03:00,7.04,CARGADERO DE PUNTA COLORADA
2024-07-15 12:08:00-03:00,2.66,CARGADERO DE PUNTA COLORADA
2024-07-15 18:13:00-03:00,6.68,CARGADERO DE PUNTA COLORADA
2024-07-16 00:24:00-03:00,2.38,CARGADERO DE PUNTA COLORADA
2024-07-16 06:45:00-03:00,6.98,CARGADERO DE PUNTA COLORADA
2024-07-16 13:07:00-03:00,2.76,CARGADERO DE PUNTA COLORADA
2024-07-16 19:13:00-03:00,6.5,CARGADERO DE PUNTA COLORADA
2024-07-17 01:21:00-03:00,2.49,CARGADERO DE PUNTA COLORADA
2024-07-17 07:43:00-03:00,7.0,CARGADERO DE PUNTA COLORADA
2024-07-17 14:13:00-03:00,2.72,CARGADERO DE PUNTA COLORADA
2024-07-17 20:20:00-03:00,6.47,CARGADERO DE PUNTA COLORADA
2024-07-18 02:24:00-03:00,2.5,CARGADERO DE PUNTA COLORADA
2024-07-18 08:44:00-03:00,7.1,CARGADERO DE PUNTA COLORADA
2024-07-18 15:17:00-03:00,2.52,CARGADERO DE PUNTA COLORADA
2024-07-18 21:25:00-03:00,6.64,CARGADERO DE PUNTA COLORADA
2024-07-19 03:26:00-03:00,2.41,CARGADERO DE PUNTA COLORADA
2024-07-19 09:40:00-03:00,7.26,CARGADERO DE PUNTA COLORADA
2024-07-19 16:13:00-03:00,2.22,CARGADERO DE PUNTA COLORADA
2024-07-19 22:22:00-03:00,6.93,CARGADERO DE PUNTA COLORADA
2024-07-20 04:23:00-03:00,2.27,CARGADERO DE PUNTA COLORADA
2024-07-20 10:31:00-03:00,7.44,CARGADERO DE PUNTA COLORADA
2024-07-20 17:02:00-03:00,1.9,CARGADERO DE PUNTA COLORADA
2024-07-20 23:14:00-03:00,7.27,CARGADERO DE PUNTA COLORADA
2024-07-21 05:16:00-03:00,2.12,CARGADERO DE PUNTA COLORADA
2024-07-21 11:20:00-03:00,7.6,CARGADERO DE PUNTA COLORADA
2024-07-21 17:49:00-03:00,1.59,CARGADERO DE PUNTA COLORADA
2024-07-22 00:04:00-03:00,7.59,CARGADERO DE PUNTA COLORADA
2024-07-22 06:07:00-03:00,1.97,CARGADERO DE PUNTA COLORADA
2024-07-22 12:08:00-03:00,7.76,CARGADERO DE PUNTA COLORADA
2024-07-22 18:35:00-03:00,1.3,CARGADERO DE PUNTA COLORADA
2024-07-23 00:52:00-03:00,7.89,CARGADERO DE PUNTA COLORADA
2024-07-23 06:56:00-03:00,1.81,CARGADERO DE PUNTA COLORADA
2024-07-23 12:56:00-03:00,7.94,CARGADERO DE PUNTA COLORADA
2024-07-23 19:22:00-03:00,1.04,CARGADERO DE PUNTA COLORADA
2024-07-24 01:40:00-03:00,8.14,CARGADERO DE PUNTA COLORADA
2024-07-24 07:45:00-03:00,1.62,CARGADERO DE PUNTA COLORADA
2024-07-24 13:45:00-03:00,8.15,CARGADERO DE PUNTA COLORADA
2024-07-24 20:08:00-03:00,0.84,CARGADERO DE PUNTA COLORADA
2024-07-25 02:27:00-03:00,8.33,CARGADERO DE PUNTA COLORADA
2024-07-25 08:32:00-03:00,1.43,CARGADERO DE PUNTA COLORADA
2024-07-25 14:33:00-03:00,8.33,CARGADERO DE PUNTA COLORADA
2024-07-25 20:55:00-03:00,0.73,CARGADERO DE PUNTA COLORADA
2024-07-26 03:13:00-03:00,8.44,CARGADERO DE PUNTA COLORADA
2024-07-26 09:19:00-03:00,1.29,CARGADERO DE PUNTA COLORADA
2024-07-26 15:23:00-03:00,8.42,CARGADERO DE PUNTA COLORADA
2024-07-26 21:41:00-03:00,0.76,CARGADERO DE PUNTA COLORADA
2024-07-27 03:59:00-03:00,8.43,CARGADERO DE PUNTA COLORADA
2024-07-27 10:06:00-03:00,1.24,CARGADERO DE PUNTA COLORADA
2024-07-27 16:13:00-03:00,8.34,CARGADERO DE PUNTA COLORADA
2024-07-27 22:29:00-03:00,0.97,CARGADERO DE PUNTA COLORADA
2024-07-28 04:46:00-03:00,8.29,CARGADERO DE PUNTA COLORADA
2024-07-28 10:56:00-03:00,1.33,CARGADERO DE PUNTA COLORADA
2024-07-28 17:06:00-03:00,8.09,CARGADERO DE PUNTA COLORADA
2024-07-28 23:19:00-03:00,1.34,CARGADERO DE PUNTA COLORADA
2024-07-29 05:37:00-03:00,8.04,CARGADERO DE PUNTA COLORADA
2024-07-29 11:51:00-03:00,1.55,CARGADERO DE PUNTA COLORADA
2024-07-29 18:05:00-03:00,7.7,CARGADERO DE PUNTA COLORADA
2024-07-30 00:15:00-03:00,1.78,CARGADERO DE PUNTA COLORADA
2024-07-30 06:34:00-03:00,7.75,CARGADERO DE PUNTA COLORADA
2024-07-30 12:56:00-03:00,1.81,CARGADERO DE PUNTA COLORADA
2024-07-30 19:12:00-03:00,7.33,CARGADERO DE PUNTA COLORADA
2024-07-31 01:21:00-03:00,2.17,CARGADERO DE PUNTA COLORADA
2024-07-31 07:40:00-03:00,7.53,CARGADERO DE PUNTA COLORADA
2024-07-31 14:13:00-03:00,1.97,CARGADERO DE PUNTA COLORADA
2024-07-31 20:28:00-03:00,7.14,CARGADERO DE PUNTA COLORADA
