datetime,height,port
2024-08-01 02:37:00-03:00,2.36,CARGADERO DE PUNTA COLORADA
2024-08-01 08:53:00-03:00,7.45,CARGADERO DE PUNTA COLORADA
2024-08-01 15:30:00-03:00,1.95,CARGADERO DE PUNTA COLORADA
2024-08-01 21:41:00-03:00,7.16,CARGADERO DE PUNTA COLORADA
2024-08-02 03:49:00-03:00,2.34,CARGADERO DE PUNTA COLORADA
2024-08-02 10:00:00-03:00,7.49,CARGADERO DE PUNTA COLORADA
2024-08-02 16:33:00-03:00,1.85,CARGADERO DE PUNTA COLORADA
2024-08-02 22:41:00-03:00,7.28,CARGADERO DE PUNTA COLORADA
2024-08-03 04:49:00-03:00,2.22,CARGADERO DE PUNTA COLORADA
2024-08-03 10:57:00-03:00,7.54,CARGADERO DE PUNTA COLORADA
2024-08-03 17:26:00-03:00,1.79,CARGADERO DE PUNTA COLORADA
2024-08-03 23:32:00-03:00,7.39,CARGADERO DE PUNTA COLORADA
2024-08-04 05:40:00-03:00,2.13,CARGADERO DE PUNTA COLORADA
2024-08-04 11:46:00-03:00,7.53,CARGADERO DE PUNTA COLORADA
2024-08-04 18:12:00-03:00,1.82,CARGADERO DE PUNTA COLORADA
2024-08-05 00:18:00-03:00,7.44,CARGADERO DE PUNTA COLORADA
2024-08-05 06:25:00-03:00,2.1,CARGADERO DE PUNTA COLORADA
2024-08-05 12:30:00-03:00,7.47,CARGADERO DE PUNTA COLORADA
2024-08-05 18:53:00-03:00,1.88,CARGADERO DE PUNTA COLORADA
2024-08-06 01:00:00-03:00,7.44,CARGADERO DE PUNTA COLORADA
2024-08-06 07:06:00-03:00,2.12,CARGADERO DE PUNTA COLORADA
2024-08-06 13:09:00-03:00,7.41,CARGADERO DE PUNTA COLORADA
2024-08-06 19:29:00-03:00,1.93,CARGADERO DE PUNTA COLORADA
2024-08-07 01:37:00-03:00,7.43,CARGADERO DE PUNTA COLORADA
2024-08-07 07:43:00-03:00,2.15,CARGADERO DE PUNTA COLORADA
2024-08-07 13:44:00-03:00,7.39,CARGADERO DE PUNTA COLORADA
2024-08-07 20:02:00-03:00,1.92,CARGADERO DE PUNTA COLORADA
2024-08-08 02:12:00-03:00,7.43,CARGADERO DE PUNTA COLORADA
2024-08-08 08:17:00-03:00,2.15,CARGADERO DE PUNTA COLORADA
2024-08-08 14:17:00-03:00,7.42,CARGADERO DE PUNTA COLORADA
2024-08-08 20:32:00-03:00,1.86,CARGADERO DE PUNTA COLORADA
2024-08-09 02:44:00-03:00,7.45,CARGADERO DE PUNTA COLORADA
2024-08-09 08:49:00-03:00,2.13,CARGADERO DE PUNTA COLORADA
2024-08-09 14:50:00-03:00,7.48,CARGADERO DE PUNTA COLORADA
2024-08-09 21:03:00-03:00,1.77,CARGADERO DE PUNTA COLORADA
2024-08-10 03:15:00-03:00,7.49,CARGADERO DE PUNTA COLORADA
2024-08-10 09:22:00-03:00,2.1,CARGADERO DE PUNTA COLORADA
2024-08-10 15:24:00-03:00,7.49,CARGADERO DE PUNTA COLORADA
2024-08-10 21:36:00-03:00,1.73,CARGADERO DE PUNTA COLORADA
2024-08-11 03:48:00-03:00,7.51,CARGADERO DE PUNTA COLORADA
2024-08-11 09:57:00-03:00,2.12,CARGADERO DE PUNTA COLORADA
2024-08-11 16:00:00-03:00,7.41,CARGADERO DE PUNTA COLORADA
2024-08-11 22:11:00-03:00,1.78,CARGADERO DE PUNTA COLORADA
2024-08-12 04:24:00-03:00,7.48,CARGADERO DE PUNTA COLORADA
2024-08-12 10:36:00-03:00,2.2,CARGADERO DE PUNTA COLORADA
2024-08-12 16:41:00-03:00,7.2,CARGADERO DE PUNTA COLORADA
2024-08-12 22:51:00-03:00,1.94,CARGADERO DE PUNTA COLORADA
2024-08-13 05:04:00-03:00,7.37,CARGADERO DE PUNTA COLORADA
2024-08-13 11:21:00-03:00,2.36,CARGADERO DE PUNTA COLORADA
2024-08-13 17:29:00-03:00,6.91,CARGADERO DE PUNTA COLORADA
2024-08-13 23:37:00-03:00,2.21,CARGADERO DE PUNTA COLORADA
2024-08-14 05:52:00-03:00,7.21,CARGADERO DE PUNTA COLORADA
2024-08-14 12:15:00-03:00,2.54,CARGADERO DE PUNTA COLORADA
2024-08-14 18:27:00-03:00,6.63,CARGADERO DE PUNTA COLORADA
2024-08-15 00:33:00-03:00,2.48,CARGADERO DE PUNTA COLORADA
2024-08-15 06:49:00-03:00,7.05,CARGADERO DE PUNTA COLORADA
2024-08-15 13:21:00-03:00,2.63,CARGADERO DE PUNTA COLORADA
2024-08-15 19:38:00-03:00,6.51,CARGADERO DE PUNTA COLORADA
2024-08-16 01:41:00-03:00,2.65,CARGADERO DE PUNTA COLORADA
2024-08-16 07:55:00-03:00,6.99,CARGADERO DE PUNTA COLORADA
2024-08-16 14:35:00-03:00,2.51,CARGADERO DE PUNTA COLORADA
