datetime,height,port
2024-09-01 04:40:00-03:00,2.47,CARGADERO DE PUNTA COLORADA
2024-09-01 10:48:00-03:00,7.13,CARGADERO DE PUNTA COLORADA
2024-09-01 17:14:00-03:00,2.19,CARGADERO DE PUNTA COLORADA
2024-09-01 23:18:00-03:00,7.15,CARGADERO DE PUNTA COLORADA
2024-09-02 05:28:00-03:00,2.31,CARGADERO DE PUNTA COLORADA
2024-09-02 11:33:00-03:00,7.18,CARGADERO DE PUNTA COLORADA
2024-09-02 17:55:00-03:00,2.19,CARGADERO DE PUNTA COLORADA
2024-09-02 23:59:00-03:00,7.24,CARGADERO DE PUNTA COLORADA
2024-09-03 06:07:00-03:00,2.23,CARGADERO DE PUNTA COLORADA
2024-09-03 12:11:00-03:00,7.19,CARGADERO DE PUNTA COLORADA
2024-09-03 18:28:00-03:00,2.18,CARGADERO DE PUNTA COLORADA
2024-09-04 00:33:00-03:00,7.29,CARGADERO DE PUNTA COLORADA
2024-09-04 06:41:00-03:00,2.21,CARGADERO DE PUNTA COLORADA
2024-09-04 12:43:00-03:00,7.21,CARGADERO DE PUNTA COLORADA
2024-09-04 18:57:00-03:00,2.14,CARGADERO DE PUNTA COLORADA
2024-09-05 01:05:00-03:00,7.34,CARGADERO DE PUNTA COLORADA
2024-09-05 07:12:00-03:00,2.2,CARGADERO DE PUNTA COLORADA
2024-09-05 13:12:00-03:00,7.27,CARGADERO DE PUNTA COLORADA
2024-09-05 19:24:00-03:00,2.02,CARGADERO DE PUNTA COLORADA
2024-09-06 01:34:00-03:00,7.42,CARGADERO DE PUNTA COLORADA
2024-09-06 07:42:00-03:00,2.16,CARGADERO DE PUNTA COLORADA
2024-09-06 13:42:00-03:00,7.38,CARGADERO DE PUNTA COLORADA
2024-09-06 19:53:00-03:00,1.85,CARGADERO DE PUNTA COLORADA
2024-09-07 02:04:00-03:00,7.52,CARGADERO DE PUNTA COLORADA
2024-09-07 08:12:00-03:00,2.07,CARGADERO DE PUNTA COLORADA
2024-09-07 14:14:00-03:00,7.5,CARGADERO DE PUNTA COLORADA
2024-09-07 20:24:00-03:00,1.7,CARGADERO DE PUNTA COLORADA
2024-09-08 02:35:00-03:00,7.63,CARGADERO DE PUNTA COLORADA
2024-09-08 08:45:00-03:00,1.97,CARGADERO DE PUNTA COLORADA
2024-09-08 14:49:00-03:00,7.57,CARGADERO DE PUNTA COLORADA
2024-09-08 20:58:00-03:00,1.63,CARGADERO DE PUNTA COLORADA
2024-09-09 03:08:00-03:00,7.71,CARGADERO DE PUNTA COLORADA
2024-09-09 09:20:00-03:00,1.91,CARGADERO DE PUNTA COLORADA
2024-09-09 15:27:00-03:00,7.52,CARGADERO DE PUNTA COLORADA
2024-09-09 21:34:00-03:00,1.69,CARGADERO DE PUNTA COLORADA
2024-09-10 03:43:00-03:00,7.69,CARGADERO DE PUNTA COLORADA
2024-09-10 09:58:00-03:00,1.94,CARGADERO DE PUNTA COLORADA
2024-09-10 16:08:00-03:00,7.35,CARGADERO DE PUNTA COLORADA
2024-09-10 22:14:00-03:00,1.9,CARGADERO DE PUNTA COLORADA
2024-09-11 04:23:00-03:00,7.57,CARGADERO DE PUNTA COLORADA
2024-09-11 10:41:00-03:00,2.07,CARGADERO DE PUNTA COLORADA
2024-09-11 16:56:00-03:00,7.07,CARGADERO DE PUNTA COLORADA
2024-09-11 23:00:00-03:00,2.21,CARGADERO DE PUNTA COLORADA
2024-09-12 05:08:00-03:00,7.35,CARGADERO DE PUNTA COLORADA
2024-09-12 11:32:00-03:00,2.27,CARGADERO DE PUNTA COLORADA
2024-09-12 17:52:00-03:00,6.79,CARGADERO DE PUNTA COLORADA
2024-09-12 23:55:00-03:00,2.55,CARGADERO DE PUNTA COLORADA
2024-09-13 06:04:00-03:00,7.09,CARGADERO DE PUNTA COLORADA
2024-09-13 12:35:00-03:00,2.43,CARGADERO DE PUNTA COLORADA
2024-09-13 19:02:00-03:00,6.64,CARGADERO DE PUNTA COLORADA
2024-09-14 01:06:00-03:00,2.75,CARGADERO DE PUNTA COLORADA
2024-09-14 07:12:00-03:00,6.93,CARGADERO DE PUNTA COLORADA
2024-09-14 13:52:00-03:00,2.42,CARGADERO DE PUNTA COLORADA
2024-09-14 20:20:00-03:00,6.79,CARGADERO DE PUNTA COLORADA
2024-09-15 02:26:00-03:00,2.67,CARGADERO DE PUNTA COLORADA
2024-09-15 08:29:00-03:00,7.0,CARGADERO DE PUNTA COLORADA
2024-09-15 15:08:00-03:00,2.13,CARGADERO DE PUNTA COLORADA
2024-09-15 21:29:00-03:00,7.22,CARGADERO DE PUNTA COLORADA
2024-09-16 03:38:00-03:00,2.29,CARGADERO DE PUNTA COLORADA
2024-09-16 09:39:00-03:00,7.33,CARGADERO DE PUNTA COLORADA
2024-09-16 16:09:00-03:00,1.68,CARGADERO DE PUNTA COLORADA
2024-09-16 22:26:00-03:00,7.76,CARGADERO DE PUNTA COLORADA
2024-09-17 04:37:00-03:00,1.8,CARGADERO DE PUNTA COLORADA
2024-09-17 10:38:00-03:00,7.77,CARGADERO DE PUNTA COLORADA
2024-09-17 17:02:00-03:00,1.21,CARGADERO DE PUNTA COLORADA
2024-09-17 23:17:00-03:00,8.26,CARGADERO DE PUNTA COLORADA
2024-09-18 05:29:00-03:00,1.32,CARGADERO DE PUNTA COLORADA
2024-09-18 11:30:00-03:00,8.22,CARGADERO DE PUNTA COLORADA
2024-09-18 17:51:00-03:00,0.81,CARGADERO DE PUNTA COLORADA
2024-09-19 00:05:00-03:00,8.67,CARGADERO DE PUNTA COLORADA
