datetime,height,port
2024-10-01 03:02:00-03:00,2.23,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-01 09:28:00-03:00,9.08,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-01 15:19:00-03:00,2.57,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-01 21:35:00-03:00,9.16,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-02 03:36:00-03:00,2.12,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-02 09:55:00-03:00,9.22,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-02 15:51:00-03:00,2.32,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-02 22:04:00-03:00,9.3,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-03 04:06:00-03:00,2.09,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-03 10:19:00-03:00,9.3,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-03 16:21:00-03:00,2.16,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-03 22:30:00-03:00,9.36,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-04 04:35:00-03:00,2.14,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-04 10:41:00-03:00,9.35,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-04 16:49:00-03:00,2.07,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-04 22:56:00-03:00,9.37,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-05 05:03:00-03:00,2.26,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-05 11:04:00-03:00,9.35,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-05 17:17:00-03:00,2.06,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-05 23:22:00-03:00,9.32,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-06 05:31:00-03:00,2.47,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-06 11:29:00-03:00,9.29,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-06 17:47:00-03:00,2.14,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-06 23:52:00-03:00,9.19,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-07 06:01:00-03:00,2.74,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-07 11:58:00-03:00,9.18,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-07 18:18:00-03:00,2.3,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-08 00:25:00-03:00,8.97,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-08 06:33:00-03:00,3.09,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-08 12:31:00-03:00,8.98,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-08 18:55:00-03:00,2.54,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-09 01:05:00-03:00,8.68,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-09 07:11:00-03:00,3.49,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-09 13:11:00-03:00,8.71,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-09 19:39:00-03:00,2.85,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-10 01:53:00-03:00,8.33,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-10 08:01:00-03:00,3.91,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-10 14:00:00-03:00,8.4,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-10 20:39:00-03:00,3.16,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-11 02:53:00-03:00,8.03,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-11 09:11:00-03:00,4.22,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-11 15:04:00-03:00,8.15,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-11 21:57:00-03:00,3.31,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-12 04:07:00-03:00,7.91,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-12 10:38:00-03:00,4.21,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-12 16:22:00-03:00,8.11,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-12 23:21:00-03:00,3.11,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-13 05:28:00-03:00,8.12,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-13 11:58:00-03:00,3.75,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-13 17:45:00-03:00,8.43,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-14 00:31:00-03:00,2.59,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-14 06:41:00-03:00,8.64,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-14 13:01:00-03:00,3.01,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-14 18:57:00-03:00,9.05,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-15 01:29:00-03:00,1.95,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-15 07:39:00-03:00,9.31,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-15 13:54:00-03:00,2.16,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-15 19:58:00-03:00,9.78,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-16 02:20:00-03:00,1.35,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-16 08:30:00-03:00,9.97,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-16 14:42:00-03:00,1.36,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-16 20:50:00-03:00,10.44,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-17 03:07:00-03:00,0.89,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-17 09:16:00-03:00,10.5,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-17 15:28:00-03:00,0.72,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-17 21:39:00-03:00,10.9,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-18 03:52:00-03:00,0.66,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-18 10:00:00-03:00,10.83,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-18 16:13:00-03:00,0.33,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-18 22:27:00-03:00,11.1,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-19 04:37:00-03:00,0.7,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-19 10:44:00-03:00,10.92,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-19 16:58:00-03:00,0.23,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-19 23:14:00-03:00,11.01,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-20 05:22:00-03:00,1.0,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-20 11:28:00-03:00,10.74,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-20 17:45:00-03:00,0.43,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-21 00:02:00-03:00,10.64,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-21 06:09:00-03:00,1.53,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-21 12:14:00-03:00,10.34,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-21 18:34:00-03:00,0.89,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-22 00:52:00-03:00,10.07,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-22 07:00:00-03:00,2.21,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-22 13:03:00-03:00,9.76,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-22 19:27:00-03:00,1.53,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-23 01:48:00-03:00,9.38,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-23 07:56:00-03:00,2.94,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-23 13:57:00-03:00,9.1,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-23 20:29:00-03:00,2.2,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-24 02:51:00-03:00,8.73,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-24 09:03:00-03:00,3.55,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-24 15:01:00-03:00,8.49,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-24 21:39:00-03:00,2.75,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-25 04:05:00-03:00,8.27,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-25 10:20:00-03:00,3.89,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-25 16:17:00-03:00,8.07,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-25 22:55:00-03:00,3.03,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-26 05:26:00-03:00,8.11,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-26 11:35:00-03:00,3.87,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-26 17:40:00-03:00,7.98,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-27 00:04:00-03:00,3.05,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-27 06:39:00-03:00,8.23,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-27 12:38:00-03:00,3.62,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-27 18:52:00-03:00,8.14,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-28 01:01:00-03:00,2.93,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-28 07:33:00-03:00,8.45,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-28 13:29:00-03:00,3.28,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-28 19:46:00-03:00,8.39,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-29 01:47:00-03:00,2.79,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-29 08:14:00-03:00,8.65,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-29 14:10:00-03:00,2.94,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-29 20:27:00-03:00,8.63,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-30 02:26:00-03:00,2.66,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-30 08:46:00-03:00,8.82,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-30 14:45:00-03:00,2.64,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-30 21:01:00-03:00,8.82,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-31 03:00:00-03:00,2.58,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-31 09:13:00-03:00,8.96,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-31 15:17:00-03:00,2.38,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-10-31 21:30:00-03:00,8.97,ESTRECHO DE MAGALLANES (Boca Oriental)
