datetime,height,port
2024-12-01 03:31:00-03:00,2.95,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-01 09:27:00-03:00,9.01,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-01 15:51:00-03:00,2.05,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-01 22:03:00-03:00,8.97,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-02 04:07:00-03:00,2.89,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-02 10:02:00-03:00,9.17,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-02 16:27:00-03:00,1.87,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-02 22:40:00-03:00,9.11,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-03 04:45:00-03:00,2.89,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-03 10:39:00-03:00,9.28,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-03 17:06:00-03:00,1.77,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-03 23:20:00-03:00,9.18,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-04 05:24:00-03:00,2.93,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-04 11:19:00-03:00,9.32,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-04 17:47:00-03:00,1.77,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-05 00:02:00-03:00,9.16,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-05 06:07:00-03:00,3.03,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-05 12:03:00-03:00,9.28,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-05 18:32:00-03:00,1.88,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-06 00:48:00-03:00,9.08,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-06 06:54:00-03:00,3.16,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-06 12:51:00-03:00,9.17,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-06 19:21:00-03:00,2.08,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-07 01:38:00-03:00,8.96,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-07 07:47:00-03:00,3.28,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-07 13:44:00-03:00,9.02,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-07 20:17:00-03:00,2.32,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-08 02:31:00-03:00,8.84,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-08 08:47:00-03:00,3.33,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-08 14:43:00-03:00,8.87,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-08 21:18:00-03:00,2.54,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-09 03:28:00-03:00,8.76,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-09 09:52:00-03:00,3.25,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-09 15:46:00-03:00,8.79,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-09 22:24:00-03:00,2.66,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-10 04:29:00-03:00,8.78,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-10 10:58:00-03:00,3.0,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-10 16:54:00-03:00,8.81,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-10 23:29:00-03:00,2.66,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-11 05:30:00-03:00,8.91,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-11 12:02:00-03:00,2.6,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-11 18:03:00-03:00,8.97,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-12 00:30:00-03:00,2.55,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-12 06:31:00-03:00,9.14,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-12 13:00:00-03:00,2.11,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-12 19:09:00-03:00,9.23,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-13 01:27:00-03:00,2.38,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-13 07:29:00-03:00,9.43,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-13 13:55:00-03:00,1.62,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-13 20:10:00-03:00,9.52,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-14 02:20:00-03:00,2.22,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-14 08:24:00-03:00,9.72,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-14 14:47:00-03:00,1.21,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-14 21:07:00-03:00,9.78,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-15 03:11:00-03:00,2.1,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-15 09:16:00-03:00,9.95,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-12-15 15:38:00-03:00,0.92,ESTRECHO DE MAGALLANES (Boca Oriental)
