datetime,height,port
2024-02-01 01:33:00-03:00,8.8,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-01 07:47:00-03:00,3.15,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-01 13:44:00-03:00,8.65,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-01 20:03:00-03:00,3.03,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-02 02:07:00-03:00,8.64,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-02 08:26:00-03:00,3.3,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-02 14:25:00-03:00,8.41,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-02 20:44:00-03:00,3.39,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-03 02:47:00-03:00,8.47,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-03 09:15:00-03:00,3.43,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-03 15:13:00-03:00,8.16,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-03 21:36:00-03:00,3.73,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-04 03:35:00-03:00,8.31,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-04 10:17:00-03:00,3.49,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-04 16:13:00-03:00,7.96,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-04 22:44:00-03:00,3.96,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-05 04:34:00-03:00,8.22,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-05 11:29:00-03:00,3.35,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-05 17:25:00-03:00,7.92,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-05 23:59:00-03:00,3.95,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-06 05:43:00-03:00,8.29,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-06 12:40:00-03:00,2.96,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-06 18:44:00-03:00,8.15,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-07 01:09:00-03:00,3.64,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-07 06:57:00-03:00,8.6,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-07 13:43:00-03:00,2.35,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-07 19:57:00-03:00,8.65,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-08 02:10:00-03:00,3.12,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-08 08:05:00-03:00,9.14,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-08 14:40:00-03:00,1.67,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-08 20:58:00-03:00,9.29,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-09 03:04:00-03:00,2.5,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-09 09:04:00-03:00,9.78,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-09 15:31:00-03:00,1.02,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-09 21:50:00-03:00,9.91,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-10 03:53:00-03:00,1.9,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-10 09:58:00-03:00,10.37,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-10 16:19:00-03:00,0.52,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-10 22:38:00-03:00,10.4,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-11 04:41:00-03:00,1.42,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-11 10:47:00-03:00,10.81,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-11 17:06:00-03:00,0.26,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-11 23:23:00-03:00,10.69,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-12 05:27:00-03:00,1.11,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-12 11:35:00-03:00,11.01,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-02-12 17:53:00-03:00,0.27,ESTRECHO DE MAGALLANES (Boca Oriental)
