datetime,height,port
2024-07-01 05:15:00-03:00,8.79,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-01 11:42:00-03:00,2.82,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-01 17:44:00-03:00,8.86,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-02 00:16:00-03:00,2.48,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-02 06:26:00-03:00,8.78,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-02 12:44:00-03:00,2.89,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-02 18:47:00-03:00,8.93,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-03 01:16:00-03:00,2.17,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-03 07:34:00-03:00,8.91,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-03 13:42:00-03:00,2.84,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-03 19:47:00-03:00,9.1,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-04 02:11:00-03:00,1.85,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-04 08:36:00-03:00,9.11,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-04 14:35:00-03:00,2.75,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-04 20:43:00-03:00,9.31,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-05 03:03:00-03:00,1.56,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-05 09:31:00-03:00,9.32,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-05 15:25:00-03:00,2.64,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-05 21:33:00-03:00,9.5,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-06 03:51:00-03:00,1.37,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-06 10:19:00-03:00,9.47,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-06 16:12:00-03:00,2.56,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-06 22:20:00-03:00,9.62,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-07 04:37:00-03:00,1.3,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-07 11:04:00-03:00,9.53,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-07 16:57:00-03:00,2.54,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-07 23:04:00-03:00,9.64,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-08 05:20:00-03:00,1.37,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-08 11:45:00-03:00,9.49,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-08 17:40:00-03:00,2.59,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-08 23:45:00-03:00,9.54,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-09 06:02:00-03:00,1.57,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-09 12:24:00-03:00,9.36,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-09 18:22:00-03:00,2.73,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-10 00:25:00-03:00,9.33,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-10 06:43:00-03:00,1.88,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-10 13:01:00-03:00,9.15,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-10 19:03:00-03:00,2.92,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-11 01:03:00-03:00,9.05,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-11 07:22:00-03:00,2.28,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-11 13:37:00-03:00,8.89,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-11 19:43:00-03:00,3.16,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-12 01:41:00-03:00,8.72,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-12 08:02:00-03:00,2.71,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-12 14:12:00-03:00,8.62,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-12 20:25:00-03:00,3.41,ESTRECHO DE MAGALLANES (Boca Oriental)
2024-07-13 02:19:00-03:00,8.38,ESTRECHO DE MAGALLANES (Boca Oriental)
