datetime,height,port
2024-10-01 05:12:00-03:00,2.21,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-01 11:12:00-03:00,7.03,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-01 17:35:00-03:00,1.76,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-01 23:41:00-03:00,7.1,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-02 05:56:00-03:00,1.99,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-02 11:54:00-03:00,7.18,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-02 18:15:00-03:00,1.65,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-03 00:17:00-03:00,7.25,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-03 06:34:00-03:00,1.81,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-03 12:29:00-03:00,7.29,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-03 18:51:00-03:00,1.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-04 00:48:00-03:00,7.35,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-04 07:08:00-03:00,1.68,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-04 13:01:00-03:00,7.36,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-04 19:23:00-03:00,1.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-05 01:17:00-03:00,7.43,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-05 07:39:00-03:00,1.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-05 13:32:00-03:00,7.39,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-05 19:53:00-03:00,1.64,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-06 01:46:00-03:00,7.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-06 08:10:00-03:00,1.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-06 14:03:00-03:00,7.38,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-06 20:23:00-03:00,1.71,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-07 02:16:00-03:00,7.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-07 08:42:00-03:00,1.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-07 14:36:00-03:00,7.33,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-07 20:54:00-03:00,1.82,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-08 02:49:00-03:00,7.51,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-08 09:16:00-03:00,1.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-08 15:12:00-03:00,7.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-08 21:30:00-03:00,1.95,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-09 03:26:00-03:00,7.42,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-09 09:55:00-03:00,1.7,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-09 15:54:00-03:00,7.06,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-09 22:11:00-03:00,2.13,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-10 04:09:00-03:00,7.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-10 10:41:00-03:00,1.85,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-10 16:43:00-03:00,6.86,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-10 23:00:00-03:00,2.33,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-11 05:02:00-03:00,7.07,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-11 11:36:00-03:00,2.01,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-11 17:42:00-03:00,6.68,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-11 23:59:00-03:00,2.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-12 06:05:00-03:00,6.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-12 12:39:00-03:00,2.1,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-12 18:52:00-03:00,6.62,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-13 01:09:00-03:00,2.53,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-13 07:18:00-03:00,6.87,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-13 13:50:00-03:00,2.04,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-13 20:06:00-03:00,6.78,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-14 02:22:00-03:00,2.35,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-14 08:31:00-03:00,7.05,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-14 14:59:00-03:00,1.8,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-14 21:14:00-03:00,7.13,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-15 03:31:00-03:00,1.98,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-15 09:37:00-03:00,7.4,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-15 16:02:00-03:00,1.43,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-15 22:12:00-03:00,7.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-16 04:31:00-03:00,1.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-16 10:35:00-03:00,7.83,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-16 16:57:00-03:00,1.02,FONDEADERO SAN ROMÁN (Golfo San José)
2024-10-16 23:04:00-03:00,8.06,FONDEADERO SAN ROMÁN (Golfo San José)
