datetime,height,port
2024-12-01 05:57:00-03:00,1.96,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-01 11:52:00-03:00,6.86,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-01 18:08:00-03:00,2.17,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-02 00:04:00-03:00,7.32,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-02 06:35:00-03:00,1.72,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-02 12:30:00-03:00,7.05,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-02 18:46:00-03:00,2.03,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-03 00:41:00-03:00,7.53,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-03 07:13:00-03:00,1.5,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-03 13:09:00-03:00,7.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-03 19:25:00-03:00,1.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-04 01:20:00-03:00,7.7,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-04 07:53:00-03:00,1.32,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-04 13:50:00-03:00,7.36,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-04 20:06:00-03:00,1.8,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-05 02:02:00-03:00,7.81,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-05 08:35:00-03:00,1.2,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-05 14:34:00-03:00,7.45,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-05 20:51:00-03:00,1.74,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-06 02:47:00-03:00,7.84,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-06 09:21:00-03:00,1.15,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-06 15:22:00-03:00,7.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-06 21:39:00-03:00,1.72,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-07 03:36:00-03:00,7.8,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-07 10:09:00-03:00,1.16,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-07 16:13:00-03:00,7.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-07 22:31:00-03:00,1.74,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-08 04:30:00-03:00,7.69,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-08 11:01:00-03:00,1.21,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-08 17:09:00-03:00,7.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-08 23:27:00-03:00,1.76,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-09 05:28:00-03:00,7.57,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-09 11:57:00-03:00,1.29,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-09 18:09:00-03:00,7.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-10 00:27:00-03:00,1.75,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-10 06:31:00-03:00,7.48,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-10 12:56:00-03:00,1.36,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-10 19:11:00-03:00,7.53,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-11 01:29:00-03:00,1.69,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-11 07:37:00-03:00,7.45,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-11 13:58:00-03:00,1.38,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-11 20:14:00-03:00,7.65,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-12 02:33:00-03:00,1.54,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-12 08:41:00-03:00,7.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-12 15:00:00-03:00,1.35,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-12 21:14:00-03:00,7.83,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-13 03:36:00-03:00,1.33,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-13 09:43:00-03:00,7.64,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-13 16:00:00-03:00,1.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-13 22:11:00-03:00,8.02,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-14 04:35:00-03:00,1.09,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-14 10:41:00-03:00,7.78,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-14 16:58:00-03:00,1.19,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-14 23:05:00-03:00,8.18,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-15 05:31:00-03:00,0.86,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-15 11:36:00-03:00,7.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-15 17:52:00-03:00,1.13,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-15 23:56:00-03:00,8.28,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-16 06:24:00-03:00,0.7,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-16 12:28:00-03:00,7.95,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-16 18:44:00-03:00,1.12,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-17 00:45:00-03:00,8.3,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-17 07:15:00-03:00,0.63,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-17 13:18:00-03:00,7.93,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-17 19:34:00-03:00,1.19,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-18 01:33:00-03:00,8.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-18 08:03:00-03:00,0.66,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-18 14:07:00-03:00,7.82,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-18 20:22:00-03:00,1.34,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-19 02:19:00-03:00,8.04,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-19 08:50:00-03:00,0.81,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-19 14:55:00-03:00,7.64,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-19 21:10:00-03:00,1.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-20 03:06:00-03:00,7.78,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-20 09:37:00-03:00,1.05,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-20 15:42:00-03:00,7.4,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-20 21:56:00-03:00,1.82,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-21 03:52:00-03:00,7.46,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-21 10:23:00-03:00,1.35,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-21 16:29:00-03:00,7.13,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-21 22:43:00-03:00,2.1,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-22 04:39:00-03:00,7.12,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-22 11:09:00-03:00,1.69,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-22 17:17:00-03:00,6.87,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-22 23:31:00-03:00,2.38,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-23 05:27:00-03:00,6.78,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-23 11:55:00-03:00,2.04,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-23 18:06:00-03:00,6.63,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-24 00:20:00-03:00,2.61,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-24 06:18:00-03:00,6.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-24 12:43:00-03:00,2.34,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-24 18:56:00-03:00,6.46,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-25 01:11:00-03:00,2.77,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-25 07:11:00-03:00,6.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-25 13:32:00-03:00,2.59,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-25 19:45:00-03:00,6.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-26 02:04:00-03:00,2.84,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-26 08:05:00-03:00,6.15,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-26 14:22:00-03:00,2.74,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-26 20:34:00-03:00,6.38,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-27 02:58:00-03:00,2.79,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-27 08:58:00-03:00,6.14,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-27 15:13:00-03:00,2.79,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-27 21:22:00-03:00,6.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-28 03:50:00-03:00,2.65,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-28 09:49:00-03:00,6.23,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-28 16:03:00-03:00,2.73,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-28 22:07:00-03:00,6.68,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-29 04:39:00-03:00,2.41,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-29 10:36:00-03:00,6.42,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-29 16:51:00-03:00,2.58,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-29 22:51:00-03:00,6.94,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-30 05:25:00-03:00,2.11,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-30 11:22:00-03:00,6.67,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-30 17:37:00-03:00,2.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-30 23:35:00-03:00,7.23,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-31 06:09:00-03:00,1.78,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-31 12:06:00-03:00,6.96,FONDEADERO SAN ROMÁN (Golfo San José)
2024-12-31 18:22:00-03:00,2.11,FONDEADERO SAN ROMÁN (Golfo San José)
