datetime,height,port
2024-02-01 03:55:00-03:00,7.08,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-01 10:23:00-03:00,1.88,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-01 16:20:00-03:00,6.97,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-01 22:41:00-03:00,2.21,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-02 04:33:00-03:00,6.93,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-02 10:58:00-03:00,2.05,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-02 16:59:00-03:00,6.91,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-02 23:20:00-03:00,2.3,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-03 05:16:00-03:00,6.76,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-03 11:38:00-03:00,2.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-03 17:43:00-03:00,6.84,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-04 00:07:00-03:00,2.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-04 06:06:00-03:00,6.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-04 12:26:00-03:00,2.39,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-04 18:35:00-03:00,6.78,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-05 01:01:00-03:00,2.42,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-05 07:06:00-03:00,6.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-05 13:22:00-03:00,2.51,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-05 19:35:00-03:00,6.78,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-06 02:04:00-03:00,2.38,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-06 08:12:00-03:00,6.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-06 14:26:00-03:00,2.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-06 20:40:00-03:00,6.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-07 03:11:00-03:00,2.2,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-07 09:20:00-03:00,6.63,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-07 15:35:00-03:00,2.38,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-07 21:45:00-03:00,7.16,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-08 04:17:00-03:00,1.86,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-08 10:24:00-03:00,6.95,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-08 16:39:00-03:00,2.07,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-08 22:44:00-03:00,7.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-09 05:16:00-03:00,1.43,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-09 11:21:00-03:00,7.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-09 17:37:00-03:00,1.67,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-09 23:39:00-03:00,7.93,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-10 06:10:00-03:00,0.98,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-10 12:13:00-03:00,7.79,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-10 18:30:00-03:00,1.26,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-11 00:30:00-03:00,8.3,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-11 06:59:00-03:00,0.59,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-11 13:02:00-03:00,8.17,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-11 19:19:00-03:00,0.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-12 01:18:00-03:00,8.58,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-12 07:46:00-03:00,0.31,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-12 13:48:00-03:00,8.44,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-12 20:06:00-03:00,0.65,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-13 02:05:00-03:00,8.72,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-13 08:32:00-03:00,0.19,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-13 14:34:00-03:00,8.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-13 20:53:00-03:00,0.55,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-14 02:52:00-03:00,8.7,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-14 09:17:00-03:00,0.24,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-14 15:20:00-03:00,8.53,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-14 21:39:00-03:00,0.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-15 03:40:00-03:00,8.51,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-15 10:03:00-03:00,0.46,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-15 16:07:00-03:00,8.35,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-15 22:27:00-03:00,0.8,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-16 04:29:00-03:00,8.18,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-16 10:51:00-03:00,0.82,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-16 16:57:00-03:00,8.05,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-16 23:18:00-03:00,1.12,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-17 05:22:00-03:00,7.75,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-17 11:42:00-03:00,1.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-17 17:50:00-03:00,7.67,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-18 00:13:00-03:00,1.48,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-18 06:20:00-03:00,7.29,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-18 12:38:00-03:00,1.75,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-18 18:50:00-03:00,7.3,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-19 01:15:00-03:00,1.83,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-19 07:26:00-03:00,6.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-19 13:42:00-03:00,2.16,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-19 19:56:00-03:00,7.01,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-20 02:23:00-03:00,2.05,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-20 08:38:00-03:00,6.66,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-20 14:52:00-03:00,2.41,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-20 21:05:00-03:00,6.88,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-21 03:35:00-03:00,2.09,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-21 09:49:00-03:00,6.63,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-21 16:02:00-03:00,2.46,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-21 22:10:00-03:00,6.91,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-22 04:40:00-03:00,1.97,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-22 10:52:00-03:00,6.74,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-22 17:05:00-03:00,2.35,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-22 23:07:00-03:00,7.03,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-23 05:36:00-03:00,1.79,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-23 11:45:00-03:00,6.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-23 17:57:00-03:00,2.19,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-23 23:56:00-03:00,7.17,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-24 06:23:00-03:00,1.62,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-24 12:28:00-03:00,7.05,FONDEADERO SAN ROMÁN (Golfo San José)
2024-02-24 18:41:00-03:00,2.03,FONDEADERO SAN ROMÁN (Golfo San José)
