datetime,height,port
2024-03-01 03:21:00-03:00,7.34,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-01 09:44:00-03:00,1.71,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-01 15:40:00-03:00,7.35,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-01 22:03:00-03:00,1.81,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-02 03:58:00-03:00,7.21,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-02 10:19:00-03:00,1.87,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-02 16:19:00-03:00,7.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-02 22:43:00-03:00,1.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-03 04:41:00-03:00,7.03,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-03 11:00:00-03:00,2.06,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-03 17:03:00-03:00,7.14,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-03 23:30:00-03:00,2.04,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-04 05:32:00-03:00,6.8,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-04 11:50:00-03:00,2.28,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-04 17:57:00-03:00,6.99,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-05 00:27:00-03:00,2.17,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-05 06:34:00-03:00,6.61,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-05 12:50:00-03:00,2.46,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-05 19:02:00-03:00,6.88,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-06 01:33:00-03:00,2.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-06 07:45:00-03:00,6.55,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-06 14:01:00-03:00,2.51,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-06 20:14:00-03:00,6.92,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-07 02:46:00-03:00,2.09,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-07 08:59:00-03:00,6.72,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-07 15:15:00-03:00,2.34,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-07 21:24:00-03:00,7.17,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-08 03:56:00-03:00,1.76,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-08 10:06:00-03:00,7.09,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-08 16:23:00-03:00,1.96,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-08 22:28:00-03:00,7.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-09 04:57:00-03:00,1.31,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-09 11:04:00-03:00,7.57,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-09 17:21:00-03:00,1.48,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-09 23:24:00-03:00,8.01,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-10 05:51:00-03:00,0.85,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-10 11:56:00-03:00,8.04,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-10 18:14:00-03:00,1.01,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-11 00:14:00-03:00,8.4,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-11 06:40:00-03:00,0.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-11 12:43:00-03:00,8.42,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-11 19:02:00-03:00,0.62,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-12 01:02:00-03:00,8.68,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-12 07:26:00-03:00,0.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-12 13:28:00-03:00,8.67,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-12 19:48:00-03:00,0.38,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-13 01:47:00-03:00,8.8,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-13 08:10:00-03:00,0.16,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-13 14:12:00-03:00,8.75,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-13 20:32:00-03:00,0.32,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-14 02:33:00-03:00,8.72,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-14 08:55:00-03:00,0.29,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-14 14:56:00-03:00,8.64,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-14 21:18:00-03:00,0.45,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-15 03:18:00-03:00,8.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-15 09:39:00-03:00,0.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-15 15:41:00-03:00,8.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-15 22:04:00-03:00,0.73,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-16 04:06:00-03:00,8.06,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-16 10:26:00-03:00,1.04,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-16 16:28:00-03:00,7.96,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-16 22:53:00-03:00,1.13,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-17 04:57:00-03:00,7.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-17 11:16:00-03:00,1.57,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-17 17:20:00-03:00,7.48,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-17 23:47:00-03:00,1.59,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-18 05:55:00-03:00,7.04,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-18 12:12:00-03:00,2.1,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-18 18:19:00-03:00,7.02,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-19 00:48:00-03:00,2.01,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-19 07:02:00-03:00,6.62,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-19 13:17:00-03:00,2.54,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-19 19:28:00-03:00,6.67,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-20 01:58:00-03:00,2.28,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-20 08:18:00-03:00,6.39,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-20 14:30:00-03:00,2.76,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-20 20:42:00-03:00,6.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-21 03:11:00-03:00,2.34,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-21 09:31:00-03:00,6.41,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-21 15:43:00-03:00,2.75,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-21 21:49:00-03:00,6.58,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-22 04:17:00-03:00,2.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-22 10:32:00-03:00,6.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-22 16:44:00-03:00,2.57,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-22 22:45:00-03:00,6.74,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-23 05:11:00-03:00,2.03,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-23 11:20:00-03:00,6.77,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-23 17:33:00-03:00,2.34,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-23 23:30:00-03:00,6.94,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-24 05:55:00-03:00,1.85,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-24 11:59:00-03:00,6.97,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-24 18:13:00-03:00,2.11,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-25 00:08:00-03:00,7.12,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-25 06:32:00-03:00,1.71,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-25 12:31:00-03:00,7.15,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-25 18:48:00-03:00,1.91,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-26 00:41:00-03:00,7.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-26 07:05:00-03:00,1.62,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-26 13:01:00-03:00,7.31,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-26 19:20:00-03:00,1.74,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-27 01:12:00-03:00,7.4,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-27 07:35:00-03:00,1.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-27 13:29:00-03:00,7.46,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-27 19:51:00-03:00,1.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-28 01:43:00-03:00,7.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-28 08:05:00-03:00,1.54,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-28 13:59:00-03:00,7.58,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-28 20:22:00-03:00,1.5,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-29 02:16:00-03:00,7.53,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-29 08:36:00-03:00,1.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-29 14:31:00-03:00,7.65,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-29 20:56:00-03:00,1.45,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-30 02:51:00-03:00,7.5,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-30 09:10:00-03:00,1.63,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-30 15:07:00-03:00,7.65,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-30 21:33:00-03:00,1.48,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-31 03:30:00-03:00,7.39,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-31 09:48:00-03:00,1.77,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-31 15:47:00-03:00,7.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-03-31 22:15:00-03:00,1.59,FONDEADERO SAN ROMÁN (Golfo San José)
