datetime,height,port
2024-05-01 04:53:00-03:00,7.19,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-01 11:11:00-03:00,2.03,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-01 17:13:00-03:00,7.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-01 23:47:00-03:00,1.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-02 05:57:00-03:00,7.06,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-02 12:15:00-03:00,2.14,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-02 18:20:00-03:00,7.23,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-03 00:52:00-03:00,1.66,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-03 07:07:00-03:00,7.08,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-03 13:24:00-03:00,2.11,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-03 19:32:00-03:00,7.23,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-04 02:00:00-03:00,1.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-04 08:17:00-03:00,7.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-04 14:34:00-03:00,1.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-04 20:42:00-03:00,7.41,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-05 03:06:00-03:00,1.4,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-05 09:21:00-03:00,7.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-05 15:39:00-03:00,1.55,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-05 21:45:00-03:00,7.7,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-06 04:06:00-03:00,1.13,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-06 10:17:00-03:00,7.96,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-06 16:37:00-03:00,1.15,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-06 22:41:00-03:00,8.0,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-07 05:01:00-03:00,0.87,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-07 11:09:00-03:00,8.29,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-07 17:30:00-03:00,0.79,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-07 23:33:00-03:00,8.24,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-08 05:52:00-03:00,0.69,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-08 11:57:00-03:00,8.51,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-08 18:20:00-03:00,0.53,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-09 00:22:00-03:00,8.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-09 06:40:00-03:00,0.64,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-09 12:42:00-03:00,8.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-09 19:07:00-03:00,0.42,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-10 01:09:00-03:00,8.35,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-10 07:27:00-03:00,0.72,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-10 13:27:00-03:00,8.53,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-10 19:53:00-03:00,0.46,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-11 01:55:00-03:00,8.19,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-11 08:12:00-03:00,0.94,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-11 14:11:00-03:00,8.32,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-11 20:39:00-03:00,0.65,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-12 02:41:00-03:00,7.91,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-12 08:58:00-03:00,1.28,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-12 14:56:00-03:00,7.99,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-12 21:26:00-03:00,0.96,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-13 03:29:00-03:00,7.54,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-13 09:45:00-03:00,1.69,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-13 15:42:00-03:00,7.58,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-13 22:14:00-03:00,1.34,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-14 04:19:00-03:00,7.13,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-14 10:35:00-03:00,2.12,FONDEADERO SAN ROMÁN (Golfo San José)
2024-05-14 16:31:00-03:00,7.14,FONDEADERO SAN ROMÁN (Golfo San José)
