datetime,height,port
2024-07-01 01:03:00-03:00,1.24,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-01 07:18:00-03:00,7.7,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-01 13:37:00-03:00,1.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-01 19:45:00-03:00,7.48,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-02 02:04:00-03:00,1.41,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-02 08:20:00-03:00,7.68,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-02 14:41:00-03:00,1.51,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-02 20:50:00-03:00,7.41,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-03 03:07:00-03:00,1.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-03 09:21:00-03:00,7.71,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-03 15:45:00-03:00,1.42,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-03 21:53:00-03:00,7.42,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-04 04:09:00-03:00,1.55,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-04 10:19:00-03:00,7.78,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-04 16:46:00-03:00,1.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-04 22:53:00-03:00,7.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-05 05:09:00-03:00,1.54,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-05 11:14:00-03:00,7.85,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-05 17:43:00-03:00,1.12,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-05 23:49:00-03:00,7.54,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-06 06:04:00-03:00,1.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-06 12:06:00-03:00,7.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-06 18:36:00-03:00,1.0,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-07 00:40:00-03:00,7.57,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-07 06:55:00-03:00,1.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-07 12:54:00-03:00,7.89,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-07 19:24:00-03:00,0.96,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-08 01:28:00-03:00,7.55,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-08 07:43:00-03:00,1.58,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-08 13:39:00-03:00,7.81,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-08 20:10:00-03:00,1.01,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-09 02:13:00-03:00,7.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-09 08:27:00-03:00,1.69,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-09 14:22:00-03:00,7.67,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-09 20:53:00-03:00,1.15,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-10 02:56:00-03:00,7.33,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-10 09:09:00-03:00,1.85,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-10 15:03:00-03:00,7.46,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-10 21:33:00-03:00,1.36,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-11 03:35:00-03:00,7.15,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-11 09:50:00-03:00,2.05,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-11 15:42:00-03:00,7.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-11 22:12:00-03:00,1.63,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-12 04:14:00-03:00,6.95,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-12 10:29:00-03:00,2.26,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-12 16:20:00-03:00,6.96,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-12 22:50:00-03:00,1.91,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-13 04:52:00-03:00,6.76,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-13 11:09:00-03:00,2.45,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-13 17:00:00-03:00,6.7,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-13 23:28:00-03:00,2.19,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-14 05:31:00-03:00,6.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-14 11:50:00-03:00,2.62,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-14 17:43:00-03:00,6.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-15 00:08:00-03:00,2.44,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-15 06:14:00-03:00,6.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-15 12:35:00-03:00,2.73,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-15 18:31:00-03:00,6.29,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-16 00:52:00-03:00,2.63,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-16 07:01:00-03:00,6.44,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-16 13:25:00-03:00,2.77,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-16 19:25:00-03:00,6.19,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-17 01:42:00-03:00,2.74,FONDEADERO SAN ROMÁN (Golfo San José)
2024-07-17 07:55:00-03:00,6.48,FONDEADERO SAN ROMÁN (Golfo San José)
