datetime,height,port
2024-08-01 02:41:00-03:00,1.9,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-01 08:55:00-03:00,7.36,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-01 15:22:00-03:00,1.72,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-01 21:34:00-03:00,7.03,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-02 03:49:00-03:00,2.0,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-02 09:59:00-03:00,7.36,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-02 16:29:00-03:00,1.62,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-02 22:39:00-03:00,7.09,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-03 04:53:00-03:00,1.97,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-03 10:59:00-03:00,7.45,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-03 17:29:00-03:00,1.44,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-03 23:37:00-03:00,7.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-04 05:51:00-03:00,1.86,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-04 11:52:00-03:00,7.56,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-04 18:22:00-03:00,1.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-05 00:28:00-03:00,7.34,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-05 06:41:00-03:00,1.75,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-05 12:40:00-03:00,7.64,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-05 19:09:00-03:00,1.16,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-06 01:13:00-03:00,7.42,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-06 07:26:00-03:00,1.68,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-06 13:23:00-03:00,7.66,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-06 19:51:00-03:00,1.14,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-07 01:53:00-03:00,7.43,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-07 08:07:00-03:00,1.69,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-07 14:01:00-03:00,7.61,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-07 20:29:00-03:00,1.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-08 02:29:00-03:00,7.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-08 08:44:00-03:00,1.75,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-08 14:37:00-03:00,7.49,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-08 21:04:00-03:00,1.38,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-09 03:02:00-03:00,7.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-09 09:19:00-03:00,1.86,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-09 15:10:00-03:00,7.33,FONDEADERO SAN ROMÁN (Golfo San José)
2024-08-09 21:37:00-03:00,1.59,FONDEADERO SAN ROMÁN (Golfo San José)
