datetime,height,port
2024-09-01 04:39:00-03:00,2.26,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-01 10:44:00-03:00,7.12,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-01 17:12:00-03:00,1.69,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-01 23:22:00-03:00,7.04,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-02 05:35:00-03:00,2.06,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-02 11:36:00-03:00,7.29,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-02 18:03:00-03:00,1.5,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-03 00:10:00-03:00,7.22,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-03 06:23:00-03:00,1.87,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-03 12:21:00-03:00,7.43,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-03 18:46:00-03:00,1.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-04 00:50:00-03:00,7.35,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-04 07:04:00-03:00,1.73,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-04 13:00:00-03:00,7.51,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-04 19:24:00-03:00,1.32,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-05 01:24:00-03:00,7.41,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-05 07:40:00-03:00,1.66,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-05 13:34:00-03:00,7.52,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-05 19:58:00-03:00,1.37,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-06 01:55:00-03:00,7.42,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-06 08:13:00-03:00,1.65,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-06 14:06:00-03:00,7.48,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-06 20:30:00-03:00,1.47,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-07 02:24:00-03:00,7.4,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-07 08:45:00-03:00,1.68,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-07 14:36:00-03:00,7.4,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-07 21:00:00-03:00,1.62,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-08 02:53:00-03:00,7.36,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-08 09:16:00-03:00,1.75,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-08 15:08:00-03:00,7.27,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-08 21:30:00-03:00,1.8,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-09 03:24:00-03:00,7.29,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-09 09:48:00-03:00,1.85,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-09 15:42:00-03:00,7.11,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-09 22:02:00-03:00,1.99,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-10 03:58:00-03:00,7.18,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-10 10:25:00-03:00,1.98,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-10 16:20:00-03:00,6.91,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-10 22:39:00-03:00,2.21,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-11 04:39:00-03:00,7.03,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-11 11:07:00-03:00,2.14,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-11 17:07:00-03:00,6.68,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-11 23:24:00-03:00,2.44,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-12 05:28:00-03:00,6.85,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-12 11:59:00-03:00,2.3,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-12 18:04:00-03:00,6.46,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-13 00:20:00-03:00,2.64,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-13 06:28:00-03:00,6.7,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-13 13:02:00-03:00,2.39,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-13 19:13:00-03:00,6.36,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-14 01:28:00-03:00,2.73,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-14 07:40:00-03:00,6.68,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-14 14:14:00-03:00,2.33,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-14 20:28:00-03:00,6.48,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-15 02:43:00-03:00,2.6,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-15 08:54:00-03:00,6.88,FONDEADERO SAN ROMÁN (Golfo San José)
2024-09-15 15:26:00-03:00,2.05,FONDEADERO SAN ROMÁN (Golfo San José)
