datetime,height,port
2024-10-01 02:04:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-10-01 08:24:00-03:00,0.95,ISLA MARTÍN GARCÍA
2024-10-01 16:44:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-10-01 22:06:00-03:00,0.58,ISLA MARTÍN GARCÍA
2024-10-02 02:59:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-10-02 09:05:00-03:00,0.93,ISLA MARTÍN GARCÍA
2024-10-02 17:24:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-10-02 22:40:00-03:00,0.6,ISLA MARTÍN GARCÍA
2024-10-03 03:47:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-10-03 09:41:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-10-03 16:51:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-10-03 22:04:00-03:00,0.63,ISLA MARTÍN GARCÍA
2024-10-04 04:31:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-10-04 10:18:00-03:00,0.89,ISLA MARTÍN GARCÍA
2024-10-04 17:12:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-10-04 22:38:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-10-05 05:12:00-03:00,0.41,ISLA MARTÍN GARCÍA
2024-10-05 10:54:00-03:00,0.86,ISLA MARTÍN GARCÍA
2024-10-05 17:41:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-10-05 23:11:00-03:00,0.69,ISLA MARTÍN GARCÍA
2024-10-06 05:54:00-03:00,0.45,ISLA MARTÍN GARCÍA
2024-10-06 11:31:00-03:00,0.84,ISLA MARTÍN GARCÍA
2024-10-06 18:00:00-03:00,0.43,ISLA MARTÍN GARCÍA
2024-10-06 23:12:00-03:00,0.74,ISLA MARTÍN GARCÍA
2024-10-07 06:39:00-03:00,0.48,ISLA MARTÍN GARCÍA
2024-10-07 12:00:00-03:00,0.8,ISLA MARTÍN GARCÍA
2024-10-07 18:13:00-03:00,0.45,ISLA MARTÍN GARCÍA
2024-10-07 23:36:00-03:00,0.79,ISLA MARTÍN GARCÍA
2024-10-08 07:27:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-10-08 12:02:00-03:00,0.77,ISLA MARTÍN GARCÍA
2024-10-08 18:47:00-03:00,0.47,ISLA MARTÍN GARCÍA
