datetime,height,port
2024-11-01 03:15:00-03:00,0.43,ISLA MARTÍN GARCÍA
2024-11-01 09:06:00-03:00,0.93,ISLA MARTÍN GARCÍA
2024-11-01 15:58:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-11-01 21:34:00-03:00,0.69,ISLA MARTÍN GARCÍA
2024-11-02 03:55:00-03:00,0.47,ISLA MARTÍN GARCÍA
2024-11-02 09:43:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-11-02 16:24:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-11-02 22:07:00-03:00,0.74,ISLA MARTÍN GARCÍA
2024-11-03 04:31:00-03:00,0.5,ISLA MARTÍN GARCÍA
2024-11-03 10:19:00-03:00,0.89,ISLA MARTÍN GARCÍA
2024-11-03 16:43:00-03:00,0.44,ISLA MARTÍN GARCÍA
2024-11-03 22:38:00-03:00,0.8,ISLA MARTÍN GARCÍA
2024-11-04 04:58:00-03:00,0.54,ISLA MARTÍN GARCÍA
2024-11-04 10:48:00-03:00,0.87,ISLA MARTÍN GARCÍA
2024-11-04 16:59:00-03:00,0.47,ISLA MARTÍN GARCÍA
2024-11-04 22:45:00-03:00,0.86,ISLA MARTÍN GARCÍA
2024-11-05 05:38:00-03:00,0.57,ISLA MARTÍN GARCÍA
2024-11-05 10:50:00-03:00,0.84,ISLA MARTÍN GARCÍA
2024-11-05 17:30:00-03:00,0.5,ISLA MARTÍN GARCÍA
2024-11-05 23:12:00-03:00,0.93,ISLA MARTÍN GARCÍA
2024-11-06 06:49:00-03:00,0.58,ISLA MARTÍN GARCÍA
2024-11-06 11:20:00-03:00,0.81,ISLA MARTÍN GARCÍA
2024-11-06 18:06:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-11-06 23:54:00-03:00,1.0,ISLA MARTÍN GARCÍA
2024-11-07 07:50:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-11-07 11:57:00-03:00,0.77,ISLA MARTÍN GARCÍA
2024-11-07 18:43:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-11-08 00:43:00-03:00,1.05,ISLA MARTÍN GARCÍA
2024-11-08 08:43:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-11-08 12:36:00-03:00,0.73,ISLA MARTÍN GARCÍA
2024-11-08 19:17:00-03:00,0.51,ISLA MARTÍN GARCÍA
2024-11-09 01:43:00-03:00,1.1,ISLA MARTÍN GARCÍA
2024-11-09 09:33:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-11-09 13:18:00-03:00,0.69,ISLA MARTÍN GARCÍA
2024-11-09 19:51:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-11-10 03:13:00-03:00,1.14,ISLA MARTÍN GARCÍA
2024-11-10 10:26:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-11-10 14:07:00-03:00,0.67,ISLA MARTÍN GARCÍA
2024-11-10 20:42:00-03:00,0.45,ISLA MARTÍN GARCÍA
2024-11-11 04:19:00-03:00,1.17,ISLA MARTÍN GARCÍA
2024-11-11 11:24:00-03:00,0.6,ISLA MARTÍN GARCÍA
2024-11-11 15:05:00-03:00,0.65,ISLA MARTÍN GARCÍA
2024-11-11 21:43:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-11-12 05:19:00-03:00,1.19,ISLA MARTÍN GARCÍA
2024-11-12 12:27:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-11-12 16:04:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-11-12 22:46:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-11-13 06:21:00-03:00,1.19,ISLA MARTÍN GARCÍA
2024-11-13 13:25:00-03:00,0.57,ISLA MARTÍN GARCÍA
2024-11-13 17:03:00-03:00,0.7,ISLA MARTÍN GARCÍA
2024-11-13 23:56:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-11-14 07:22:00-03:00,1.18,ISLA MARTÍN GARCÍA
2024-11-14 14:14:00-03:00,0.55,ISLA MARTÍN GARCÍA
2024-11-14 18:05:00-03:00,0.77,ISLA MARTÍN GARCÍA
2024-11-15 01:40:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-11-15 08:18:00-03:00,1.16,ISLA MARTÍN GARCÍA
2024-11-15 14:57:00-03:00,0.53,ISLA MARTÍN GARCÍA
2024-11-15 20:13:00-03:00,0.86,ISLA MARTÍN GARCÍA
2024-11-16 03:01:00-03:00,0.35,ISLA MARTÍN GARCÍA
2024-11-16 09:08:00-03:00,1.11,ISLA MARTÍN GARCÍA
2024-11-16 15:38:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-11-16 21:08:00-03:00,0.97,ISLA MARTÍN GARCÍA
2024-11-17 04:03:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-11-17 09:55:00-03:00,1.04,ISLA MARTÍN GARCÍA
2024-11-17 16:17:00-03:00,0.51,ISLA MARTÍN GARCÍA
2024-11-17 21:58:00-03:00,1.07,ISLA MARTÍN GARCÍA
2024-11-18 05:04:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-11-18 10:39:00-03:00,0.95,ISLA MARTÍN GARCÍA
2024-11-18 16:56:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-11-18 22:49:00-03:00,1.14,ISLA MARTÍN GARCÍA
2024-11-19 06:07:00-03:00,0.45,ISLA MARTÍN GARCÍA
2024-11-19 11:25:00-03:00,0.86,ISLA MARTÍN GARCÍA
2024-11-19 17:39:00-03:00,0.48,ISLA MARTÍN GARCÍA
2024-11-19 23:45:00-03:00,1.17,ISLA MARTÍN GARCÍA
2024-11-20 07:11:00-03:00,0.5,ISLA MARTÍN GARCÍA
2024-11-20 12:13:00-03:00,0.77,ISLA MARTÍN GARCÍA
2024-11-20 18:32:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-11-21 00:48:00-03:00,1.17,ISLA MARTÍN GARCÍA
2024-11-21 08:15:00-03:00,0.53,ISLA MARTÍN GARCÍA
2024-11-21 13:10:00-03:00,0.7,ISLA MARTÍN GARCÍA
2024-11-21 19:31:00-03:00,0.43,ISLA MARTÍN GARCÍA
