datetime,height,port
2024-12-01 03:19:00-03:00,0.53,ISLA MARTÍN GARCÍA
2024-12-01 09:13:00-03:00,0.93,ISLA MARTÍN GARCÍA
2024-12-01 15:42:00-03:00,0.45,ISLA MARTÍN GARCÍA
2024-12-01 21:37:00-03:00,0.83,ISLA MARTÍN GARCÍA
2024-12-02 03:50:00-03:00,0.56,ISLA MARTÍN GARCÍA
2024-12-02 09:50:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-12-02 16:02:00-03:00,0.48,ISLA MARTÍN GARCÍA
2024-12-02 22:09:00-03:00,0.9,ISLA MARTÍN GARCÍA
2024-12-03 04:22:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-12-03 10:15:00-03:00,0.89,ISLA MARTÍN GARCÍA
2024-12-03 16:27:00-03:00,0.5,ISLA MARTÍN GARCÍA
2024-12-03 22:31:00-03:00,0.98,ISLA MARTÍN GARCÍA
2024-12-04 05:09:00-03:00,0.62,ISLA MARTÍN GARCÍA
2024-12-04 10:15:00-03:00,0.86,ISLA MARTÍN GARCÍA
2024-12-04 17:00:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-12-04 22:58:00-03:00,1.05,ISLA MARTÍN GARCÍA
2024-12-05 06:17:00-03:00,0.63,ISLA MARTÍN GARCÍA
2024-12-05 10:47:00-03:00,0.83,ISLA MARTÍN GARCÍA
2024-12-05 17:36:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-12-05 23:43:00-03:00,1.11,ISLA MARTÍN GARCÍA
2024-12-06 07:25:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-12-06 11:24:00-03:00,0.79,ISLA MARTÍN GARCÍA
2024-12-06 18:14:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-12-07 00:43:00-03:00,1.15,ISLA MARTÍN GARCÍA
2024-12-07 08:23:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-12-07 12:02:00-03:00,0.76,ISLA MARTÍN GARCÍA
2024-12-07 18:54:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-12-08 02:12:00-03:00,1.19,ISLA MARTÍN GARCÍA
2024-12-08 09:16:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-12-08 12:43:00-03:00,0.73,ISLA MARTÍN GARCÍA
2024-12-08 19:39:00-03:00,0.41,ISLA MARTÍN GARCÍA
2024-12-09 03:14:00-03:00,1.22,ISLA MARTÍN GARCÍA
2024-12-09 10:09:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-12-09 13:34:00-03:00,0.72,ISLA MARTÍN GARCÍA
2024-12-09 20:35:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-12-10 04:10:00-03:00,1.22,ISLA MARTÍN GARCÍA
2024-12-10 11:03:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-12-10 14:36:00-03:00,0.72,ISLA MARTÍN GARCÍA
2024-12-10 21:37:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-12-11 05:05:00-03:00,1.2,ISLA MARTÍN GARCÍA
2024-12-11 11:59:00-03:00,0.63,ISLA MARTÍN GARCÍA
2024-12-11 15:39:00-03:00,0.74,ISLA MARTÍN GARCÍA
2024-12-11 22:45:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-12-12 06:03:00-03:00,1.16,ISLA MARTÍN GARCÍA
2024-12-12 12:54:00-03:00,0.62,ISLA MARTÍN GARCÍA
2024-12-12 16:42:00-03:00,0.79,ISLA MARTÍN GARCÍA
2024-12-13 00:15:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-12-13 07:02:00-03:00,1.11,ISLA MARTÍN GARCÍA
2024-12-13 13:44:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-12-13 17:48:00-03:00,0.86,ISLA MARTÍN GARCÍA
2024-12-14 01:51:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-12-14 07:58:00-03:00,1.06,ISLA MARTÍN GARCÍA
2024-12-14 14:29:00-03:00,0.56,ISLA MARTÍN GARCÍA
2024-12-14 19:56:00-03:00,0.95,ISLA MARTÍN GARCÍA
2024-12-15 02:57:00-03:00,0.41,ISLA MARTÍN GARCÍA
2024-12-15 08:49:00-03:00,1.0,ISLA MARTÍN GARCÍA
2024-12-15 15:11:00-03:00,0.53,ISLA MARTÍN GARCÍA
2024-12-15 20:55:00-03:00,1.06,ISLA MARTÍN GARCÍA
2024-12-16 03:57:00-03:00,0.44,ISLA MARTÍN GARCÍA
2024-12-16 09:35:00-03:00,0.94,ISLA MARTÍN GARCÍA
2024-12-16 15:53:00-03:00,0.5,ISLA MARTÍN GARCÍA
2024-12-16 21:49:00-03:00,1.14,ISLA MARTÍN GARCÍA
2024-12-17 04:55:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-12-17 10:18:00-03:00,0.87,ISLA MARTÍN GARCÍA
2024-12-17 16:35:00-03:00,0.47,ISLA MARTÍN GARCÍA
2024-12-17 22:42:00-03:00,1.18,ISLA MARTÍN GARCÍA
2024-12-18 05:55:00-03:00,0.55,ISLA MARTÍN GARCÍA
2024-12-18 10:59:00-03:00,0.8,ISLA MARTÍN GARCÍA
2024-12-18 17:21:00-03:00,0.44,ISLA MARTÍN GARCÍA
2024-12-18 23:36:00-03:00,1.18,ISLA MARTÍN GARCÍA
2024-12-19 06:58:00-03:00,0.6,ISLA MARTÍN GARCÍA
2024-12-19 11:36:00-03:00,0.74,ISLA MARTÍN GARCÍA
2024-12-19 18:14:00-03:00,0.41,ISLA MARTÍN GARCÍA
2024-12-20 00:35:00-03:00,1.17,ISLA MARTÍN GARCÍA
2024-12-20 08:02:00-03:00,0.62,ISLA MARTÍN GARCÍA
2024-12-20 11:04:00-03:00,0.71,ISLA MARTÍN GARCÍA
2024-12-20 19:10:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-12-21 01:36:00-03:00,1.13,ISLA MARTÍN GARCÍA
2024-12-21 10:04:00-03:00,0.63,ISLA MARTÍN GARCÍA
2024-12-21 12:04:00-03:00,0.67,ISLA MARTÍN GARCÍA
2024-12-21 20:05:00-03:00,0.35,ISLA MARTÍN GARCÍA
2024-12-22 02:35:00-03:00,1.1,ISLA MARTÍN GARCÍA
2024-12-22 11:09:00-03:00,0.61,ISLA MARTÍN GARCÍA
2024-12-22 14:21:00-03:00,0.62,ISLA MARTÍN GARCÍA
2024-12-22 20:57:00-03:00,0.35,ISLA MARTÍN GARCÍA
2024-12-23 03:27:00-03:00,1.06,ISLA MARTÍN GARCÍA
2024-12-23 12:08:00-03:00,0.58,ISLA MARTÍN GARCÍA
2024-12-23 15:20:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-12-23 21:46:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-12-24 04:14:00-03:00,1.01,ISLA MARTÍN GARCÍA
2024-12-24 13:00:00-03:00,0.55,ISLA MARTÍN GARCÍA
2024-12-24 16:15:00-03:00,0.58,ISLA MARTÍN GARCÍA
2024-12-24 22:36:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-12-25 04:59:00-03:00,0.97,ISLA MARTÍN GARCÍA
2024-12-25 13:47:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-12-25 17:09:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-12-25 23:30:00-03:00,0.44,ISLA MARTÍN GARCÍA
2024-12-26 05:45:00-03:00,0.93,ISLA MARTÍN GARCÍA
2024-12-26 14:28:00-03:00,0.51,ISLA MARTÍN GARCÍA
2024-12-26 18:05:00-03:00,0.61,ISLA MARTÍN GARCÍA
2024-12-27 00:26:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-12-27 06:33:00-03:00,0.92,ISLA MARTÍN GARCÍA
2024-12-27 13:26:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-12-27 18:58:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-12-28 01:18:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-12-28 07:21:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-12-28 14:02:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-12-28 19:46:00-03:00,0.73,ISLA MARTÍN GARCÍA
2024-12-29 02:05:00-03:00,0.55,ISLA MARTÍN GARCÍA
2024-12-29 08:06:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-12-29 14:37:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-12-29 20:28:00-03:00,0.81,ISLA MARTÍN GARCÍA
2024-12-30 02:46:00-03:00,0.57,ISLA MARTÍN GARCÍA
2024-12-30 08:49:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-12-30 15:07:00-03:00,0.5,ISLA MARTÍN GARCÍA
2024-12-30 21:07:00-03:00,0.9,ISLA MARTÍN GARCÍA
2024-12-31 03:24:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-12-31 09:27:00-03:00,0.9,ISLA MARTÍN GARCÍA
2024-12-31 15:33:00-03:00,0.51,ISLA MARTÍN GARCÍA
2024-12-31 21:45:00-03:00,0.99,ISLA MARTÍN GARCÍA
