datetime,height,port
2024-02-01 02:01:00-03:00,0.99,ISLA MARTÍN GARCÍA
2024-02-01 08:48:00-03:00,0.6,ISLA MARTÍN GARCÍA
2024-02-01 12:21:00-03:00,0.69,ISLA MARTÍN GARCÍA
2024-02-01 19:15:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-02-02 02:47:00-03:00,0.97,ISLA MARTÍN GARCÍA
2024-02-02 09:25:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-02-02 13:06:00-03:00,0.69,ISLA MARTÍN GARCÍA
2024-02-02 19:43:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-02-03 03:33:00-03:00,0.96,ISLA MARTÍN GARCÍA
2024-02-03 10:00:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-02-03 13:53:00-03:00,0.7,ISLA MARTÍN GARCÍA
2024-02-03 20:12:00-03:00,0.43,ISLA MARTÍN GARCÍA
2024-02-04 04:19:00-03:00,0.93,ISLA MARTÍN GARCÍA
2024-02-04 10:34:00-03:00,0.61,ISLA MARTÍN GARCÍA
2024-02-04 14:44:00-03:00,0.73,ISLA MARTÍN GARCÍA
2024-02-04 20:58:00-03:00,0.47,ISLA MARTÍN GARCÍA
2024-02-05 05:07:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-02-05 11:15:00-03:00,0.63,ISLA MARTÍN GARCÍA
2024-02-05 15:40:00-03:00,0.78,ISLA MARTÍN GARCÍA
2024-02-05 22:16:00-03:00,0.51,ISLA MARTÍN GARCÍA
2024-02-06 05:59:00-03:00,0.89,ISLA MARTÍN GARCÍA
2024-02-06 12:01:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-02-06 16:41:00-03:00,0.84,ISLA MARTÍN GARCÍA
2024-02-06 23:46:00-03:00,0.55,ISLA MARTÍN GARCÍA
2024-02-07 06:54:00-03:00,0.87,ISLA MARTÍN GARCÍA
2024-02-07 12:50:00-03:00,0.63,ISLA MARTÍN GARCÍA
2024-02-07 17:46:00-03:00,0.92,ISLA MARTÍN GARCÍA
2024-02-08 01:18:00-03:00,0.56,ISLA MARTÍN GARCÍA
2024-02-08 07:46:00-03:00,0.87,ISLA MARTÍN GARCÍA
2024-02-08 13:39:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-02-08 19:46:00-03:00,1.02,ISLA MARTÍN GARCÍA
2024-02-09 02:32:00-03:00,0.57,ISLA MARTÍN GARCÍA
2024-02-09 08:32:00-03:00,0.87,ISLA MARTÍN GARCÍA
2024-02-09 14:25:00-03:00,0.53,ISLA MARTÍN GARCÍA
2024-02-09 20:49:00-03:00,1.13,ISLA MARTÍN GARCÍA
2024-02-10 03:31:00-03:00,0.58,ISLA MARTÍN GARCÍA
2024-02-10 09:11:00-03:00,0.87,ISLA MARTÍN GARCÍA
2024-02-10 15:12:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-02-10 21:43:00-03:00,1.22,ISLA MARTÍN GARCÍA
2024-02-11 04:26:00-03:00,0.6,ISLA MARTÍN GARCÍA
2024-02-11 09:01:00-03:00,0.87,ISLA MARTÍN GARCÍA
2024-02-11 16:00:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-02-11 22:35:00-03:00,1.28,ISLA MARTÍN GARCÍA
2024-02-12 05:21:00-03:00,0.61,ISLA MARTÍN GARCÍA
2024-02-12 09:38:00-03:00,0.88,ISLA MARTÍN GARCÍA
2024-02-12 16:51:00-03:00,0.32,ISLA MARTÍN GARCÍA
2024-02-12 23:28:00-03:00,1.29,ISLA MARTÍN GARCÍA
2024-02-13 06:17:00-03:00,0.63,ISLA MARTÍN GARCÍA
2024-02-13 10:21:00-03:00,0.89,ISLA MARTÍN GARCÍA
2024-02-13 17:48:00-03:00,0.26,ISLA MARTÍN GARCÍA
2024-02-14 00:24:00-03:00,1.27,ISLA MARTÍN GARCÍA
2024-02-14 07:13:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-02-14 11:07:00-03:00,0.89,ISLA MARTÍN GARCÍA
2024-02-14 18:53:00-03:00,0.24,ISLA MARTÍN GARCÍA
2024-02-15 01:22:00-03:00,1.21,ISLA MARTÍN GARCÍA
2024-02-15 08:07:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-02-15 11:55:00-03:00,0.9,ISLA MARTÍN GARCÍA
2024-02-15 20:02:00-03:00,0.23,ISLA MARTÍN GARCÍA
2024-02-16 02:22:00-03:00,1.14,ISLA MARTÍN GARCÍA
2024-02-16 08:58:00-03:00,0.63,ISLA MARTÍN GARCÍA
2024-02-16 12:46:00-03:00,0.9,ISLA MARTÍN GARCÍA
2024-02-16 21:06:00-03:00,0.25,ISLA MARTÍN GARCÍA
2024-02-17 03:20:00-03:00,1.05,ISLA MARTÍN GARCÍA
2024-02-17 09:47:00-03:00,0.62,ISLA MARTÍN GARCÍA
2024-02-17 13:42:00-03:00,0.89,ISLA MARTÍN GARCÍA
2024-02-17 22:08:00-03:00,0.3,ISLA MARTÍN GARCÍA
2024-02-18 04:14:00-03:00,0.95,ISLA MARTÍN GARCÍA
2024-02-18 10:36:00-03:00,0.61,ISLA MARTÍN GARCÍA
2024-02-18 15:55:00-03:00,0.88,ISLA MARTÍN GARCÍA
2024-02-18 23:10:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-02-19 05:08:00-03:00,0.86,ISLA MARTÍN GARCÍA
2024-02-19 11:27:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-02-19 17:01:00-03:00,0.9,ISLA MARTÍN GARCÍA
2024-02-20 00:16:00-03:00,0.43,ISLA MARTÍN GARCÍA
2024-02-20 06:06:00-03:00,0.78,ISLA MARTÍN GARCÍA
2024-02-20 12:22:00-03:00,0.56,ISLA MARTÍN GARCÍA
