datetime,height,port
2024-04-01 01:08:00-03:00,0.83,ISLA MARTÍN GARCÍA
2024-04-01 07:35:00-03:00,0.58,ISLA MARTÍN GARCÍA
2024-04-01 13:01:00-03:00,0.94,ISLA MARTÍN GARCÍA
2024-04-01 20:08:00-03:00,0.43,ISLA MARTÍN GARCÍA
2024-04-02 01:47:00-03:00,0.79,ISLA MARTÍN GARCÍA
2024-04-02 08:05:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-04-02 13:53:00-03:00,0.97,ISLA MARTÍN GARCÍA
2024-04-02 21:11:00-03:00,0.47,ISLA MARTÍN GARCÍA
2024-04-03 02:31:00-03:00,0.75,ISLA MARTÍN GARCÍA
2024-04-03 08:39:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-04-03 14:53:00-03:00,1.0,ISLA MARTÍN GARCÍA
2024-04-03 22:15:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-04-04 03:18:00-03:00,0.72,ISLA MARTÍN GARCÍA
2024-04-04 09:51:00-03:00,0.57,ISLA MARTÍN GARCÍA
2024-04-04 16:01:00-03:00,1.01,ISLA MARTÍN GARCÍA
2024-04-04 23:31:00-03:00,0.56,ISLA MARTÍN GARCÍA
2024-04-05 04:10:00-03:00,0.69,ISLA MARTÍN GARCÍA
2024-04-05 10:59:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-04-05 17:34:00-03:00,1.02,ISLA MARTÍN GARCÍA
2024-04-06 01:07:00-03:00,0.57,ISLA MARTÍN GARCÍA
2024-04-06 05:03:00-03:00,0.68,ISLA MARTÍN GARCÍA
2024-04-06 12:12:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-04-06 19:17:00-03:00,1.07,ISLA MARTÍN GARCÍA
2024-04-07 02:16:00-03:00,0.56,ISLA MARTÍN GARCÍA
2024-04-07 05:59:00-03:00,0.7,ISLA MARTÍN GARCÍA
2024-04-07 13:47:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-04-07 20:22:00-03:00,1.12,ISLA MARTÍN GARCÍA
2024-04-08 03:09:00-03:00,0.55,ISLA MARTÍN GARCÍA
2024-04-08 08:24:00-03:00,0.74,ISLA MARTÍN GARCÍA
2024-04-08 14:57:00-03:00,0.28,ISLA MARTÍN GARCÍA
2024-04-08 21:17:00-03:00,1.15,ISLA MARTÍN GARCÍA
2024-04-09 03:55:00-03:00,0.54,ISLA MARTÍN GARCÍA
2024-04-09 09:09:00-03:00,0.81,ISLA MARTÍN GARCÍA
2024-04-09 15:54:00-03:00,0.21,ISLA MARTÍN GARCÍA
2024-04-09 22:07:00-03:00,1.14,ISLA MARTÍN GARCÍA
2024-04-10 04:39:00-03:00,0.53,ISLA MARTÍN GARCÍA
2024-04-10 09:48:00-03:00,0.89,ISLA MARTÍN GARCÍA
