datetime,height,port
2024-05-01 01:11:00-03:00,0.72,ISLA MARTÍN GARCÍA
2024-05-01 07:29:00-03:00,0.51,ISLA MARTÍN GARCÍA
2024-05-01 13:43:00-03:00,1.04,ISLA MARTÍN GARCÍA
2024-05-01 21:19:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-05-02 01:54:00-03:00,0.69,ISLA MARTÍN GARCÍA
2024-05-02 08:15:00-03:00,0.47,ISLA MARTÍN GARCÍA
2024-05-02 14:48:00-03:00,1.04,ISLA MARTÍN GARCÍA
2024-05-02 22:18:00-03:00,0.5,ISLA MARTÍN GARCÍA
2024-05-03 02:42:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-05-03 09:26:00-03:00,0.43,ISLA MARTÍN GARCÍA
2024-05-03 16:13:00-03:00,1.03,ISLA MARTÍN GARCÍA
2024-05-03 23:29:00-03:00,0.54,ISLA MARTÍN GARCÍA
2024-05-04 03:36:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-05-04 10:34:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-05-04 17:46:00-03:00,1.02,ISLA MARTÍN GARCÍA
2024-05-05 00:49:00-03:00,0.55,ISLA MARTÍN GARCÍA
2024-05-05 04:32:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-05-05 11:50:00-03:00,0.34,ISLA MARTÍN GARCÍA
2024-05-05 18:58:00-03:00,1.02,ISLA MARTÍN GARCÍA
2024-05-06 01:54:00-03:00,0.54,ISLA MARTÍN GARCÍA
2024-05-06 05:31:00-03:00,0.67,ISLA MARTÍN GARCÍA
2024-05-06 13:40:00-03:00,0.28,ISLA MARTÍN GARCÍA
2024-05-06 20:04:00-03:00,1.02,ISLA MARTÍN GARCÍA
2024-05-07 02:46:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-05-07 06:36:00-03:00,0.72,ISLA MARTÍN GARCÍA
2024-05-07 14:49:00-03:00,0.22,ISLA MARTÍN GARCÍA
2024-05-07 21:00:00-03:00,1.01,ISLA MARTÍN GARCÍA
2024-05-08 03:30:00-03:00,0.5,ISLA MARTÍN GARCÍA
2024-05-08 08:49:00-03:00,0.82,ISLA MARTÍN GARCÍA
2024-05-08 15:48:00-03:00,0.18,ISLA MARTÍN GARCÍA
2024-05-08 21:49:00-03:00,0.97,ISLA MARTÍN GARCÍA
2024-05-09 04:12:00-03:00,0.48,ISLA MARTÍN GARCÍA
2024-05-09 09:36:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-05-09 16:43:00-03:00,0.17,ISLA MARTÍN GARCÍA
2024-05-09 22:35:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-05-10 04:54:00-03:00,0.47,ISLA MARTÍN GARCÍA
2024-05-10 10:22:00-03:00,0.98,ISLA MARTÍN GARCÍA
2024-05-10 17:40:00-03:00,0.2,ISLA MARTÍN GARCÍA
2024-05-10 23:21:00-03:00,0.83,ISLA MARTÍN GARCÍA
2024-05-11 05:36:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-05-11 11:09:00-03:00,1.02,ISLA MARTÍN GARCÍA
2024-05-11 18:37:00-03:00,0.24,ISLA MARTÍN GARCÍA
2024-05-12 00:08:00-03:00,0.76,ISLA MARTÍN GARCÍA
2024-05-12 06:22:00-03:00,0.44,ISLA MARTÍN GARCÍA
2024-05-12 12:02:00-03:00,1.03,ISLA MARTÍN GARCÍA
2024-05-12 19:34:00-03:00,0.29,ISLA MARTÍN GARCÍA
2024-05-13 00:59:00-03:00,0.69,ISLA MARTÍN GARCÍA
2024-05-13 07:12:00-03:00,0.41,ISLA MARTÍN GARCÍA
2024-05-13 13:03:00-03:00,1.01,ISLA MARTÍN GARCÍA
2024-05-13 20:28:00-03:00,0.34,ISLA MARTÍN GARCÍA
2024-05-14 01:53:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-05-14 08:04:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-05-14 14:06:00-03:00,0.98,ISLA MARTÍN GARCÍA
2024-05-14 21:19:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-05-15 02:44:00-03:00,0.6,ISLA MARTÍN GARCÍA
2024-05-15 08:54:00-03:00,0.35,ISLA MARTÍN GARCÍA
2024-05-15 15:04:00-03:00,0.93,ISLA MARTÍN GARCÍA
2024-05-15 22:08:00-03:00,0.44,ISLA MARTÍN GARCÍA
2024-05-16 03:33:00-03:00,0.56,ISLA MARTÍN GARCÍA
2024-05-16 09:44:00-03:00,0.33,ISLA MARTÍN GARCÍA
2024-05-16 15:59:00-03:00,0.88,ISLA MARTÍN GARCÍA
2024-05-16 22:59:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-05-17 04:21:00-03:00,0.53,ISLA MARTÍN GARCÍA
2024-05-17 10:36:00-03:00,0.33,ISLA MARTÍN GARCÍA
2024-05-17 16:51:00-03:00,0.83,ISLA MARTÍN GARCÍA
2024-05-18 01:53:00-03:00,0.45,ISLA MARTÍN GARCÍA
2024-05-18 05:11:00-03:00,0.51,ISLA MARTÍN GARCÍA
2024-05-18 11:34:00-03:00,0.33,ISLA MARTÍN GARCÍA
2024-05-18 17:45:00-03:00,0.78,ISLA MARTÍN GARCÍA
2024-05-19 02:42:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-05-19 06:06:00-03:00,0.5,ISLA MARTÍN GARCÍA
2024-05-19 12:36:00-03:00,0.33,ISLA MARTÍN GARCÍA
2024-05-19 18:40:00-03:00,0.76,ISLA MARTÍN GARCÍA
2024-05-20 03:25:00-03:00,0.41,ISLA MARTÍN GARCÍA
2024-05-20 08:47:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-05-20 13:34:00-03:00,0.33,ISLA MARTÍN GARCÍA
2024-05-20 19:33:00-03:00,0.76,ISLA MARTÍN GARCÍA
2024-05-21 04:03:00-03:00,0.41,ISLA MARTÍN GARCÍA
2024-05-21 07:55:00-03:00,0.55,ISLA MARTÍN GARCÍA
2024-05-21 14:23:00-03:00,0.33,ISLA MARTÍN GARCÍA
2024-05-21 20:20:00-03:00,0.77,ISLA MARTÍN GARCÍA
2024-05-22 02:56:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-05-22 08:34:00-03:00,0.6,ISLA MARTÍN GARCÍA
2024-05-22 15:05:00-03:00,0.34,ISLA MARTÍN GARCÍA
2024-05-22 21:02:00-03:00,0.79,ISLA MARTÍN GARCÍA
2024-05-23 03:27:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-05-23 09:09:00-03:00,0.67,ISLA MARTÍN GARCÍA
2024-05-23 15:42:00-03:00,0.34,ISLA MARTÍN GARCÍA
2024-05-23 21:42:00-03:00,0.8,ISLA MARTÍN GARCÍA
2024-05-24 03:53:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-05-24 09:39:00-03:00,0.74,ISLA MARTÍN GARCÍA
2024-05-24 16:16:00-03:00,0.35,ISLA MARTÍN GARCÍA
2024-05-24 22:22:00-03:00,0.8,ISLA MARTÍN GARCÍA
2024-05-25 04:15:00-03:00,0.44,ISLA MARTÍN GARCÍA
2024-05-25 09:46:00-03:00,0.83,ISLA MARTÍN GARCÍA
2024-05-25 16:53:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-05-25 22:59:00-03:00,0.78,ISLA MARTÍN GARCÍA
2024-05-26 04:46:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-05-26 10:17:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-05-26 17:40:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-05-26 23:25:00-03:00,0.75,ISLA MARTÍN GARCÍA
2024-05-27 05:22:00-03:00,0.47,ISLA MARTÍN GARCÍA
2024-05-27 11:00:00-03:00,0.99,ISLA MARTÍN GARCÍA
2024-05-27 18:35:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-05-27 23:28:00-03:00,0.72,ISLA MARTÍN GARCÍA
2024-05-28 06:02:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-05-28 11:48:00-03:00,1.04,ISLA MARTÍN GARCÍA
2024-05-28 19:34:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-05-29 00:03:00-03:00,0.69,ISLA MARTÍN GARCÍA
2024-05-29 06:45:00-03:00,0.43,ISLA MARTÍN GARCÍA
2024-05-29 12:43:00-03:00,1.06,ISLA MARTÍN GARCÍA
2024-05-29 20:28:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-05-30 00:43:00-03:00,0.67,ISLA MARTÍN GARCÍA
2024-05-30 07:33:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-05-30 13:50:00-03:00,1.06,ISLA MARTÍN GARCÍA
2024-05-30 21:21:00-03:00,0.44,ISLA MARTÍN GARCÍA
2024-05-31 01:27:00-03:00,0.65,ISLA MARTÍN GARCÍA
2024-05-31 08:27:00-03:00,0.33,ISLA MARTÍN GARCÍA
2024-05-31 15:23:00-03:00,1.05,ISLA MARTÍN GARCÍA
2024-05-31 22:14:00-03:00,0.47,ISLA MARTÍN GARCÍA
