datetime,height,port
2024-07-01 02:54:00-03:00,0.68,ISLA MARTÍN GARCÍA
2024-07-01 10:46:00-03:00,0.19,ISLA MARTÍN GARCÍA
2024-07-01 17:13:00-03:00,0.89,ISLA MARTÍN GARCÍA
2024-07-01 23:42:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-07-02 03:53:00-03:00,0.71,ISLA MARTÍN GARCÍA
2024-07-02 12:06:00-03:00,0.2,ISLA MARTÍN GARCÍA
2024-07-02 18:13:00-03:00,0.8,ISLA MARTÍN GARCÍA
2024-07-03 00:38:00-03:00,0.49,ISLA MARTÍN GARCÍA
2024-07-03 04:57:00-03:00,0.75,ISLA MARTÍN GARCÍA
2024-07-03 13:21:00-03:00,0.21,ISLA MARTÍN GARCÍA
2024-07-03 19:18:00-03:00,0.73,ISLA MARTÍN GARCÍA
2024-07-04 01:34:00-03:00,0.48,ISLA MARTÍN GARCÍA
2024-07-04 07:01:00-03:00,0.8,ISLA MARTÍN GARCÍA
2024-07-04 14:30:00-03:00,0.23,ISLA MARTÍN GARCÍA
2024-07-04 20:25:00-03:00,0.68,ISLA MARTÍN GARCÍA
2024-07-05 02:26:00-03:00,0.45,ISLA MARTÍN GARCÍA
2024-07-05 08:09:00-03:00,0.87,ISLA MARTÍN GARCÍA
2024-07-05 15:33:00-03:00,0.25,ISLA MARTÍN GARCÍA
2024-07-05 21:21:00-03:00,0.64,ISLA MARTÍN GARCÍA
2024-07-06 03:16:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-07-06 09:08:00-03:00,0.93,ISLA MARTÍN GARCÍA
2024-07-06 16:33:00-03:00,0.28,ISLA MARTÍN GARCÍA
2024-07-06 22:02:00-03:00,0.61,ISLA MARTÍN GARCÍA
2024-07-07 04:04:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-07-07 10:01:00-03:00,0.96,ISLA MARTÍN GARCÍA
2024-07-07 17:30:00-03:00,0.32,ISLA MARTÍN GARCÍA
2024-07-07 22:40:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-07-08 04:52:00-03:00,0.34,ISLA MARTÍN GARCÍA
2024-07-08 10:52:00-03:00,0.96,ISLA MARTÍN GARCÍA
2024-07-08 18:25:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-07-08 23:20:00-03:00,0.57,ISLA MARTÍN GARCÍA
2024-07-09 05:42:00-03:00,0.3,ISLA MARTÍN GARCÍA
2024-07-09 11:42:00-03:00,0.94,ISLA MARTÍN GARCÍA
2024-07-09 19:13:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-07-10 00:02:00-03:00,0.55,ISLA MARTÍN GARCÍA
2024-07-10 06:33:00-03:00,0.26,ISLA MARTÍN GARCÍA
2024-07-10 12:34:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-07-10 19:52:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-07-11 00:47:00-03:00,0.54,ISLA MARTÍN GARCÍA
2024-07-11 07:22:00-03:00,0.24,ISLA MARTÍN GARCÍA
2024-07-11 13:25:00-03:00,0.87,ISLA MARTÍN GARCÍA
2024-07-11 20:29:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-07-12 01:34:00-03:00,0.53,ISLA MARTÍN GARCÍA
2024-07-12 08:09:00-03:00,0.23,ISLA MARTÍN GARCÍA
2024-07-12 14:14:00-03:00,0.83,ISLA MARTÍN GARCÍA
2024-07-12 21:05:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-07-13 02:22:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-07-13 08:51:00-03:00,0.23,ISLA MARTÍN GARCÍA
2024-07-13 15:01:00-03:00,0.79,ISLA MARTÍN GARCÍA
2024-07-13 21:40:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-07-14 01:38:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-07-14 09:27:00-03:00,0.26,ISLA MARTÍN GARCÍA
2024-07-14 15:45:00-03:00,0.75,ISLA MARTÍN GARCÍA
2024-07-14 22:13:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-07-15 02:26:00-03:00,0.52,ISLA MARTÍN GARCÍA
2024-07-15 09:48:00-03:00,0.29,ISLA MARTÍN GARCÍA
2024-07-15 16:30:00-03:00,0.71,ISLA MARTÍN GARCÍA
2024-07-15 22:42:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-07-16 03:15:00-03:00,0.54,ISLA MARTÍN GARCÍA
2024-07-16 10:25:00-03:00,0.32,ISLA MARTÍN GARCÍA
2024-07-16 17:18:00-03:00,0.68,ISLA MARTÍN GARCÍA
2024-07-16 23:12:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-07-17 04:05:00-03:00,0.57,ISLA MARTÍN GARCÍA
2024-07-17 11:24:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-07-17 18:10:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-07-17 23:57:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-07-18 04:57:00-03:00,0.62,ISLA MARTÍN GARCÍA
2024-07-18 12:44:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-07-18 19:05:00-03:00,0.65,ISLA MARTÍN GARCÍA
2024-07-19 00:46:00-03:00,0.45,ISLA MARTÍN GARCÍA
2024-07-19 05:53:00-03:00,0.7,ISLA MARTÍN GARCÍA
2024-07-19 13:48:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-07-19 19:59:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-07-20 01:33:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-07-20 06:59:00-03:00,0.78,ISLA MARTÍN GARCÍA
2024-07-20 14:42:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-07-20 20:48:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-07-21 02:18:00-03:00,0.46,ISLA MARTÍN GARCÍA
2024-07-21 08:33:00-03:00,0.88,ISLA MARTÍN GARCÍA
2024-07-21 15:33:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-07-21 21:32:00-03:00,0.67,ISLA MARTÍN GARCÍA
2024-07-22 03:02:00-03:00,0.44,ISLA MARTÍN GARCÍA
2024-07-22 09:24:00-03:00,0.98,ISLA MARTÍN GARCÍA
2024-07-22 16:24:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-07-22 22:10:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-07-23 03:48:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-07-23 10:15:00-03:00,1.05,ISLA MARTÍN GARCÍA
2024-07-23 17:17:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-07-23 22:38:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-07-24 04:38:00-03:00,0.35,ISLA MARTÍN GARCÍA
2024-07-24 11:08:00-03:00,1.1,ISLA MARTÍN GARCÍA
2024-07-24 18:12:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-07-24 22:37:00-03:00,0.66,ISLA MARTÍN GARCÍA
2024-07-25 05:32:00-03:00,0.29,ISLA MARTÍN GARCÍA
2024-07-25 12:05:00-03:00,1.11,ISLA MARTÍN GARCÍA
2024-07-25 19:07:00-03:00,0.41,ISLA MARTÍN GARCÍA
