datetime,height,port
2024-09-01 01:23:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-09-01 07:38:00-03:00,0.94,ISLA MARTÍN GARCÍA
2024-09-01 16:19:00-03:00,0.35,ISLA MARTÍN GARCÍA
2024-09-01 21:49:00-03:00,0.56,ISLA MARTÍN GARCÍA
2024-09-02 02:27:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-09-02 08:44:00-03:00,0.94,ISLA MARTÍN GARCÍA
2024-09-02 17:08:00-03:00,0.37,ISLA MARTÍN GARCÍA
2024-09-02 22:28:00-03:00,0.56,ISLA MARTÍN GARCÍA
2024-09-03 03:24:00-03:00,0.34,ISLA MARTÍN GARCÍA
2024-09-03 09:34:00-03:00,0.93,ISLA MARTÍN GARCÍA
2024-09-03 17:54:00-03:00,0.39,ISLA MARTÍN GARCÍA
2024-09-03 22:57:00-03:00,0.56,ISLA MARTÍN GARCÍA
2024-09-04 04:14:00-03:00,0.32,ISLA MARTÍN GARCÍA
2024-09-04 10:14:00-03:00,0.91,ISLA MARTÍN GARCÍA
2024-09-04 18:35:00-03:00,0.41,ISLA MARTÍN GARCÍA
2024-09-04 22:31:00-03:00,0.58,ISLA MARTÍN GARCÍA
2024-09-05 05:01:00-03:00,0.31,ISLA MARTÍN GARCÍA
2024-09-05 10:52:00-03:00,0.88,ISLA MARTÍN GARCÍA
2024-09-05 18:04:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-09-05 23:07:00-03:00,0.59,ISLA MARTÍN GARCÍA
2024-09-06 05:46:00-03:00,0.32,ISLA MARTÍN GARCÍA
2024-09-06 11:32:00-03:00,0.85,ISLA MARTÍN GARCÍA
2024-09-06 18:33:00-03:00,0.41,ISLA MARTÍN GARCÍA
2024-09-06 23:44:00-03:00,0.61,ISLA MARTÍN GARCÍA
2024-09-07 06:32:00-03:00,0.34,ISLA MARTÍN GARCÍA
2024-09-07 12:13:00-03:00,0.82,ISLA MARTÍN GARCÍA
2024-09-07 19:06:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-09-08 00:18:00-03:00,0.63,ISLA MARTÍN GARCÍA
2024-09-08 07:17:00-03:00,0.36,ISLA MARTÍN GARCÍA
2024-09-08 12:57:00-03:00,0.79,ISLA MARTÍN GARCÍA
2024-09-08 19:35:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-09-09 00:03:00-03:00,0.67,ISLA MARTÍN GARCÍA
2024-09-09 07:58:00-03:00,0.38,ISLA MARTÍN GARCÍA
2024-09-09 13:43:00-03:00,0.76,ISLA MARTÍN GARCÍA
2024-09-09 19:45:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-09-10 00:43:00-03:00,0.71,ISLA MARTÍN GARCÍA
2024-09-10 08:35:00-03:00,0.4,ISLA MARTÍN GARCÍA
2024-09-10 14:32:00-03:00,0.73,ISLA MARTÍN GARCÍA
2024-09-10 20:09:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-09-11 01:27:00-03:00,0.77,ISLA MARTÍN GARCÍA
2024-09-11 09:07:00-03:00,0.42,ISLA MARTÍN GARCÍA
2024-09-11 15:21:00-03:00,0.7,ISLA MARTÍN GARCÍA
