datetime,height,port
2024-10-01 00:07:00-03:00,0.68,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-01 06:24:00-03:00,2.66,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-01 12:25:00-03:00,0.88,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-01 18:30:00-03:00,2.75,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-02 00:44:00-03:00,0.67,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-02 06:54:00-03:00,2.73,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-02 12:59:00-03:00,0.73,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-02 19:08:00-03:00,2.82,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-03 01:17:00-03:00,0.7,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-03 07:21:00-03:00,2.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-03 13:30:00-03:00,0.61,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-03 19:42:00-03:00,2.84,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-04 01:46:00-03:00,0.76,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-04 07:47:00-03:00,2.81,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-04 14:01:00-03:00,0.52,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-04 20:15:00-03:00,2.82,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-05 02:14:00-03:00,0.83,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-05 08:12:00-03:00,2.84,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-05 14:31:00-03:00,0.47,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-05 20:48:00-03:00,2.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-06 02:41:00-03:00,0.91,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-06 08:39:00-03:00,2.85,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-06 15:04:00-03:00,0.45,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-06 21:22:00-03:00,2.69,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-07 03:10:00-03:00,1.0,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-07 09:08:00-03:00,2.84,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-07 15:39:00-03:00,0.48,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-07 21:59:00-03:00,2.59,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-08 03:42:00-03:00,1.09,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-08 09:42:00-03:00,2.8,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-08 16:19:00-03:00,0.55,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-08 22:42:00-03:00,2.47,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-09 04:20:00-03:00,1.2,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-09 10:22:00-03:00,2.72,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-09 17:06:00-03:00,0.65,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-09 23:34:00-03:00,2.36,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-10 05:09:00-03:00,1.31,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-10 11:13:00-03:00,2.6,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-10 18:05:00-03:00,0.77,ISLAS DE AÑO NUEVO (Isla Observatorio)
2024-10-11 00:39:00-03:00,2.28,ISLAS DE AÑO NUEVO (Isla Observatorio)
